team,season,first_half_goals,second_half_goals,league
AUG,2012,9.0,24.0,Bundesliga
BAY,2012,42.0,49.0,Bundesliga
DOR,2012,30.0,36.0,Bundesliga
EINF,2012,30.0,21.0,Bundesliga
FORD,2012,21.0,9.0,Bundesliga
FRE,2012,26.0,25.0,Bundesliga
GREF,2012,9.0,12.0,Bundesliga
HAM,2012,24.0,24.0,Bundesliga
HAN,2012,23.0,22.0,Bundesliga
HOF,2012,12.0,19.0,Bundesliga
LEVK,2012,33.0,32.0,Bundesliga
M'G,2012,25.0,22.0,Bundesliga
MAI,2012,26.0,16.0,Bundesliga
NUR,2012,20.0,24.0,Bundesliga
SCH,2012,25.0,30.0,Bundesliga
STU,2012,25.0,18.0,Bundesliga
WERB,2012,22.0,12.0,Bundesliga
WOB,2012,19.0,24.0,Bundesliga
AUG,2013,24.0,28.0,Bundesliga
BAY,2013,47.0,43.0,Bundesliga
BRA,2013,11.0,14.0,Bundesliga
DOR,2013,32.0,39.0,Bundesliga
EINF,2013,15.0,21.0,Bundesliga
FRE,2013,14.0,22.0,Bundesliga
HAM,2013,16.0,11.0,Bundesliga
HAN,2013,18.0,24.0,Bundesliga
HERT,2013,28.0,13.0,Bundesliga
HOF,2013,18.0,26.0,Bundesliga
LEVK,2013,37.0,24.0,Bundesliga
M'G,2013,33.0,22.0,Bundesliga
MAI,2013,24.0,29.0,Bundesliga
NUR,2013,11.0,15.0,Bundesliga
SCH,2013,28.0,36.0,Bundesliga
STU,2013,19.0,13.0,Bundesliga
WERB,2013,19.0,20.0,Bundesliga
WOB,2013,30.0,30.0,Bundesliga
AUG,2014,27.0,22.0,Bundesliga
BAY,2014,45.0,34.0,Bundesliga
DOR,2014,15.0,31.0,Bundesliga
EINF,2014,23.0,20.0,Bundesliga
FRE,2014,15.0,19.0,Bundesliga
HAM,2014,17.0,18.0,Bundesliga
HAN,2014,24.0,13.0,Bundesliga
HERT,2014,18.0,17.0,Bundesliga
HOF,2014,26.0,18.0,Bundesliga
KOL,2014,19.0,21.0,Bundesliga
LEVK,2014,28.0,33.0,Bundesliga
M'G,2014,27.0,39.0,Bundesliga
MAI,2014,18.0,22.0,Bundesliga
PAD,2014,19.0,12.0,Bundesliga
SCH,2014,27.0,21.0,Bundesliga
STU,2014,17.0,19.0,Bundesliga
WERB,2014,17.0,26.0,Bundesliga
WOB,2014,34.0,35.0,Bundesliga
AUG,2015,19.0,19.0,Bundesliga
BAY,2015,46.0,42.0,Bundesliga
DAR,2015,18.0,20.0,Bundesliga
DOR,2015,38.0,40.0,Bundesliga
EINF,2015,17.0,19.0,Bundesliga
HAM,2015,22.0,19.0,Bundesliga
HAN,2015,14.0,11.0,Bundesliga
HERT,2015,32.0,18.0,Bundesliga
HOF,2015,13.0,24.0,Bundesliga
ING,2015,20.0,20.0,Bundesliga
KOL,2015,24.0,19.0,Bundesliga
LEVK,2015,27.0,33.0,Bundesliga
M'G,2015,29.0,26.0,Bundesliga
MAI,2015,24.0,26.0,Bundesliga
SCH,2015,27.0,25.0,Bundesliga
STU,2015,15.0,18.0,Bundesliga
WERB,2015,15.0,23.0,Bundesliga
WOB,2015,26.0,19.0,Bundesliga
AUG,2016,18.0,20.0,Bundesliga
BAY,2016,42.0,40.0,Bundesliga
DAR,2016,9.0,16.0,Bundesliga
DOR,2016,30.0,34.0,Bundesliga
EINF,2016,29.0,13.0,Bundesliga
FRE,2016,23.0,25.0,Bundesliga
HAM,2016,13.0,25.0,Bundesliga
HERT,2016,30.0,19.0,Bundesliga
HOF,2016,31.0,31.0,Bundesliga
ING,2016,12.0,20.0,Bundesliga
KOL,2016,26.0,23.0,Bundesliga
LEVK,2016,24.0,17.0,Bundesliga
M'G,2016,17.0,28.0,Bundesliga
MAI,2016,21.0,16.0,Bundesliga
RBL,2016,39.0,28.0,Bundesliga
SCH,2016,21.0,22.0,Bundesliga
WERB,2016,16.0,29.0,Bundesliga
WOB,2016,19.0,18.0,Bundesliga
AUG,2017,24.0,17.0,Bundesliga
BAY,2017,41.0,43.0,Bundesliga
DOR,2017,28.0,27.0,Bundesliga
EINF,2017,26.0,23.0,Bundesliga
FRE,2017,19.0,17.0,Bundesliga
HAM,2017,15.0,16.0,Bundesliga
HAN,2017,23.0,16.0,Bundesliga
HERT,2017,24.0,19.0,Bundesliga
HOF,2017,26.0,29.0,Bundesliga
KOL,2017,6.0,16.0,Bundesliga
LEVK,2017,28.0,27.0,Bundesliga
M'G,2017,28.0,19.0,Bundesliga
MAI,2017,17.0,19.0,Bundesliga
RBL,2017,28.0,25.0,Bundesliga
SCH,2017,30.0,33.0,Bundesliga
STU,2017,17.0,34.0,Bundesliga
WERB,2017,15.0,27.0,Bundesliga
WOB,2017,19.0,14.0,Bundesliga
AUG,2018,15.0,17.0,Bundesliga
BAY,2018,36.0,42.0,Bundesliga
DOR,2018,42.0,34.0,Bundesliga
EINF,2018,27.0,27.0,Bundesliga
FORD,2018,18.0,26.0,Bundesliga
FRE,2018,21.0,15.0,Bundesliga
HAN,2018,11.0,10.0,Bundesliga
HERT,2018,24.0,19.0,Bundesliga
HOF,2018,25.0,26.0,Bundesliga
LEVK,2018,24.0,34.0,Bundesliga
M'G,2018,33.0,22.0,Bundesliga
MAI,2018,21.0,22.0,Bundesliga
NUR,2018,11.0,8.0,Bundesliga
RBL,2018,31.0,35.0,Bundesliga
SCH,2018,18.0,15.0,Bundesliga
STU,2018,14.0,14.0,Bundesliga
WERB,2018,22.0,31.0,Bundesliga
WOB,2018,28.0,27.0,Bundesliga
AUG,2019,23.0,13.0,Bundesliga
BAY,2019,33.0,49.0,Bundesliga
DOR,2019,30.0,39.0,Bundesliga
EINF,2019,18.0,27.0,Bundesliga
FORD,2019,15.0,15.0,Bundesliga
FRE,2019,26.0,22.0,Bundesliga
HERT,2019,19.0,22.0,Bundesliga
HOF,2019,27.0,25.0,Bundesliga
KOL,2019,17.0,19.0,Bundesliga
LEVK,2019,28.0,35.0,Bundesliga
M'G,2019,35.0,30.0,Bundesliga
MAI,2019,18.0,19.0,Bundesliga
PAD,2019,12.0,8.0,Bundesliga
RBL,2019,37.0,29.0,Bundesliga
SCH,2019,30.0,9.0,Bundesliga
UNI,2019,20.0,21.0,Bundesliga
WERB,2019,14.0,17.0,Bundesliga
WOB,2019,24.0,25.0,Bundesliga
