team,season,first_half_goals,second_half_goals,league
SPG,2015,15.0,24.0,La Liga
VIL,2015,39.0,25.0,La Liga
VLC,2015,23.0,21.0,La Liga
ALA,2016,23.0,32.0,La Liga
ATHB,2016,29.0,34.0,La Liga
ATHM,2016,35.0,43.0,La Liga
BARC,2016,41.0,49.0,La Liga
BET,2016,22.0,17.0,La Liga
CEL,2016,27.0,18.0,La Liga
EIB,2016,26.0,28.0,La Liga
ESP,2016,26.0,30.0,La Liga
GRA,2016,10.0,10.0,La Liga
LAC,2016,19.0,17.0,La Liga
LASP,2016,25.0,14.0,La Liga
LEG,2016,18.0,17.0,La Liga
MLG,2016,21.0,25.0,La Liga
OSA,2016,9.0,13.0,La Liga
RMA,2016,46.0,47.0,La Liga
RSO,2016,35.0,29.0,La Liga
SEV,2016,42.0,30.0,La Liga
SPG,2016,13.0,18.0,La Liga
VIL,2016,31.0,36.0,La Liga
VLC,2016,19.0,27.0,La Liga
ALA,2017,18.0,29.0,La Liga
ATHB,2017,25.0,18.0,La Liga
ATHM,2017,42.0,37.0,La Liga
BARC,2017,51.0,42.0,La Liga
BET,2017,27.0,33.0,La Liga
CEL,2017,25.0,24.0,La Liga
EIB,2017,27.0,24.0,La Liga
ESP,2017,24.0,25.0,La Liga
GET,2017,26.0,29.0,La Liga
GIR,2017,26.0,25.0,La Liga
LAC,2017,16.0,13.0,La Liga
LASP,2017,11.0,11.0,La Liga
LEG,2017,25.0,18.0,La Liga
LEVA,2017,18.0,28.0,La Liga
MLG,2017,11.0,9.0,La Liga
RMA,2017,35.0,41.0,La Liga
RSO,2017,23.0,26.0,La Liga
SEV,2017,29.0,29.0,La Liga
VIL,2017,31.0,30.0,La Liga
VLC,2017,40.0,33.0,La Liga
ALA,2018,32.0,18.0,La Liga
ATHB,2018,22.0,31.0,La Liga
ATHM,2018,38.0,38.0,La Liga
BARC,2018,43.0,44.0,La Liga
BET,2018,26.0,24.0,La Liga
CEL,2018,21.0,20.0,La Liga
EIB,2018,22.0,25.0,La Liga
ESP,2018,24.0,29.0,La Liga
GET,2018,28.0,31.0,La Liga
GIR,2018,24.0,13.0,La Liga
HUE,2018,11.0,22.0,La Liga
LEG,2018,22.0,23.0,La Liga
LEVA,2018,23.0,21.0,La Liga
RAYO,2018,19.0,13.0,La Liga
RMA,2018,33.0,35.0,La Liga
RSO,2018,25.0,25.0,La Liga
SEV,2018,33.0,26.0,La Liga
VIL,2018,17.0,27.0,La Liga
VLC,2018,23.0,38.0,La Liga
VLLD,2018,22.0,19.0,La Liga
ALA,2019,20.0,19.0,La Liga
ATHB,2019,29.0,22.0,La Liga
ATHM,2019,35.0,35.0,La Liga
BARC,2019,40.0,42.0,La Liga
BET,2019,24.0,17.0,La Liga
CEL,2019,15.0,22.0,La Liga
EIB,2019,19.0,23.0,La Liga
ESP,2019,11.0,14.0,La Liga
GET,2019,30.0,24.0,La Liga
GRA,2019,27.0,29.0,La Liga
LEG,2019,14.0,22.0,La Liga
LEVA,2019,26.0,23.0,La Liga
MALL,2019,15.0,18.0,La Liga
OSA,2019,24.0,28.0,La Liga
RMA,2019,40.0,47.0,La Liga
RSO,2019,31.0,25.0,La Liga
SEV,2019,35.0,35.0,La Liga
VIL,2019,28.0,32.0,La Liga
VLC,2019,31.0,22.0,La Liga
VLLD,2019,21.0,21.0,La Liga
ALA,2020,18.0,20.0,La Liga
ATHB,2020,24.0,22.0,La Liga
ATHM,2020,50.0,36.0,La Liga
BARC,2020,37.0,42.0,La Liga
BET,2020,26.0,35.0,La Liga
CAD,2020,24.0,20.0,La Liga
CEL,2020,23.0,30.0,La Liga
EIB,2020,19.0,11.0,La Liga
ELC,2020,17.0,19.0,La Liga
GET,2020,23.0,15.0,La Liga
GRA,2020,28.0,18.0,La Liga
HUE,2020,12.0,22.0,La Liga
LEVA,2020,23.0,18.0,La Liga
OSA,2020,16.0,28.0,La Liga
RMA,2020,40.0,44.0,La Liga
RSO,2020,30.0,32.0,La Liga
SEV,2020,36.0,41.0,La Liga
VIL,2020,33.0,25.0,La Liga
VLC,2020,20.0,23.0,La Liga
VLLD,2020,19.0,12.0,La Liga
ALA,2021,16.0,15.0,La Liga
ATHB,2021,24.0,31.0,La Liga
ATHM,2021,32.0,39.0,La Liga
BARC,2021,31.0,42.0,La Liga
BET,2021,33.0,32.0,La Liga
CAD,2021,14.0,25.0,La Liga
CEL,2021,23.0,23.0,La Liga
ELC,2021,16.0,26.0,La Liga
ESP,2021,26.0,16.0,La Liga
GET,2021,18.0,21.0,La Liga
GRA,2021,23.0,15.0,La Liga
LEVA,2021,8.0,27.0,La Liga
MALL,2021,20.0,19.0,La Liga
OSA,2021,22.0,25.0,La Liga
RAYO,2021,30.0,12.0,La Liga
RMA,2021,46.0,40.0,La Liga
RSO,2021,30.0,32.0,La Liga
SEV,2021,41.0,29.0,La Liga
VIL,2021,28.0,31.0,La Liga
VLC,2021,28.0,20.0,La Liga
ALM,2022,22.0,19.0,La Liga
ATHB,2022,26.0,25.0,La Liga
ATHM,2022,34.0,43.0,La Liga
BARC,2022,50.0,38.0,La Liga
BET,2022,31.0,29.0,La Liga
CAD,2022,19.0,23.0,La Liga
CEL,2022,20.0,23.0,La Liga
ELC,2022,6.0,19.0,La Liga
ESP,2022,20.0,17.0,La Liga
GET,2022,17.0,25.0,La Liga
GIR,2022,21.0,28.0,La Liga
MALL,2022,25.0,25.0,La Liga
OSA,2022,28.0,25.0,La Liga
RAYO,2022,29.0,20.0,La Liga
RMA,2022,45.0,33.0,La Liga
RSO,2022,39.0,32.0,La Liga
SEV,2022,21.0,28.0,La Liga
VIL,2022,31.0,33.0,La Liga
VLC,2022,20.0,22.0,La Liga
VLLD,2022,20.0,20.0,La Liga
ALA,2023,17.0,29.0,La Liga
ALM,2023,5.0,16.0,La Liga
ATHB,2023,38.0,30.0,La Liga
ATHM,2023,38.0,38.0,La Liga
BARC,2023,41.0,44.0,La Liga
BET,2023,28.0,29.0,La Liga
CAD,2023,15.0,18.0,La Liga
CEL,2023,16.0,25.0,La Liga
GET,2023,26.0,17.0,La Liga
GIR,2023,48.0,33.0,La Liga
GRA,2023,11.0,10.0,La Liga
LASP,2023,25.0,15.0,La Liga
MALL,2023,18.0,22.0,La Liga
OSA,2023,22.0,23.0,La Liga
RAYO,2023,23.0,15.0,La Liga
RMA,2023,48.0,47.0,La Liga
RSO,2023,32.0,28.0,La Liga
SEV,2023,16.0,25.0,La Liga
VIL,2023,19.0,34.0,La Liga
VLC,2023,26.0,23.0,La Liga
ALA,2024,17.0,25.0,La Liga
ATHB,2024,36.0,34.0,La Liga
ATHM,2024,44.0,32.0,La Liga
BARC,2024,38.0,50.0,La Liga
BET,2024,25.0,35.0,La Liga
CEL,2024,24.0,31.0,La Liga
ESP,2024,16.0,26.0,La Liga
GET,2024,19.0,23.0,La Liga
GIR,2024,28.0,13.0,La Liga
LASP,2024,22.0,10.0,La Liga
LEG,2024,19.0,21.0,La Liga
MALL,2024,30.0,18.0,La Liga
OSA,2024,25.0,27.0,La Liga
RAYO,2024,25.0,27.0,La Liga
RMA,2024,43.0,41.0,La Liga
RSO,2024,28.0,18.0,La Liga
SEV,2024,23.0,18.0,La Liga
VIL,2024,30.0,40.0,La Liga
VLC,2024,13.0,33.0,La Liga
VLLD,2024,15.0,1.0,La Liga
ARS,2001,36.0,51.0,Premier League
AVL,2001,27.0,23.0,Premier League
BLBN,2001,22.0,24.0,Premier League
BOLN,2001,21.0,19.0,Premier League
CHA,2001,23.0,21.0,Premier League
CHE,2001,30.0,34.0,Premier League
DER,2001,16.0,14.0,Premier League
EVE,2001,23.0,20.0,Premier League
FUL,2001,24.0,20.0,Premier League
IPS,2001,15.0,21.0,Premier League
LEE,2001,35.0,31.0,Premier League
LEIC,2001,15.0,13.0,Premier League
LIVP,2001,37.0,43.0,Premier League
MANU,2001,33.0,44.0,Premier League
MID,2001,19.0,26.0,Premier League
NEW,2001,39.0,32.0,Premier League
SOU,2001,19.0,26.0,Premier League
SUN,2001,26.0,14.0,Premier League
TOT,2001,27.0,23.0,Premier League
WHU,2001,24.0,29.0,Premier League
ARS,2002,39.0,39.0,Premier League
AVL,2002,22.0,23.0,Premier League
BIR,2002,24.0,24.0,Premier League
BLBN,2002,27.0,33.0,Premier League
BOLN,2002,18.0,26.0,Premier League
CHA,2002,25.0,24.0,Premier League
CHE,2002,37.0,30.0,Premier League
EVE,2002,33.0,26.0,Premier League
FUL,2002,22.0,26.0,Premier League
LEE,2002,21.0,26.0,Premier League
LIVP,2002,32.0,32.0,Premier League
MANC,2002,24.0,27.0,Premier League
MANU,2002,35.0,48.0,Premier League
MID,2002,26.0,23.0,Premier League
NEW,2002,32.0,37.0,Premier League
SOU,2002,28.0,24.0,Premier League
SUN,2002,18.0,1.0,Premier League
TOT,2002,31.0,19.0,Premier League
WBA,2002,16.0,10.0,Premier League
WHU,2002,14.0,28.0,Premier League
ARS,2005,33.0,34.0,Premier League
AVL,2005,21.0,21.0,Premier League
BIR,2005,13.0,21.0,Premier League
BLBN,2005,27.0,36.0,Premier League
BOLN,2005,32.0,24.0,Premier League
CHA,2005,25.0,22.0,Premier League
CHE,2005,52.0,39.0,Premier League
EVE,2005,17.0,33.0,Premier League
FUL,2005,20.0,28.0,Premier League
LIVP,2005,41.0,41.0,Premier League
MANC,2005,27.0,16.0,Premier League
MANU,2005,41.0,42.0,Premier League
MID,2005,21.0,24.0,Premier League
NEW,2005,25.0,33.0,Premier League
POR,2005,14.0,24.0,Premier League
SUN,2005,6.0,9.0,Premier League
TOT,2005,34.0,31.0,Premier League
WBA,2005,19.0,11.0,Premier League
WHU,2005,26.0,29.0,Premier League
WIG,2005,34.0,17.0,Premier League
ARS,2006,33.0,35.0,Premier League
AVL,2006,25.0,25.0,Premier League
BLBN,2006,22.0,30.0,Premier League
BOLN,2006,33.0,23.0,Premier League
CHA,2006,12.0,22.0,Premier League
CHE,2006,45.0,38.0,Premier League
EVE,2006,27.0,31.0,Premier League
FUL,2006,24.0,15.0,Premier League
LIVP,2006,34.0,34.0,Premier League
MANC,2006,20.0,22.0,Premier League
MANU,2006,47.0,42.0,Premier League
MID,2006,20.0,26.0,Premier League
NEW,2006,25.0,18.0,Premier League
POR,2006,32.0,22.0,Premier League
REA,2006,26.0,29.0,Premier League
SHU,2006,20.0,18.0,Premier League
TOT,2006,28.0,32.0,Premier League
WAT,2006,11.0,17.0,Premier League
WHU,2006,18.0,23.0,Premier League
WIG,2006,22.0,16.0,Premier League
ARS,2007,44.0,39.0,Premier League
AVL,2007,30.0,30.0,Premier League
BIR,2007,18.0,17.0,Premier League
BLBN,2007,27.0,31.0,Premier League
BOLN,2007,17.0,20.0,Premier League
CHE,2007,38.0,47.0,Premier League
DER,2007,7.0,4.0,Premier League
EVE,2007,33.0,32.0,Premier League
FUL,2007,14.0,22.0,Premier League
LIVP,2007,37.0,39.0,Premier League
MANC,2007,35.0,20.0,Premier League
MANU,2007,45.0,42.0,Premier League
MID,2007,17.0,25.0,Premier League
NEW,2007,26.0,17.0,Premier League
POR,2007,31.0,26.0,Premier League
REA,2007,22.0,14.0,Premier League
SUN,2007,14.0,25.0,Premier League
TOT,2007,21.0,25.0,Premier League
WHU,2007,29.0,20.0,Premier League
WIG,2007,16.0,24.0,Premier League
ARS,2008,32.0,40.0,Premier League
AVL,2008,35.0,27.0,Premier League
BLBN,2008,17.0,24.0,Premier League
BOLN,2008,23.0,18.0,Premier League
CHE,2008,41.0,42.0,Premier League
EVE,2008,29.0,34.0,Premier League
FUL,2008,26.0,27.0,Premier League
HUL,2008,27.0,8.0,Premier League
LIVP,2008,42.0,44.0,Premier League
MANC,2008,21.0,29.0,Premier League
MANU,2008,41.0,49.0,Premier League
MID,2008,20.0,12.0,Premier League
NEW,2008,22.0,12.0,Premier League
POR,2008,23.0,18.0,Premier League
STO,2008,20.0,25.0,Premier League
SUN,2008,22.0,14.0,Premier League
TOT,2008,20.0,31.0,Premier League
WBA,2008,15.0,17.0,Premier League
WHU,2008,22.0,29.0,Premier League
WIG,2008,28.0,17.0,Premier League
ARS,2009,41.0,34.0,Premier League
AVL,2009,35.0,29.0,Premier League
BIR,2009,29.0,21.0,Premier League
BLBN,2009,20.0,30.0,Premier League
BOLN,2009,18.0,21.0,Premier League
BUR,2009,20.0,10.0,Premier League
CHE,2009,42.0,44.0,Premier League
EVE,2009,22.0,39.0,Premier League
FUL,2009,27.0,19.0,Premier League
HUL,2009,17.0,13.0,Premier League
LIVP,2009,30.0,33.0,Premier League
MANC,2009,35.0,32.0,Premier League
MANU,2009,40.0,45.0,Premier League
POR,2009,14.0,14.0,Premier League
STO,2009,21.0,26.0,Premier League
SUN,2009,22.0,22.0,Premier League
TOT,2009,34.0,36.0,Premier League
WHU,2009,18.0,17.0,Premier League
WIG,2009,19.0,17.0,Premier League
WOLV,2009,19.0,19.0,Premier League
ARS,2010,36.0,32.0,Premier League
AVL,2010,20.0,28.0,Premier League
BIR,2010,19.0,20.0,Premier League
BLBN,2010,22.0,21.0,Premier League
BLPL,2010,25.0,14.0,Premier League
BOLN,2010,29.0,17.0,Premier League
CHE,2010,34.0,37.0,Premier League
EVE,2010,22.0,32.0,Premier League
FUL,2010,19.0,30.0,Premier League
LIVP,2010,25.0,33.0,Premier League
MANC,2010,35.0,36.0,Premier League
MANU,2010,41.0,39.0,Premier League
NEW,2010,22.0,24.0,Premier League
STO,2010,24.0,22.0,Premier League
SUN,2010,27.0,20.0,Premier League
TOT,2010,33.0,29.0,Premier League
WBA,2010,22.0,25.0,Premier League
WHU,2010,16.0,17.0,Premier League
WIG,2010,20.0,22.0,Premier League
WOLV,2010,18.0,22.0,Premier League
ARS,2011,36.0,34.0,Premier League
AVL,2011,23.0,15.0,Premier League
BLBN,2011,14.0,17.0,Premier League
BOLN,2011,13.0,23.0,Premier League
CHE,2011,34.0,30.0,Premier League
EVE,2011,24.0,32.0,Premier League
FUL,2011,20.0,32.0,Premier League
LIVP,2011,34.0,18.0,Premier League
MANC,2011,45.0,44.0,Premier League
MANU,2011,45.0,44.0,Premier League
NEW,2011,30.0,35.0,Premier League
NOR,2011,22.0,25.0,Premier League
QPR,2011,17.0,20.0,Premier League
STO,2011,26.0,19.0,Premier League
SUN,2011,21.0,24.0,Premier League
SWA,2011,20.0,27.0,Premier League
TOT,2011,42.0,27.0,Premier League
WBA,2011,22.0,25.0,Premier League
WIG,2011,15.0,28.0,Premier League
WOLV,2011,17.0,8.0,Premier League
ARS,2012,33.0,40.0,Premier League
AVL,2012,18.0,23.0,Premier League
CHE,2012,38.0,37.0,Premier League
EVE,2012,33.0,30.0,Premier League
FUL,2012,21.0,22.0,Premier League
LIVP,2012,25.0,36.0,Premier League
MANC,2012,39.0,39.0,Premier League
MANU,2012,46.0,43.0,Premier League
NEW,2012,20.0,21.0,Premier League
NOR,2012,25.0,19.0,Premier League
QPR,2012,10.0,15.0,Premier League
REA,2012,10.0,18.0,Premier League
SOU,2012,17.0,24.0,Premier League
STO,2012,28.0,14.0,Premier League
SUN,2012,22.0,17.0,Premier League
SWA,2012,25.0,21.0,Premier League
TOT,2012,33.0,39.0,Premier League
WBA,2012,33.0,16.0,Premier League
WHU,2012,23.0,23.0,Premier League
WIG,2012,15.0,21.0,Premier League
ARS,2013,42.0,37.0,Premier League
AVL,2013,20.0,18.0,Premier League
CARD,2013,18.0,12.0,Premier League
CHE,2013,40.0,42.0,Premier League
CRY,2013,16.0,29.0,Premier League
EVE,2013,37.0,35.0,Premier League
FUL,2013,16.0,16.0,Premier League
HUL,2013,23.0,14.0,Premier League
LIVP,2013,36.0,48.0,Premier League
MANC,2013,41.0,45.0,Premier League
MANU,2013,34.0,30.0,Premier League
NEW,2013,33.0,16.0,Premier League
NOR,2013,19.0,14.0,Premier League
SOU,2013,27.0,29.0,Premier League
STO,2013,21.0,29.0,Premier League
SUN,2013,14.0,24.0,Premier League
SWA,2013,21.0,21.0,Premier League
TOT,2013,34.0,35.0,Premier League
WBA,2013,18.0,18.0,Premier League
WHU,2013,15.0,25.0,Premier League
ARS,2014,33.0,42.0,Premier League
AVL,2014,21.0,17.0,Premier League
BUR,2014,16.0,17.0,Premier League
CHE,2014,46.0,41.0,Premier League
CRY,2014,16.0,32.0,Premier League
EVE,2014,21.0,26.0,Premier League
HUL,2014,16.0,19.0,Premier League
LEIC,2014,13.0,28.0,Premier League
LIVP,2014,28.0,34.0,Premier League
MANC,2014,43.0,36.0,Premier League
MANU,2014,36.0,34.0,Premier League
NEW,2014,26.0,13.0,Premier League
QPR,2014,18.0,12.0,Premier League
SOU,2014,33.0,27.0,Premier League
STO,2014,25.0,29.0,Premier League
SUN,2014,20.0,18.0,Premier League
SWA,2014,28.0,28.0,Premier League
TOT,2014,31.0,33.0,Premier League
WBA,2014,17.0,27.0,Premier League
WHU,2014,31.0,16.0,Premier League
ARS,2015,39.0,32.0,Premier League
AVL,2015,8.0,9.0,Premier League
BOU,2015,20.0,22.0,Premier League
CHE,2015,20.0,30.0,Premier League
CRY,2015,31.0,11.0,Premier League
EVE,2015,26.0,21.0,Premier League
LEIC,2015,39.0,42.0,Premier League
LIVP,2015,30.0,30.0,Premier League
MANC,2015,36.0,30.0,Premier League
MANU,2015,30.0,36.0,Premier League
NEW,2015,17.0,20.0,Premier League
NOR,2015,20.0,14.0,Premier League
SOU,2015,24.0,39.0,Premier League
STO,2015,29.0,22.0,Premier League
SUN,2015,12.0,27.0,Premier League
SWA,2015,19.0,28.0,Premier League
TOT,2015,35.0,35.0,Premier League
WAT,2015,29.0,16.0,Premier League
WBA,2015,23.0,20.0,Premier League
WHU,2015,29.0,33.0,Premier League
ARS,2016,40.0,35.0,Premier League
BOU,2016,24.0,22.0,Premier League
BUR,2016,23.0,17.0,Premier League
CHE,2016,49.0,44.0,Premier League
CRY,2016,16.0,25.0,Premier League
EVE,2016,27.0,34.0,Premier League
HUL,2016,13.0,21.0,Premier League
LEIC,2016,20.0,24.0,Premier League
LIVP,2016,43.0,33.0,Premier League
MANC,2016,39.0,39.0,Premier League
MANU,2016,36.0,33.0,Premier League
MID,2016,18.0,10.0,Premier League
SOU,2016,24.0,22.0,Premier League
STO,2016,21.0,23.0,Premier League
SUN,2016,14.0,10.0,Premier League
SWA,2016,12.0,29.0,Premier League
TOT,2016,39.0,47.0,Premier League
WAT,2016,22.0,18.0,Premier League
WBA,2016,26.0,19.0,Premier League
WHU,2016,22.0,23.0,Premier League
ARS,2017,34.0,29.0,Premier League
BHA,2017,21.0,19.0,Premier League
BOU,2017,16.0,28.0,Premier League
BUR,2017,32.0,22.0,Premier League
CHE,2017,39.0,31.0,Premier League
CRY,2017,18.0,26.0,Premier League
EVE,2017,26.0,23.0,Premier League
HUD,2017,22.0,15.0,Premier League
LEIC,2017,27.0,20.0,Premier League
LIVP,2017,35.0,40.0,Premier League
MANC,2017,55.0,45.0,Premier League
MANU,2017,42.0,39.0,Premier League
NEW,2017,18.0,26.0,Premier League
SOU,2017,19.0,17.0,Premier League
STO,2017,19.0,14.0,Premier League
SWA,2017,13.0,20.0,Premier League
TOT,2017,34.0,43.0,Premier League
WAT,2017,22.0,19.0,Premier League
WBA,2017,14.0,17.0,Premier League
WHU,2017,17.0,25.0,Premier League
ARS,2018,38.0,32.0,Premier League
BHA,2018,22.0,14.0,Premier League
BOU,2018,26.0,19.0,Premier League
BUR,2018,12.0,28.0,Premier League
CARD,2018,15.0,19.0,Premier League
CHE,2018,40.0,32.0,Premier League
CRY,2018,19.0,30.0,Premier League
EVE,2018,27.0,27.0,Premier League
FUL,2018,11.0,15.0,Premier League
HUD,2018,10.0,6.0,Premier League
LEIC,2018,28.0,24.0,Premier League
LIVP,2018,51.0,46.0,Premier League
MANC,2018,44.0,54.0,Premier League
MANU,2018,32.0,34.0,Premier League
NEW,2018,17.0,28.0,Premier League
SOU,2018,15.0,24.0,Premier League
TOT,2018,45.0,26.0,Premier League
WAT,2018,27.0,23.0,Premier League
WHU,2018,27.0,25.0,Premier League
WOLV,2018,26.0,31.0,Premier League
ARS,2019,24.0,32.0,Premier League
AVL,2019,18.0,17.0,Premier League
BHA,2019,20.0,21.0,Premier League
BOU,2019,20.0,14.0,Premier League
BUR,2019,24.0,30.0,Premier League
CHE,2019,32.0,34.0,Premier League
CRY,2019,26.0,17.0,Premier League
EVE,2019,22.0,27.0,Premier League
LEIC,2019,39.0,23.0,Premier League
LIVP,2019,55.0,44.0,Premier League
MANC,2019,38.0,43.0,Premier League
MANU,2019,28.0,38.0,Premier League
NEW,2019,25.0,19.0,Premier League
NOR,2019,12.0,9.0,Premier League
SHU,2019,29.0,25.0,Premier League
SOU,2019,21.0,31.0,Premier League
TOT,2019,29.0,30.0,Premier League
WAT,2019,13.0,21.0,Premier League
WHU,2019,19.0,20.0,Premier League
WOLV,2019,30.0,29.0,Premier League
ARS,2020,27.0,34.0,Premier League
AVL,2020,32.0,23.0,Premier League
BHA,2020,17.0,24.0,Premier League
BUR,2020,22.0,17.0,Premier League
CHE,2020,29.0,38.0,Premier League
CRY,2020,23.0,21.0,Premier League
EVE,2020,33.0,26.0,Premier League
FUL,2020,13.0,15.0,Premier League
LEE,2020,26.0,33.0,Premier League
LEIC,2020,38.0,28.0,Premier League
LIVP,2020,34.0,35.0,Premier League
MANC,2020,41.0,45.0,Premier League
MANU,2020,40.0,34.0,Premier League
NEW,2020,19.0,26.0,Premier League
SHU,2020,5.0,18.0,Premier League
SOU,2020,29.0,14.0,Premier League
TOT,2020,33.0,29.0,Premier League
WBA,2020,11.0,15.0,Premier League
WHU,2020,32.0,33.0,Premier League
WOLV,2020,22.0,23.0,Premier League
ARS,2021,35.0,34.0,Premier League
AVL,2021,22.0,23.0,Premier League
BHA,2021,27.0,24.0,Premier League
BRNT,2021,23.0,23.0,Premier League
BUR,2021,13.0,22.0,Premier League
CHE,2021,41.0,33.0,Premier League
CRY,2021,23.0,25.0,Premier League
EVE,2021,19.0,20.0,Premier League
LEE,2021,19.0,19.0,Premier League
LEIC,2021,25.0,27.0,Premier League
LIVP,2021,41.0,51.0,Premier League
MANC,2021,47.0,46.0,Premier League
MANU,2021,31.0,27.0,Premier League
NEW,2021,11.0,38.0,Premier League
NOR,2021,10.0,12.0,Premier League
SOU,2021,21.0,19.0,Premier League
TOT,2021,36.0,35.0,Premier League
WAT,2021,14.0,9.0,Premier League
WHU,2021,31.0,25.0,Premier League
WOLV,2021,28.0,23.0,Premier League
ARS,2022,50.0,34.0,Premier League
AVL,2022,25.0,36.0,Premier League
BHA,2022,31.0,31.0,Premier League
BOU,2022,16.0,23.0,Premier League
BRNT,2022,29.0,30.0,Premier League
CHE,2022,28.0,16.0,Premier League
CRY,2022,23.0,22.0,Premier League
EVE,2022,15.0,21.0,Premier League
FUL,2022,31.0,21.0,Premier League
LEE,2022,18.0,13.0,Premier League
LEIC,2022,17.0,17.0,Premier League
LIVP,2022,29.0,38.0,Premier League
MANC,2022,42.0,47.0,Premier League
MANU,2022,39.0,36.0,Premier League
NEW,2022,38.0,33.0,Premier League
NOTF,2022,20.0,18.0,Premier League
SOU,2022,15.0,10.0,Premier League
TOT,2022,33.0,27.0,Premier League
WHU,2022,15.0,25.0,Premier League
WOLV,2022,17.0,24.0,Premier League
ARS,2023,40.0,49.0,Premier League
AVL,2023,39.0,29.0,Premier League
BHA,2023,30.0,18.0,Premier League
BOU,2023,25.0,23.0,Premier League
BRNT,2023,19.0,20.0,Premier League
BUR,2023,11.0,13.0,Premier League
CHE,2023,25.0,38.0,Premier League
CRY,2023,18.0,31.0,Premier League
EVE,2023,26.0,22.0,Premier League
FUL,2023,21.0,26.0,Premier League
LIVP,2023,42.0,40.0,Premier League
LUT,2023,15.0,11.0,Premier League
MANC,2023,40.0,51.0,Premier League
MANU,2023,31.0,29.0,Premier League
NEW,2023,29.0,31.0,Premier League
NOTF,2023,17.0,19.0,Premier League
SHU,2023,9.0,7.0,Premier League
TOT,2023,36.0,30.0,Premier League
WHU,2023,33.0,19.0,Premier League
WOLV,2023,25.0,21.0,Premier League
ARS,2024,39.0,35.0,Premier League
AVL,2024,29.0,37.0,Premier League
BHA,2024,27.0,34.0,Premier League
BOU,2024,30.0,26.0,Premier League
BRNT,2024,24.0,32.0,Premier League
CHE,2024,35.0,34.0,Premier League
CRY,2024,20.0,33.0,Premier League
EVE,2024,17.0,31.0,Premier League
FUL,2024,29.0,25.0,Premier League
IPS,2024,15.0,7.0,Premier League
LEIC,2024,14.0,11.0,Premier League
LIVP,2024,46.0,38.0,Premier League
MANC,2024,31.0,40.0,Premier League
MANU,2024,22.0,20.0,Premier League
NEW,2024,32.0,34.0,Premier League
NOTF,2024,37.0,28.0,Premier League
SOU,2024,6.0,6.0,Premier League
TOT,2024,24.0,14.0,Premier League
WHU,2024,23.0,20.0,Premier League
WOLV,2024,16.0,26.0,Premier League
ATA,2000,29.0,15.0,Serie A
BARI,2000,12.0,8.0,Serie A
BOLG,2000,24.0,19.0,Serie A
BRES,2000,17.0,27.0,Serie A
FIO,2000,25.0,18.0,Serie A
INT,2000,24.0,27.0,Serie A
JUV,2000,33.0,40.0,Serie A
LAZ,2000,33.0,36.0,Serie A
LEC,2000,21.0,16.0,Serie A
MIL,2000,27.0,22.0,Serie A
NAP,2000,17.0,19.0,Serie A
PAR,2000,23.0,33.0,Serie A
PER,2000,25.0,17.0,Serie A
REG,2000,13.0,24.0,Serie A
ROM,2000,39.0,36.0,Serie A
UDI,2000,25.0,13.0,Serie A
VER,2000,15.0,22.0,Serie A
VIC,2000,16.0,20.0,Serie A
ATA,2001,21.0,24.0,Serie A
BOLG,2001,27.0,25.0,Serie A
BRES,2001,18.0,22.0,Serie A
CHI,2001,33.0,21.0,Serie A
FIO,2001,14.0,8.0,Serie A
INT,2001,35.0,34.0,Serie A
JUV,2001,31.0,40.0,Serie A
LAZ,2001,25.0,28.0,Serie A
LEC,2001,17.0,11.0,Serie A
MIL,2001,30.0,25.0,Serie A
PAR,2001,17.0,27.0,Serie A
PER,2001,22.0,24.0,Serie A
PIA,2001,18.0,24.0,Serie A
ROM,2001,36.0,34.0,Serie A
TOR,2001,17.0,26.0,Serie A
UDI,2001,21.0,19.0,Serie A
VEN,2001,10.0,8.0,Serie A
VER,2001,25.0,14.0,Serie A
ATA,2002,14.0,24.0,Serie A
BOLG,2002,27.0,14.0,Serie A
BRES,2002,18.0,24.0,Serie A
CHI,2002,32.0,23.0,Serie A
COM,2002,7.0,17.0,Serie A
EMP,2002,22.0,16.0,Serie A
INT,2002,36.0,29.0,Serie A
JUV,2002,35.0,37.0,Serie A
LAZ,2002,36.0,24.0,Serie A
MIL,2002,39.0,22.0,Serie A
MOD,2002,20.0,18.0,Serie A
PAR,2002,26.0,30.0,Serie A
PER,2002,22.0,20.0,Serie A
PIA,2002,13.0,17.0,Serie A
REG,2002,13.0,25.0,Serie A
ROM,2002,23.0,26.0,Serie A
TOR,2002,10.0,11.0,Serie A
UDI,2002,26.0,30.0,Serie A
ASC,2005,20.0,23.0,Serie A
CAG,2005,15.0,24.0,Serie A
CHI,2005,30.0,24.0,Serie A
EMP,2005,18.0,27.0,Serie A
FIO,2005,40.0,34.0,Serie A
INT,2005,42.0,34.0,Serie A
JUV,2005,52.0,39.0,Serie A
LAZ,2005,28.0,34.0,Serie A
LEC,2005,12.0,17.0,Serie A
LIVO,2005,35.0,14.0,Serie A
MES,2005,17.0,14.0,Serie A
MIL,2005,40.0,48.0,Serie A
PAL,2005,23.0,29.0,Serie A
PAR,2005,15.0,30.0,Serie A
REG,2005,19.0,22.0,Serie A
ROM,2005,30.0,39.0,Serie A
SAM,2005,28.0,13.0,Serie A
SIE,2005,21.0,18.0,Serie A
TRE,2005,12.0,9.0,Serie A
