league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
Bundesliga,2004,0.35784313725490197,306,109.5,65,0.5359477124183006
Bundesliga,2005,0.3627450980392157,306,111.0,96,0.4803921568627451
Bundesliga,2006,0.380718954248366,306,116.5,79,0.49019607843137253
Bundesliga,2007,0.3562091503267974,306,109.0,78,0.5163398692810458
Bundesliga,2008,0.32679738562091504,306,100.0,74,0.5522875816993464
Bundesliga,2009,0.35294117647058826,306,108.0,86,0.5065359477124183
Bundesliga,2010,0.35784313725490197,306,109.5,63,0.5392156862745098
Bundesliga,2011,0.3415032679738562,306,104.5,79,0.5294117647058824
Bundesliga,2012,0.3333333333333333,306,102.0,78,0.5392156862745098
Bundesliga,2013,0.3137254901960784,306,96.0,64,0.5816993464052288
Bundesliga,2014,0.38562091503267976,306,118.0,82,0.4803921568627451
Bundesliga,2015,0.35130718954248363,306,107.5,71,0.5326797385620915
Bundesliga,2016,0.34967320261437906,306,107.0,74,0.5294117647058824
Bundesliga,2017,0.34477124183006536,306,105.5,83,0.5196078431372549
Bundesliga,2018,0.29248366013071897,306,89.5,73,0.5882352941176471
Bundesliga,2019,0.3464052287581699,306,106.0,68,0.5424836601307189
Bundesliga,2020,0.34477124183006536,306,105.5,81,0.5228758169934641
Bundesliga,2021,0.34477124183006536,306,105.5,73,0.5359477124183006
Bundesliga,2022,0.3480392156862745,306,106.5,75,0.5294117647058824
Bundesliga,2023,0.3055555555555556,306,93.5,81,0.5620915032679739
Bundesliga,2024,0.33986928104575165,306,104.0,78,0.5326797385620915
