league,season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
bundesliga,2024,2025-03-29,EINF,STU,1.0,0.0,1,3.0,0.0,2.52,3.65,2.63
bundesliga,2024,2025-03-28,LEVK,BOC,3.0,1.0,1,3.0,0.0,1.23,6.58,12.03
bundesliga,2024,2025-03-16,BOC,EINF,1.0,3.0,-1,0.0,3.0,3.09,3.6,2.24
bundesliga,2024,2025-03-16,HEI,HOLK,3.0,1.0,1,3.0,0.0,2.02,3.59,3.64
bundesliga,2024,2025-03-16,STU,LEVK,3.0,4.0,-1,0.0,3.0,3.03,3.54,2.29
bundesliga,2024,2025-03-15,AUG,WOB,1.0,0.0,1,3.0,0.0,2.6,3.29,2.81
bundesliga,2024,2025-03-15,MAI,FRE,2.0,2.0,0,1.0,1.0,2.01,3.42,3.91
bundesliga,2024,2025-03-15,UNI,BAY,1.0,1.0,0,1.0,1.0,8.5,5.27,1.35
bundesliga,2024,2025-03-15,WERB,M'G,2.0,4.0,-1,0.0,3.0,2.4,3.61,2.83
bundesliga,2024,2025-03-15,RBL,DOR,2.0,0.0,1,3.0,0.0,2.41,3.63,2.82
bundesliga,2024,2025-03-14,STP,HOF,1.0,0.0,1,3.0,0.0,2.3,3.28,3.3
bundesliga,2024,2025-03-09,EINF,UNI,1.0,2.0,-1,0.0,3.0,1.74,4.04,4.45
bundesliga,2024,2025-03-09,HOF,HEI,1.0,1.0,0,1.0,1.0,1.77,3.98,4.31
bundesliga,2024,2025-03-08,BAY,BOC,2.0,3.0,-1,0.0,3.0,1.11,10.81,18.52
bundesliga,2024,2025-03-08,DOR,AUG,0.0,1.0,-1,0.0,3.0,1.53,4.39,6.02
bundesliga,2024,2025-03-08,HOLK,STU,2.0,2.0,0,1.0,1.0,5.78,4.64,1.52
bundesliga,2024,2025-03-08,LEVK,WERB,0.0,2.0,-1,0.0,3.0,1.26,6.22,10.53
bundesliga,2024,2025-03-08,WOB,STP,1.0,1.0,0,1.0,1.0,1.76,3.72,4.79
bundesliga,2024,2025-03-08,FRE,RBL,0.0,0.0,0,1.0,1.0,2.6,3.32,2.75
bundesliga,2024,2025-03-07,M'G,MAI,1.0,3.0,-1,0.0,3.0,2.6,3.41,2.7
bundesliga,2024,2025-03-02,UNI,HOLK,0.0,1.0,-1,0.0,3.0,1.6,4.23,5.3
bundesliga,2024,2025-03-02,AUG,FRE,0.0,0.0,0,1.0,1.0,2.65,3.15,2.82
bundesliga,2024,2025-03-01,BOC,HOF,0.0,1.0,-1,0.0,3.0,2.43,3.57,2.83
bundesliga,2024,2025-03-01,HEI,M'G,0.0,3.0,-1,0.0,3.0,3.02,3.59,2.29
bundesliga,2024,2025-03-01,RBL,MAI,1.0,2.0,-1,0.0,3.0,1.99,3.7,3.64
bundesliga,2024,2025-03-01,STP,DOR,0.0,2.0,-1,0.0,3.0,4.12,3.73,1.87
bundesliga,2024,2025-03-01,WERB,WOB,1.0,2.0,-1,0.0,3.0,2.65,3.53,2.59
bundesliga,2024,2025-03-01,EINF,LEVK,1.0,4.0,-1,0.0,3.0,4.58,3.92,1.74
bundesliga,2024,2025-02-28,STU,BAY,1.0,3.0,-1,0.0,3.0,4.85,4.29,1.67
bundesliga,2024,2025-02-23,RBL,HEI,2.0,2.0,0,1.0,1.0,1.35,5.37,7.98
bundesliga,2024,2025-02-23,BAY,EINF,4.0,0.0,1,3.0,0.0,1.3,6.33,8.27
bundesliga,2024,2025-02-23,HOF,STU,1.0,1.0,0,1.0,1.0,3.5,3.92,1.96
bundesliga,2024,2025-02-22,HOLK,LEVK,0.0,2.0,-1,0.0,3.0,10.53,6.57,1.25
bundesliga,2024,2025-02-22,MAI,STP,2.0,0.0,1,3.0,0.0,1.8,3.57,4.73
bundesliga,2024,2025-02-22,M'G,AUG,0.0,3.0,-1,0.0,3.0,1.84,3.79,4.19
bundesliga,2024,2025-02-22,WOB,BOC,1.0,1.0,0,1.0,1.0,1.55,4.42,5.7
bundesliga,2024,2025-02-22,DOR,UNI,6.0,0.0,1,3.0,0.0,1.55,4.46,5.59
bundesliga,2024,2025-02-21,FRE,WERB,5.0,0.0,1,3.0,0.0,2.06,3.48,3.74
bundesliga,2024,2025-02-16,WERB,HOF,1.0,3.0,-1,0.0,3.0,1.89,3.96,3.74
bundesliga,2024,2025-02-16,EINF,HOLK,3.0,1.0,1,3.0,0.0,1.33,5.69,8.17
bundesliga,2024,2025-02-16,HEI,MAI,0.0,2.0,-1,0.0,3.0,3.56,3.51,2.07
bundesliga,2024,2025-02-15,BOC,DOR,2.0,0.0,1,3.0,0.0,4.83,4.21,1.66
bundesliga,2024,2025-02-15,STP,FRE,0.0,1.0,-1,0.0,3.0,2.56,3.21,2.92
bundesliga,2024,2025-02-15,STU,WOB,1.0,2.0,-1,0.0,3.0,1.75,4.19,4.25
bundesliga,2024,2025-02-15,UNI,M'G,1.0,2.0,-1,0.0,3.0,2.27,3.54,3.11
bundesliga,2024,2025-02-15,LEVK,BAY,0.0,0.0,0,1.0,1.0,3.01,3.66,2.26
bundesliga,2024,2025-02-14,AUG,RBL,0.0,0.0,0,1.0,1.0,2.97,3.39,2.43
bundesliga,2024,2025-02-09,HOLK,BOC,2.0,2.0,0,1.0,1.0,2.29,3.54,3.04
bundesliga,2024,2025-02-09,RBL,STP,2.0,0.0,1,3.0,0.0,1.57,4.31,5.56
bundesliga,2024,2025-02-08,DOR,STU,1.0,2.0,-1,0.0,3.0,1.89,3.92,3.84
bundesliga,2024,2025-02-08,FRE,HEI,1.0,0.0,1,3.0,0.0,1.73,3.93,4.65
bundesliga,2024,2025-02-08,HOF,UNI,0.0,4.0,-1,0.0,3.0,2.22,3.57,3.18
bundesliga,2024,2025-02-08,MAI,AUG,0.0,0.0,0,1.0,1.0,1.77,3.66,4.78
bundesliga,2024,2025-02-08,WOB,LEVK,0.0,0.0,0,1.0,1.0,4.21,3.83,1.83
