league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
NBA,1951,INO,66,34,32,0,0.515,5474,5466,8,6
NBA,1951,PHA,66,33,33,0,0.5,5713,5795,-82,7
NBA,1951,FWP,66,29,37,0,0.439,5151,5286,-135,8
NBA,1951,BAL,66,20,46,0,0.303,5377,5873,-496,9
NBA,1951,MLH,66,17,49,0,0.258,4831,5357,-526,10
NBA,1952,MNL,70,48,22,0,0.686,5973,5544,429,1
NBA,1952,NYK,71,48,23,0,0.676,6065,5681,384,2
NBA,1952,SYN,71,47,24,0,0.662,6081,5775,306,3
NBA,1952,BOS,71,46,25,0,0.648,6258,6090,168,4
NBA,1952,RCH,70,44,26,0,0.629,6043,5847,196,5
NBA,1952,FWP,69,36,33,0,0.522,5591,5599,-8,6
NBA,1952,MLH,71,28,43,0,0.394,5320,5522,-202,7
NBA,1952,INO,70,27,43,0,0.386,5221,5424,-203,8
NBA,1952,BAL,71,16,55,0,0.225,5973,6440,-467,9
NBA,1952,PHA,70,12,58,0,0.171,5534,6137,-603,10
NBA,1953,MNL,72,46,26,0,0.639,5880,5660,220,1
NBA,1953,RCH,72,44,28,0,0.611,5742,5567,175,2
NBA,1953,NYK,72,44,28,0,0.611,5687,5697,-10,3
NBA,1953,SYN,72,42,30,0,0.583,6013,5660,353,4
NBA,1953,BOS,72,42,30,0,0.583,6312,6147,165,5
NBA,1953,FWP,72,40,32,0,0.556,5593,5476,117,6
NBA,1953,PHA,72,29,43,0,0.403,5634,5786,-152,7
NBA,1953,MLH,72,21,51,0,0.292,5038,5419,-381,8
NBA,1953,BAL,72,16,56,0,0.222,5638,6125,-487,9
NBA,1954,FWP,72,43,29,0,0.597,6652,6480,172,1
NBA,1954,SYN,72,43,29,0,0.597,6557,6457,100,2
NBA,1954,MNL,72,40,32,0,0.556,6885,6801,84,3
NBA,1954,NYK,72,38,34,0,0.528,6671,6665,6,4
NBA,1954,BOS,72,36,36,0,0.5,7303,7309,-6,5
NBA,1954,PHA,72,33,39,0,0.458,6712,6731,-19,6
NBA,1954,RCH,72,29,43,0,0.403,6535,6652,-117,7
NBA,1954,MLH,72,26,46,0,0.361,6290,6510,-220,8
NBA,1955,PHA,72,45,27,0,0.625,7424,7117,307,1
NBA,1955,BOS,72,39,33,0,0.542,7632,7585,47,2
NBA,1955,FWP,72,37,35,0,0.514,6794,6743,51,3
NBA,1955,SYN,72,35,37,0,0.486,6976,6975,1,4
NBA,1955,NYK,72,35,37,0,0.486,7212,7242,-30,5
NBA,1955,MNL,72,33,39,0,0.458,7148,7212,-64,6
NBA,1955,SLH,72,33,39,0,0.458,6953,7059,-106,7
NBA,1955,RCH,72,31,41,0,0.431,6900,7106,-206,8
NBA,1956,BOS,72,44,28,0,0.611,7599,7213,386,1
NBA,1956,SYN,72,38,34,0,0.528,7175,7277,-102,2
NBA,1956,PHA,72,37,35,0,0.514,7230,7116,114,3
NBA,1956,NYK,72,36,36,0,0.5,7255,7265,-10,4
NBA,1956,SLH,72,34,38,0,0.472,7091,7097,-6,5
NBA,1956,MNL,72,34,38,0,0.472,7363,7421,-58,6
NBA,1956,FWP,72,34,38,0,0.472,6938,7104,-166,7
NBA,1956,RCH,72,31,41,0,0.431,6728,6886,-158,8
NBA,1957,BOS,72,49,23,0,0.681,7915,7520,395,1
NBA,1957,SYN,72,41,31,0,0.569,7721,7564,157,2
NBA,1957,SLH,72,41,31,0,0.569,7738,7643,95,3
NBA,1957,PHA,72,37,35,0,0.514,7507,7516,-9,4
NBA,1957,NYK,72,35,37,0,0.486,8068,7981,87,5
NBA,1957,CIN,72,33,39,0,0.458,7322,7419,-97,6
NBA,1957,DET,72,33,39,0,0.458,7585,7754,-169,7
NBA,1957,MNL,72,19,53,0,0.264,7566,8025,-459,8
NBA,1958,BOS,72,52,20,0,0.722,8379,7912,467,1
NBA,1958,SLH,72,49,23,0,0.681,7830,7564,266,2
NBA,1958,NYK,72,40,32,0,0.556,7943,7925,18,3
NBA,1958,SYN,72,35,37,0,0.486,8146,7855,291,4
NBA,1958,MNL,72,33,39,0,0.458,7629,7725,-96,5
NBA,1958,PHA,72,32,40,0,0.444,7435,7651,-216,6
NBA,1958,DET,72,28,44,0,0.389,7565,7656,-91,7
NBA,1958,CIN,72,19,53,0,0.264,7421,8060,-639,8
NBA,1959,BOS,75,59,16,0,0.787,9337,8713,624,1
NBA,1959,PHA,75,49,26,0,0.653,8895,8698,197,2
NBA,1959,SLH,75,46,29,0,0.613,8506,8303,203,3
NBA,1959,SYN,75,45,30,0,0.6,8917,8720,197,4
NBA,1959,DET,75,30,45,0,0.4,8367,8624,-257,5
NBA,1959,NYK,75,27,48,0,0.36,8800,8973,-173,6
NBA,1959,MNL,75,25,50,0,0.333,8045,8362,-317,7
NBA,1959,CIN,75,19,56,0,0.253,8333,8807,-474,8
NBA,1960,BOS,79,57,22,0,0.722,9460,9013,447,1
NBA,1960,SLH,79,51,28,0,0.646,9383,9102,281,2
NBA,1960,PHA,79,46,33,0,0.582,9558,9484,74,3
NBA,1960,SYN,79,38,41,0,0.481,9586,9416,170,4
NBA,1960,LAL,79,36,43,0,0.456,9006,9010,-4,5
NBA,1960,DET,79,34,45,0,0.43,9370,9558,-188,6
NBA,1960,CIN,79,33,46,0,0.418,9312,9585,-273,7
