league,season,team_std,team_full
bundesliga,2012,WERB,Werder Bremen
bundesliga,2012,WOB,Wolfsburg
bundesliga,2013,AUG,Augsburg
bundesliga,2013,BAY,Bayern Munich
bundesliga,2013,BRA,Braunschweig
bundesliga,2013,DOR,Dortmund
bundesliga,2013,EINF,Ein Frankfurt
bundesliga,2013,FRE,Freiburg
bundesliga,2013,HAM,Hamburg
bundesliga,2013,HAN,Hannover
bundesliga,2013,HERT,Hertha
bundesliga,2013,HOF,Hoffenheim
bundesliga,2013,LEVK,Leverkusen
bundesliga,2013,M'G,M'gladbach
bundesliga,2013,MAI,Mainz
bundesliga,2013,NUR,Nurnberg
bundesliga,2013,SCH,Schalke 04
bundesliga,2013,STU,Stuttgart
bundesliga,2013,WERB,Werder Bremen
bundesliga,2013,WOB,Wolfsburg
bundesliga,2014,AUG,Augsburg
bundesliga,2014,BAY,Bayern Munich
bundesliga,2014,DOR,Dortmund
bundesliga,2014,EINF,Ein Frankfurt
bundesliga,2014,FRE,Freiburg
bundesliga,2014,HAM,Hamburg
bundesliga,2014,HAN,Hannover
bundesliga,2014,HERT,Hertha
bundesliga,2014,HOF,Hoffenheim
bundesliga,2014,KOL,FC Koln
bundesliga,2014,LEVK,Leverkusen
bundesliga,2014,M'G,M'gladbach
bundesliga,2014,MAI,Mainz
bundesliga,2014,PAD,Paderborn
bundesliga,2014,SCH,Schalke 04
bundesliga,2014,STU,Stuttgart
bundesliga,2014,WERB,Werder Bremen
bundesliga,2014,WOB,Wolfsburg
bundesliga,2015,AUG,Augsburg
bundesliga,2015,BAY,Bayern Munich
bundesliga,2015,DAR,Darmstadt
bundesliga,2015,DOR,Dortmund
bundesliga,2015,EINF,Ein Frankfurt
bundesliga,2015,HAM,Hamburg
bundesliga,2015,HAN,Hannover
bundesliga,2015,HERT,Hertha
bundesliga,2015,HOF,Hoffenheim
bundesliga,2015,ING,Ingolstadt
bundesliga,2015,KOL,FC Koln
bundesliga,2015,LEVK,Leverkusen
bundesliga,2015,M'G,M'gladbach
bundesliga,2015,MAI,Mainz
bundesliga,2015,SCH,Schalke 04
bundesliga,2015,STU,Stuttgart
bundesliga,2015,WERB,Werder Bremen
bundesliga,2015,WOB,Wolfsburg
bundesliga,2016,AUG,Augsburg
