season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2015,ROM,80,23,11,4,83,41,42,3
2015,INT,67,20,7,11,50,38,12,4
2015,FIO,64,18,10,10,60,42,18,5
2015,SAS,61,16,13,9,49,40,9,6
2015,MIL,57,15,12,11,49,43,6,7
2015,LAZ,54,15,9,14,52,52,0,8
2015,CHI,50,13,11,14,43,45,-2,9
2015,GEN,46,13,7,18,45,48,-3,10
2015,EMP,46,12,10,16,40,49,-9,11
2015,TOR,45,12,9,17,52,55,-3,12
2015,ATA,45,11,12,15,41,47,-6,13
2015,BOLG,42,11,9,18,33,45,-12,14
2015,SAM,40,10,10,18,48,61,-13,15
2015,UDI,39,10,9,19,35,60,-25,16
2015,PAL,39,10,9,19,38,65,-27,17
2015,CARP,38,9,11,18,37,57,-20,18
2015,FRO,31,8,7,23,35,76,-41,19
2015,VER,28,5,13,20,34,63,-29,20
2016,JUV,91,29,4,5,77,27,50,1
2016,ROM,87,28,3,7,90,38,52,2
2016,NAP,86,26,8,4,94,39,55,3
2016,ATA,72,21,9,8,62,41,21,4
2016,LAZ,70,21,7,10,74,51,23,5
2016,MIL,63,18,9,11,57,45,12,6
2016,INT,62,19,5,14,72,49,23,7
2016,FIO,60,16,12,10,63,57,6,8
2016,TOR,53,13,14,11,71,66,5,9
2016,SAM,48,12,12,14,49,55,-6,10
2016,CAG,47,14,5,19,55,76,-21,11
2016,SAS,46,13,7,18,58,63,-5,12
2016,UDI,45,12,9,17,47,56,-9,13
2016,CHI,43,12,7,19,43,61,-18,14
2016,BOLG,41,11,8,19,40,58,-18,15
2016,GEN,36,9,9,20,38,64,-26,16
2016,CRO,34,9,7,22,34,58,-24,17
2016,EMP,32,8,8,22,29,61,-32,18
2016,PAL,26,6,8,24,33,77,-44,19
2016,PES,18,3,9,26,37,81,-44,20
2017,JUV,95,30,5,3,86,24,62,1
2017,NAP,91,28,7,3,77,29,48,2
2017,ROM,77,23,8,7,61,28,33,3
2017,LAZ,72,21,9,8,89,49,40,4
2017,INT,72,20,12,6,66,30,36,5
2017,MIL,64,18,10,10,56,42,14,6
2017,ATA,60,16,12,10,57,39,18,7
2017,FIO,57,16,9,13,54,46,8,8
2017,TOR,54,13,15,10,54,46,8,9
2017,SAM,54,16,6,16,56,60,-4,10
2017,SAS,43,11,10,17,29,59,-30,11
2017,GEN,41,11,8,19,33,43,-10,12
2017,UDI,40,12,4,22,48,63,-15,13
2017,CHI,40,10,10,18,36,59,-23,14
2017,BOLG,39,11,6,21,40,52,-12,15
2017,CAG,39,11,6,21,33,61,-28,16
2017,SPA,38,8,14,16,39,59,-20,17
2017,CRO,35,9,8,21,40,66,-26,18
2017,VER,25,7,4,27,30,78,-48,19
2017,BEN,21,6,3,29,33,84,-51,20
2018,JUV,90,28,6,4,70,30,40,1
2018,NAP,79,24,7,7,74,36,38,2
2018,ATA,69,20,9,9,77,46,31,3
2018,INT,69,20,9,9,57,33,24,4
2018,MIL,68,19,11,8,55,36,19,5
2018,ROM,66,18,12,8,66,48,18,6
