Season,Team_Standardized,Team_Full_Name
2010,BOL,Bologna
2010,BRE,Brescia
2010,CAG,Cagliari
2010,CAT,Catania
2010,CES,Cesena
2010,CHI,Chievo
2010,FIO,Fiorentina
2010,GEN,Genoa
2010,INT,Inter
2010,JUV,Juventus
2010,LAZ,Lazio
2010,LEC,Lecce
2010,LIV,Livorno
2010,MIL,Milan
2010,NAP,Napoli
2010,NOV,Novara
2010,PAL,Palermo
2010,PAR,Parma
2010,ROM,Roma
2010,SAM,Sampdoria
2010,SIE,Siena
2010,UDI,Udinese
2011,ATA,Atalanta
2011,BAR,Bari
2011,BOL,Bologna
2011,BRE,Brescia
2011,CAG,Cagliari
2011,CAT,Catania
2011,CES,Cesena
2011,CHI,Chievo
2011,FIO,Fiorentina
2011,GEN,Genoa
2011,INT,Inter
2011,JUV,Juventus
2011,LAZ,Lazio
2011,LEC,Lecce
2011,MIL,Milan
2011,NAP,Napoli
2011,NOV,Novara
2011,PAL,Palermo
2011,PAR,Parma
2011,PES,Pescara
2011,ROM,Roma
2011,SAM,Sampdoria
2011,SIE,Siena
2011,TOR,Torino
2011,UDI,Udinese
2012,ATA,Atalanta
2012,BOL,Bologna
2012,CAG,Cagliari
2012,CAT,Catania
2012,CES,Cesena
2012,CHI,Chievo
2012,FIO,Fiorentina
2012,GEN,Genoa
2012,INT,Inter
2012,JUV,Juventus
2012,LAZ,Lazio
2012,LEC,Lecce
2012,LIV,Livorno
2012,MIL,Milan
2012,NAP,Napoli
2012,NOV,Novara
2012,PAL,Palermo
2012,PAR,Parma
2012,PES,Pescara
2012,ROM,Roma
2012,SAM,Sampdoria
2012,SAS,Sassuolo
2012,SIE,Siena
2012,TOR,Torino
2012,UDI,Udinese
2012,VER,Verona
2013,ATA,Atalanta
2013,BOL,Bologna
2013,CAG,Cagliari
2013,CAT,Catania
2013,CES,Cesena
2013,CHI,Chievo
2013,EMP,Empoli
2013,FIO,Fiorentina
2013,GEN,Genoa
2013,INT,Inter
2013,JUV,Juventus
2013,LAZ,Lazio
2013,LIV,Livorno
2013,MIL,Milan
2013,NAP,Napoli
2013,PAL,Palermo
2013,PAR,Parma
2013,PES,Pescara
2013,ROM,Roma
2013,SAM,Sampdoria
2013,SAS,Sassuolo
2013,SIE,Siena
2013,TOR,Torino
2013,UDI,Udinese
2013,VER,Verona
2014,ATA,Atalanta
2014,BOL,Bologna
2014,CAG,Cagliari
2014,CAR,Carpi
2014,CAT,Catania
2014,CES,Cesena
2014,CHI,Chievo
2014,EMP,Empoli
2014,FIO,Fiorentina
2014,FRO,Frosinone
2014,GEN,Genoa
2014,INT,Inter
2014,JUV,Juventus
2014,LAZ,Lazio
2014,LIV,Livorno
2014,MIL,Milan
2014,NAP,Napoli
2014,PAL,Palermo
2014,PAR,Parma
2014,ROM,Roma
2014,SAM,Sampdoria
2014,SAS,Sassuolo
2014,TOR,Torino
2014,UDI,Udinese
2014,VER,Verona
2015,ATA,Atalanta
2015,BOL,Bologna
2015,CAG,Cagliari
2015,CAR,Carpi
2015,CES,Cesena
2015,CHI,Chievo
2015,CRO,Crotone
2015,EMP,Empoli
2015,FIO,Fiorentina
2015,FRO,Frosinone
2015,GEN,Genoa
2015,INT,Inter
2015,JUV,Juventus
2015,LAZ,Lazio
2015,MIL,Milan
2015,NAP,Napoli
2015,PAL,Palermo
2015,PAR,Parma
2015,PES,Pescara
2015,ROM,Roma
2015,SAM,Sampdoria
2015,SAS,Sassuolo
2015,TOR,Torino
2015,UDI,Udinese
2015,VER,Verona
2016,ATA,Atalanta
2016,BEN,Benevento
2016,BOL,Bologna
2016,CAG,Cagliari
2016,CAR,Carpi
2016,CHI,Chievo
2016,CRO,Crotone
2016,EMP,Empoli
2016,FIO,Fiorentina
2016,FRO,Frosinone
2016,GEN,Genoa
2016,INT,Inter
2016,JUV,Juventus
2016,LAZ,Lazio
2016,MIL,Milan
2016,NAP,Napoli
2016,PAL,Palermo
2016,PES,Pescara
2016,ROM,Roma
2016,SAM,Sampdoria
2016,SAS,Sassuolo
2016,SPA,Spal
2016,TOR,Torino
2016,UDI,Udinese
2016,VER,Verona
2017,ATA,Atalanta
2017,BEN,Benevento
2017,BOL,Bologna
2017,CAG,Cagliari
2017,CHI,Chievo
2017,CRO,Crotone
2017,EMP,Empoli
2017,FIO,Fiorentina
2017,GEN,Genoa
2017,INT,Inter
2017,JUV,Juventus
2017,LAZ,Lazio
2017,MIL,Milan
2017,NAP,Napoli
2017,PAL,Palermo
2017,PES,Pescara
2017,ROM,Roma
2017,SAM,Sampdoria
2017,SAS,Sassuolo
2017,SPA,Spal
2017,TOR,Torino
2017,UDI,Udinese
2017,VER,Verona
2018,ATA,Atalanta
2018,BEN,Benevento
2018,BOL,Bologna
2018,CAG,Cagliari
2018,CHI,Chievo
2018,CRO,Crotone
2018,EMP,Empoli
2018,FIO,Fiorentina
2018,FRO,Frosinone
2018,GEN,Genoa
2018,INT,Inter
2018,JUV,Juventus
2018,LAZ,Lazio
2018,MIL,Milan
2018,NAP,Napoli
2018,PAR,Parma
2018,ROM,Roma
2018,SAM,Sampdoria
2018,SAS,Sassuolo
2018,SPA,Spal
2018,TOR,Torino
2018,UDI,Udinese
2018,VER,Verona
2019,ATA,Atalanta
2019,BOL,Bologna
2019,BRE,Brescia
2019,CAG,Cagliari
2019,FIO,Fiorentina
2019,GEN,Genoa
2019,INT,Inter
2019,JUV,Juventus
2019,LAZ,Lazio
2019,LEC,Lecce
2019,MIL,Milan
2019,NAP,Napoli
2019,PAR,Parma
2019,ROM,Roma
2019,SAM,Sampdoria
2019,SAS,Sassuolo
2019,SPA,Spal
2019,TOR,Torino
2019,UDI,Udinese
2019,VER,Verona
2020,ATA,Atalanta
2020,BEN,Benevento
2020,BOL,Bologna
2020,BRE,Brescia
2020,CAG,Cagliari
2020,CRO,Crotone
2020,FIO,Fiorentina
2020,GEN,Genoa
2020,INT,Inter
2020,JUV,Juventus
2020,LAZ,Lazio
2020,LEC,Lecce
2020,MIL,Milan
2020,NAP,Napoli
2020,PAR,Parma
2020,ROM,Roma
2020,SAM,Sampdoria
2020,SAS,Sassuolo
2020,SPA,Spal
2020,SPE,Spezia
2020,TOR,Torino
2020,UDI,Udinese
2020,VER,Verona
2021,ATA,Atalanta
2021,BOL,Bologna
2021,CAG,Cagliari
2021,EMP,Empoli
2021,FIO,Fiorentina
2021,GEN,Genoa
2021,INT,Inter
2021,JUV,Juventus
2021,LAZ,Lazio
2021,MIL,Milan
2021,NAP,Napoli
2021,ROM,Roma
2021,SAL,Salernitana
2021,SAM,Sampdoria
2021,SAS,Sassuolo
2021,SPE,Spezia
2021,TOR,Torino
2021,UDI,Udinese
2021,VEN,Venezia
2021,VER,Verona
2022,ATA,Atalanta
2022,BOL,Bologna
2022,CRE,Cremonese
2022,EMP,Empoli
2022,FIO,Fiorentina
2022,INT,Inter
2022,JUV,Juventus
2022,LAZ,Lazio
2022,LEC,Lecce
2022,MIL,Milan
2022,MON,Monza
2022,NAP,Napoli
2022,ROM,Roma
2022,SAL,Salernitana
2022,SAM,Sampdoria
2022,SAS,Sassuolo
2022,SPE,Spezia
2022,TOR,Torino
2022,UDI,Udinese
2022,VER,Verona
2023,ATA,Atalanta
2023,BOL,Bologna
2023,CAG,Cagliari
2023,EMP,Empoli
2023,FIO,Fiorentina
2023,FRO,Frosinone
2023,GEN,Genoa
2023,INT,Inter
2023,JUV,Juventus
2023,LAZ,Lazio
2023,LEC,Lecce
2023,MIL,Milan
2023,MON,Monza
2023,NAP,Napoli
2023,ROM,Roma
2023,SAL,Salernitana
2023,SAS,Sassuolo
2023,TOR,Torino
2023,UDI,Udinese
2023,VER,Verona
2024,ATA,Atalanta
2024,BOL,Bologna
2024,CAG,Cagliari
2024,COM,Como
2024,EMP,Empoli
2024,FIO,Fiorentina
2024,GEN,Genoa
2024,INT,Inter
2024,JUV,Juventus
2024,LAZ,Lazio
2024,LEC,Lecce
2024,MIL,Milan
2024,MON,Monza
2024,NAP,Napoli
2024,PAR,Parma
2024,ROM,Roma
2024,TOR,Torino
2024,UDI,Udinese
2024,VEN,Venezia
2024,VER,Verona
