Season,Team_Standardized,Team_Full_Name
2011,BAY,Bayern Munich
2011,DOR,Dortmund
2011,KOL,FC Koln
2011,FRE,Freiburg
2011,HAM,Hamburg
2011,HAN,Hannover
2011,HER,Hertha
2011,HOF,Hoffenheim
2011,KAI,Kaiserslautern
2011,LEV,Leverkusen
2011,MGL,MGladbach
2011,MAI,Mainz
2011,NUR,Nurnberg
2011,SCH,Schalke 04
2011,STU,Stuttgart
2011,WERB,Werder Bremen
2011,WOL,Wolfsburg
2012,AUG,Augsburg
2012,BAY,Bayern Munich
2012,DOR,Dortmund
2012,EINF,Ein Frankfurt
2012,FORD,Fortuna Dusseldorf
2012,FRE,Freiburg
2012,GREF,Greuther Furth
2012,HAM,Hamburg
2012,HAN,Hannover
2012,HOF,Hoffenheim
2012,LEV,Leverkusen
2012,MGL,MGladbach
2012,MAI,Mainz
2012,NUR,Nurnberg
2012,SCH,Schalke 04
2012,STU,Stuttgart
2012,WERB,Werder Bremen
2012,WOL,Wolfsburg
2013,AUG,Augsburg
2013,BAY,Bayern Munich
2013,BRA,Braunschweig
2013,DOR,Dortmund
2013,EINF,Ein Frankfurt
2013,FRE,Freiburg
2013,HAM,Hamburg
2013,HAN,Hannover
2013,HER,Hertha
2013,HOF,Hoffenheim
2013,LEV,Leverkusen
2013,MGL,MGladbach
2013,MAI,Mainz
2013,NUR,Nurnberg
2013,SCH,Schalke 04
2013,STU,Stuttgart
2013,WERB,Werder Bremen
2013,WOL,Wolfsburg
2014,AUG,Augsburg
2014,BAY,Bayern Munich
2014,DOR,Dortmund
2014,EINF,Ein Frankfurt
2014,KOL,FC Koln
2014,FRE,Freiburg
2014,HAM,Hamburg
2014,HAN,Hannover
2014,HER,Hertha
2014,HOF,Hoffenheim
2014,LEV,Leverkusen
2014,MGL,MGladbach
2014,MAI,Mainz
2014,PAD,Paderborn
2014,SCH,Schalke 04
2014,STU,Stuttgart
2014,WERB,Werder Bremen
2014,WOL,Wolfsburg
2015,AUG,Augsburg
2015,BAY,Bayern Munich
2015,DAR,Darmstadt
2015,DOR,Dortmund
2015,EINF,Ein Frankfurt
2015,KOL,FC Koln
2015,HAM,Hamburg
2015,HAN,Hannover
2015,HER,Hertha
2015,HOF,Hoffenheim
2015,ING,Ingolstadt
2015,LEV,Leverkusen
2015,MGL,MGladbach
2015,MAI,Mainz
2015,SCH,Schalke 04
2015,STU,Stuttgart
2015,WERB,Werder Bremen
2015,WOL,Wolfsburg
2016,AUG,Augsburg
2016,BAY,Bayern Munich
2016,DAR,Darmstadt
2016,DOR,Dortmund
2016,EINF,Ein Frankfurt
2016,KOL,FC Koln
2016,FRE,Freiburg
2016,HAM,Hamburg
2016,HER,Hertha
2016,HOF,Hoffenheim
2016,ING,Ingolstadt
2016,LEV,Leverkusen
2016,MGL,MGladbach
2016,MAI,Mainz
2016,LEI,RB Leipzig
2016,SCH,Schalke 04
2016,WERB,Werder Bremen
