league,season,spearman_r,spearman_p
NFL,1990,-0.24311103,0.221744826
NFL,1991,-0.366957311,0.05972355
NFL,1992,0.276012026,0.163444275
NFL,1993,-0.217996342,0.274681028
NFL,1994,-0.049737414,0.805398738
NFL,1995,-0.323091551,0.087346915
NFL,1996,-0.220555146,0.250264152
NFL,1997,-0.125955716,0.51500981
NFL,1998,-0.322045316,0.088435285
NFL,1999,0.103818641,0.592000061
NFL,2000,0.143055985,0.459109673
NFL,2001,-0.13038638,0.500213862
NFL,2002,-0.145547681,0.451241748
NFL,2003,-0.284724054,0.134386789
NFL,2004,-0.27451091,0.142092866
NFL,2005,0.279294505,0.134996806
NFL,2006,0.153828878,0.417020304
NFL,2007,0.062360104,0.743391274
NFL,2008,-0.078956752,0.678334871
NFL,2009,-0.035400428,0.852668169
NFL,2010,0.036310338,0.848923813
NFL,2011,-0.003276467,0.986290303
NFL,2012,-0.091073226,0.632202322
NFL,2013,-0.146702885,0.43917846
NFL,2014,0.319027827,0.085729652
NFL,2015,-0.09027409,0.635205995
NFL,2016,-0.263496731,0.159453378
NFL,2017,0.290276178,0.119691199
NFL,2018,0.176181928,0.351699644
NFL,2019,-0.206588788,0.27337574
NFL,2020,0.106419144,0.57567894
NFL,2021,-0.268120589,0.151989563
NFL,2022,-0.054793092,0.773669928
NFL,2023,-0.094142372,0.620720055
NFL,2024,0.161042945,0.395237624
