league,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
bundesliga,6426,2665.0,0.4147214441332088,2695.5,0.41946778711484595,2724.0,0.4239028944911298,2656.0,0.4133208839091192,2743.0,0.4268596327419857,2752.5,0.4283380018674136,2659.0,0.4137877373171491,2673.5,0.41604419545596016,2685.0,0.4178338001867414,2704.5,0.4208683473389356,2695.8,0.4195144724556489
la_liga,8740,3758.5,0.43003432494279176,3744.0,0.4283752860411899,3702.5,0.4236270022883295,3725.5,0.42625858123569793,3693.5,0.42259725400457665,3647.5,0.4173340961098398,3703.5,0.42374141876430205,3701.5,0.42351258581235696,3730.5,0.42683066361556066,3674.5,0.4204233409610984,3708.15,0.4242734553775743
premier_league,8360,3506.0,0.419377990430622,3529.0,0.4221291866028708,3538.0,0.42320574162679425,3556.0,0.42535885167464116,3533.0,0.4226076555023923,3567.5,0.4267344497607656,3559.0,0.4257177033492823,3560.0,0.4258373205741627,3552.5,0.4249401913875598,3493.0,0.41782296650717704,3539.4,0.4233732057416268
serie_a,8518,3600.0,0.4226344212256398,3641.5,0.42750645691476874,3636.5,0.42691946466306646,3679.5,0.431967598027706,3673.5,0.4312632073256633,3632.0,0.4263911716365344,3630.0,0.4261563747358535,3586.0,0.42099084292087346,3659.5,0.4296196290208969,3617.5,0.42468889410659777,3635.6,0.42681380605776004
