league,total_matches,total_upsets,upset_frequency
bundesliga,4304,1642,0.38150557620817843
premier_league,5572,2193,0.39357501794687727
la_liga,5817,2306,0.39642427368059135
serie_a,5672,2195,0.38698871650211564
