league,total_matches,total_upsets,upset_frequency
bundesliga,4208,1589,0.37761406844106465
premier_league,5456,2134,0.3911290322580645
la_liga,5709,2189,0.3834296724470135
serie_a,5562,2202,0.3959007551240561
