league,season,n_teams,spearman_r_actual,spearman_r_skill,spearman_r_luck_results_avg,spearman_r_luck_goals_avg,q_results,q_goals
Bundesliga,2004,18,0.446985446985447,1.0,0.0472908132813781,0.0062253495942088,0.4195347743845329,0.4435211717377388
Bundesliga,2005,18,0.4363923123302705,1.0,-0.0037031067651676,-0.0206955991266383,0.43847171153412146,0.4478200080886189
Bundesliga,2006,18,0.3937823834196891,1.0,0.0074889922156748,0.1147493043241575,0.3892081681455332,0.3152023268194152
Bundesliga,2007,18,0.5643848777974162,1.0,-0.0151385387591083,0.0540094925873098,0.5708811107348226,0.539514277586143
Bundesliga,2008,18,0.4680525164412489,1.0,-0.1548538765775638,-0.0878892501671383,0.5393811335376993,0.5110279070438236
Bundesliga,2009,18,0.5269441369050503,1.0,-0.1007807867345704,-0.0103954158797117,0.5702542515315385,0.5318111546625748
Bundesliga,2010,18,0.1964750950442261,1.0,-0.0335358823100445,0.059435173635708,0.22254764569970775,0.1456996025869257
Bundesliga,2011,18,0.5424433548321503,1.0,-0.0084524023176393,-0.1239298803790527,0.5462783923997934,0.5928957373981946
Bundesliga,2012,18,0.495051185343656,1.0,0.0127788518900323,0.049331999524403,0.4885149942107022,0.46884841563644736
Bundesliga,2013,18,0.5891194872987975,1.0,-0.020221337964852,-0.0664740683147501,0.5972633609871059,0.6147299546153253
Bundesliga,2014,18,0.4258998576178931,1.0,-0.0026263592096224,-0.194194284329414,0.4274037011806929,0.5192573353300831
Bundesliga,2015,18,0.5125803444861832,1.0,-0.125173905129176,0.0455204429202601,0.5668050482757522,0.48933463069120886
Bundesliga,2016,18,0.3473086747064626,1.0,-0.0324565979589643,0.0770389771090799,0.3678268640213784,0.2928289395697747
Bundesliga,2017,18,0.547644279293018,1.0,0.0224990400066378,-0.0338001488109173,0.5372324537563075,0.562434072748699
Bundesliga,2018,18,0.8185589487671601,1.0,0.0431967716192237,0.0585794786639493,0.8103674341276027,0.8072688590053876
Bundesliga,2019,18,0.6730471671463788,1.0,-0.1205535470173599,-0.0830345404981834,0.708222035685943,0.698114122285309
Bundesliga,2020,18,0.5983394682156509,1.0,-0.0101110124946478,0.0633060708271596,0.6023600111116725,0.571193407713189
Bundesliga,2021,18,0.6084037990144232,1.0,-0.0419613082638076,-0.0448625201798573,0.6241739516814852,0.625217487064069
Bundesliga,2022,18,0.6964193983915034,1.0,0.220511887535219,0.0745063495546689,0.6105385101402517,0.6719798115714581
Bundesliga,2023,18,0.6899585921325051,1.0,-0.1421991003284876,0.0758855890390047,0.7285574749810875,0.6644988930049474
Bundesliga,2024,18,0.7061906346492463,1.0,-0.0425458133854006,0.1044039233566835,0.7181808592212527,0.6719398699780511
La Liga,2000,20,0.2515154402153174,1.0,-0.020805745038341,-0.0019189073051242,0.2667708195974447,0.25294896190960964
La Liga,2001,20,0.3541666666666667,0.9988713318284422,-0.0132079495276765,-0.0520849976481139,0.3629899583578924,0.38655427720495306
La Liga,2002,20,0.3704424406800393,1.0,-0.0435838164825753,0.1757714828730602,0.3967350304052244,0.23618566181810202
La Liga,2003,20,0.2773779738471684,1.0,-0.0530770380196368,0.0418195832734317,0.31379946569554124,0.24583928711304162
La Liga,2005,20,0.471342383107089,1.0,0.0139895472738161,-0.059673616558342,0.46384177223350415,0.501112787341153
La Liga,2007,20,0.3154126606962679,1.0,0.1526230241203177,-0.0421316578300799,0.19211005397798822,0.3430893935904647
La Liga,2008,20,0.3768447376542103,1.0,-0.0528260260236399,0.034755492705791,0.40811183714810867,0.3544068289053207
La Liga,2009,20,0.4884259267601986,1.0,-0.0396264659691073,0.1142409248669613,0.5079251154279456,0.4224455750984382
La Liga,2010,20,0.1817851228667009,1.0,-0.0320257754967525,0.0346497416960334,0.2071759285862199,0.15241657616497778
La Liga,2011,20,0.4005299591118169,1.0,0.1227773502455833,0.0141762875227414,0.3166272655454028,0.3919094932482546
La Liga,2012,20,0.4349475476662789,1.0,0.1122662573592135,0.0119480647666249,0.36348881968502067,0.42811462415661655
La Liga,2013,20,0.6388795097183254,1.0,-0.1180941159884998,-0.0559487137103894,0.6770213838730291,0.6580132296266828
