league,q_results,q_goals,metric,skill_results_pct,luck_results_pct,skill_goals_pct,luck_goals_pct
Bundesliga,0.5468573279689992,0.5326256183398754,Correlation of Win Percentages,54.68573279689992,45.31426720310008,53.26256183398754,46.73743816601246
La Liga,0.4963523873370394,0.49558646051208455,Correlation of Win Percentages,49.63523873370394,50.36476126629606,49.558646051208456,50.441353948791544
Premier League,0.6344666675912127,0.6211744636435627,Correlation of Win Percentages,63.44666675912127,36.55333324087873,62.11744636435627,37.88255363564373
Serie A,0.6288673214934382,0.6260445062654113,Correlation of Win Percentages,62.886732149343814,37.113267850656186,62.60445062654113,37.39554937345887
Bundesliga,0.2938925939904261,0.2926354681452197,Standard Deviation of Win Rate,29.38925939904261,70.61074060095739,29.263546814521966,70.73645318547803
La Liga,0.3050627355635495,0.3060972443150463,Standard Deviation of Win Rate,30.50627355635495,69.49372644364504,30.60972443150463,69.39027556849537
Premier League,0.35474981410358,0.3552941287574038,Standard Deviation of Win Rate,35.474981410358,64.525018589642,35.52941287574038,64.47058712425961
Serie A,0.3489305110301184,0.3443662967496028,Standard Deviation of Win Rate,34.89305110301184,65.10694889698816,34.43662967496028,65.56337032503971
Bundesliga,0.17796903488373766,0.13728964466472138,Upset Frequency,17.796903488373765,82.20309651162623,13.728964466472139,86.27103553352786
La Liga,0.1821849166706453,0.10674673247393676,Upset Frequency,18.21849166706453,81.78150833293547,10.674673247393676,89.32532675260633
Premier League,0.22608038532908736,0.16848031524838813,Upset Frequency,22.608038532908736,77.39196146709126,16.848031524838813,83.15196847516118
Serie A,0.22501918276979718,0.16064731964062332,Upset Frequency,22.50191827697972,77.49808172302028,16.064731964062332,83.93526803593767
