league,season,upset_frequency_actual,upset_frequency_skill,upset_frequency_luck_results_avg,upset_frequency_luck_goals_avg,q_results,q_goals
Bundesliga,2004,0.3578431372549019,0.0,0.4129084967320261,0.3810457516339869,0.13335971507716668,0.06089193825042889
Bundesliga,2005,0.3627450980392157,0.0,0.4086601307189542,0.392156862745098,0.11235505797680917,0.07499999999999989
Bundesliga,2006,0.380718954248366,0.0,0.4142156862745098,0.4055555555555555,0.08086785009861931,0.06124093473005633
Bundesliga,2007,0.3562091503267974,0.0,0.4338235294117646,0.3928104575163399,0.17890772128060242,0.09317803660565732
Bundesliga,2008,0.326797385620915,0.0,0.413235294117647,0.3895424836601307,0.20917358639778566,0.16107382550335583
Bundesliga,2009,0.3529411764705882,0.0,0.4169934640522876,0.4166666666666666,0.1536050156739813,0.15294117647058814
Bundesliga,2010,0.3578431372549019,0.0,0.4290849673202615,0.3924836601307189,0.1660319878141663,0.08825978351373853
Bundesliga,2011,0.3415032679738562,0.0,0.4248366013071895,0.3983660130718954,0.196153846153846,0.14273995077932725
Bundesliga,2012,0.3333333333333333,0.0,0.4191176470588235,0.3908496732026144,0.20467836257309938,0.14715719063545155
Bundesliga,2013,0.3137254901960784,0.0,0.4235294117647058,0.4094771241830065,0.2592592592592592,0.2338387869114126
Bundesliga,2014,0.3856209150326797,0.0,0.4151960784313726,0.3764705882352941,0.07123179850452592,0.0
Bundesliga,2015,0.3513071895424836,0.0,0.4274509803921568,0.4049019607843137,0.1781345565749236,0.13236481033091213
Bundesliga,2016,0.349673202614379,0.0,0.4140522875816993,0.3964052287581699,0.15548539857932137,0.1178895300906844
Bundesliga,2017,0.3447712418300653,0.0,0.4212418300653595,0.3934640522875817,0.1815360744763384,0.1237541528239204
Bundesliga,2018,0.2924836601307189,0.0,0.4243464052287581,0.3918300653594771,0.3107431651906045,0.2535446205170977
Bundesliga,2019,0.3464052287581699,0.0,0.4230392156862745,0.415359477124183,0.18115102356122056,0.16601101494885911
