league,season,date,home_team,away_team,actual_home_team_result,skilled_league_home_team_result
Premier League,2001,2001-08-18,CHA,EVE,-1,1
Premier League,2001,2001-08-18,DER,BLBN,1,-1
Premier League,2001,2001-08-18,LEE,SOU,1,1
Premier League,2001,2001-08-18,LEIC,BOLN,-1,-1
Premier League,2001,2001-08-18,LIVP,WHU,1,1
Premier League,2001,2001-08-18,MID,ARS,-1,-1
Premier League,2001,2001-08-18,SUN,IPS,1,1
Premier League,2001,2001-08-18,TOT,AVL,0,-1
Premier League,2001,2001-08-19,CHE,NEW,0,-1
Premier League,2001,2001-08-19,MANU,FUL,1,1
Premier League,2001,2001-08-20,EVE,TOT,0,-1
Premier League,2001,2001-08-21,ARS,LEE,-1,1
Premier League,2001,2001-08-21,BOLN,MID,1,-1
Premier League,2001,2001-08-21,IPS,DER,1,1
Premier League,2001,2001-08-22,BLBN,MANU,0,-1
Premier League,2001,2001-08-22,FUL,SUN,1,1
Premier League,2001,2001-08-25,ARS,LEIC,1,1
Premier League,2001,2001-08-25,BLBN,TOT,1,-1
Premier League,2001,2001-08-25,EVE,MID,1,-1
Premier League,2001,2001-08-25,FUL,DER,0,1
Premier League,2001,2001-08-25,IPS,CHA,-1,-1
Premier League,2001,2001-08-25,SOU,CHE,-1,-1
Premier League,2001,2001-08-25,WHU,LEE,0,-1
Premier League,2001,2001-08-26,AVL,MANU,0,-1
Premier League,2001,2001-08-26,NEW,SUN,0,1
Premier League,2001,2001-08-27,BOLN,LIVP,1,-1
Premier League,2001,2001-09-08,CHE,ARS,0,-1
Premier League,2001,2001-09-08,DER,WHU,0,-1
Premier League,2001,2001-09-08,LEE,BOLN,0,1
Premier League,2001,2001-09-08,LEIC,IPS,0,-1
Premier League,2001,2001-09-08,LIVP,AVL,-1,1
Premier League,2001,2001-09-08,MANU,EVE,1,1
Premier League,2001,2001-09-08,MID,NEW,-1,-1
Premier League,2001,2001-09-08,SUN,BLBN,1,-1
Premier League,2001,2001-09-09,CHA,FUL,0,-1
Premier League,2001,2001-09-09,TOT,SOU,1,1
Premier League,2001,2001-09-15,BOLN,SOU,-1,-1
Premier League,2001,2001-09-15,DER,LEIC,-1,1
Premier League,2001,2001-09-15,EVE,LIVP,-1,-1
Premier League,2001,2001-09-15,FUL,ARS,-1,-1
Premier League,2001,2001-09-15,MID,WHU,1,-1
Premier League,2001,2001-09-15,NEW,MANU,1,-1
Premier League,2001,2001-09-16,AVL,SUN,0,1
Premier League,2001,2001-09-16,CHA,LEE,-1,-1
Premier League,2001,2001-09-16,IPS,BLBN,0,-1
Premier League,2001,2001-09-16,TOT,CHE,-1,-1
Premier League,2001,2001-09-17,LEIC,MID,-1,-1
Premier League,2001,2001-09-19,BLBN,BOLN,0,1
Premier League,2001,2001-09-19,SUN,TOT,-1,-1
Premier League,2001,2001-09-22,ARS,BOLN,0,1
Premier League,2001,2001-09-22,BLBN,EVE,1,1
Premier League,2001,2001-09-22,LEIC,FUL,0,-1
Premier League,2001,2001-09-22,LIVP,TOT,1,1
Premier League,2001,2001-09-22,MANU,IPS,1,1
Premier League,2001,2001-09-22,SUN,CHA,0,-1
Premier League,2001,2001-09-23,CHE,MID,0,1
Premier League,2001,2001-09-23,LEE,DER,1,1
Premier League,2001,2001-09-23,WHU,NEW,1,-1
Premier League,2001,2001-09-24,SOU,AVL,-1,-1
Premier League,2001,2001-09-26,NEW,LEIC,1,1
Premier League,2001,2001-09-29,BOLN,SUN,-1,1
Premier League,2001,2001-09-29,CHA,LEIC,1,1
Premier League,2001,2001-09-29,DER,ARS,-1,-1
Premier League,2001,2001-09-29,EVE,WHU,1,-1
Premier League,2001,2001-09-29,MID,SOU,-1,-1
Premier League,2001,2001-09-29,TOT,MANU,-1,-1
Premier League,2001,2001-09-30,AVL,BLBN,1,1
Premier League,2001,2001-09-30,FUL,CHE,0,-1
Premier League,2001,2001-09-30,IPS,LEE,-1,-1
Premier League,2001,2001-09-30,NEW,LIVP,-1,-1
Premier League,2001,2001-10-13,BOLN,NEW,-1,-1
Premier League,2001,2001-10-13,CHA,MID,0,-1
Premier League,2001,2001-10-13,CHE,LEIC,1,1
Premier League,2001,2001-10-13,IPS,EVE,0,-1
Premier League,2001,2001-10-13,LIVP,LEE,0,1
Premier League,2001,2001-10-13,SOU,ARS,-1,-1
Premier League,2001,2001-10-13,SUN,MANU,-1,-1
Premier League,2001,2001-10-14,AVL,FUL,1,1
Premier League,2001,2001-10-14,BLBN,WHU,1,-1
Premier League,2001,2001-10-15,TOT,DER,1,1
Premier League,2001,2001-10-20,ARS,BLBN,0,1
Premier League,2001,2001-10-20,DER,CHA,0,-1
Premier League,2001,2001-10-20,EVE,AVL,1,-1
Premier League,2001,2001-10-20,LEIC,LIVP,-1,-1
Premier League,2001,2001-10-20,MANU,BOLN,-1,1
Premier League,2001,2001-10-20,WHU,SOU,1,1
Premier League,2001,2001-10-21,FUL,IPS,0,1
Premier League,2001,2001-10-21,LEE,CHE,0,1
Premier League,2001,2001-10-21,NEW,TOT,-1,1
Premier League,2001,2001-10-22,MID,SUN,1,1
Premier League,2001,2001-10-24,AVL,CHA,1,1
Premier League,2001,2001-10-24,SOU,IPS,0,1
Premier League,2001,2001-10-24,WHU,CHE,1,-1
Premier League,2001,2001-10-27,AVL,BOLN,1,1
Premier League,2001,2001-10-27,CHA,LIVP,-1,-1
Premier League,2001,2001-10-27,EVE,NEW,-1,-1
Premier League,2001,2001-10-27,FUL,SOU,1,-1
Premier League,2001,2001-10-27,MANU,LEE,0,1
Premier League,2001,2001-10-27,SUN,ARS,0,-1
Premier League,2001,2001-10-27,TOT,MID,1,1
Premier League,2001,2001-10-28,DER,CHE,0,-1
Premier League,2001,2001-10-28,IPS,WHU,-1,-1
Premier League,2001,2001-10-29,BLBN,LEIC,0,1
Premier League,2001,2001-11-03,BOLN,EVE,0,-1
Premier League,2001,2001-11-03,LEIC,SUN,1,-1
Premier League,2001,2001-11-03,MID,DER,1,1
Premier League,2001,2001-11-03,NEW,AVL,1,1
Premier League,2001,2001-11-03,SOU,BLBN,-1,-1
Premier League,2001,2001-11-03,WHU,FUL,-1,1
Premier League,2001,2001-11-04,ARS,CHA,-1,1
Premier League,2001,2001-11-04,CHE,IPS,1,1
Premier League,2001,2001-11-04,LEE,TOT,1,1
Premier League,2001,2001-11-04,LIVP,MANU,1,1
Premier League,2001,2001-11-17,AVL,MID,0,1
Premier League,2001,2001-11-17,BLBN,LIVP,0,-1
Premier League,2001,2001-11-17,DER,SOU,1,-1
Premier League,2001,2001-11-17,FUL,NEW,1,-1
Premier League,2001,2001-11-17,MANU,LEIC,1,1
Premier League,2001,2001-11-17,TOT,ARS,0,-1
Premier League,2001,2001-11-18,EVE,CHE,0,-1
Premier League,2001,2001-11-18,IPS,BOLN,-1,-1
Premier League,2001,2001-11-18,SUN,LEE,1,-1
Premier League,2001,2001-11-19,CHA,WHU,0,-1
Premier League,2001,2001-11-24,BOLN,FUL,0,-1
Premier League,2001,2001-11-24,CHE,BLBN,0,1
Premier League,2001,2001-11-24,LEIC,EVE,0,-1
Premier League,2001,2001-11-24,NEW,DER,1,1
Premier League,2001,2001-11-24,SOU,CHA,1,1
Premier League,2001,2001-11-24,WHU,TOT,-1,1
Premier League,2001,2001-11-25,ARS,MANU,1,1
Premier League,2001,2001-11-25,LEE,AVL,0,1
Premier League,2001,2001-11-25,LIVP,SUN,1,1
Premier League,2001,2001-11-25,MID,IPS,0,1
Premier League,2001,2001-12-01,AVL,LEIC,-1,1
Premier League,2001,2001-12-01,BLBN,MID,-1,1
Premier League,2001,2001-12-01,CHA,NEW,0,-1
Premier League,2001,2001-12-01,DER,LIVP,-1,-1
Premier League,2001,2001-12-01,IPS,ARS,-1,-1
Premier League,2001,2001-12-01,MANU,CHE,-1,1
Premier League,2001,2001-12-01,SUN,WHU,1,-1
Premier League,2001,2001-12-02,EVE,SOU,1,-1
Premier League,2001,2001-12-02,FUL,LEE,0,-1
Premier League,2001,2001-12-03,TOT,BOLN,1,1
Premier League,2001,2001-12-05,CHE,CHA,-1,1
Premier League,2001,2001-12-05,WHU,AVL,0,1
Premier League,2001,2001-12-08,CHA,TOT,1,-1
Premier League,2001,2001-12-08,DER,BOLN,1,-1
Premier League,2001,2001-12-08,FUL,EVE,1,1
Premier League,2001,2001-12-08,LEIC,SOU,-1,-1
Premier League,2001,2001-12-08,LIVP,MID,1,1
Premier League,2001,2001-12-08,MANU,WHU,-1,1
Premier League,2001,2001-12-09,ARS,AVL,1,1
Premier League,2001,2001-12-09,BLBN,LEE,-1,-1
Premier League,2001,2001-12-09,IPS,NEW,-1,-1
Premier League,2001,2001-12-09,SUN,CHE,0,-1
Premier League,2001,2001-12-12,LIVP,FUL,0,1
Premier League,2001,2001-12-12,MANU,DER,1,1
Premier League,2001,2001-12-15,BOLN,CHA,0,-1
Premier League,2001,2001-12-15,EVE,DER,1,1
Premier League,2001,2001-12-15,MID,MANU,-1,-1
Premier League,2001,2001-12-15,NEW,BLBN,1,1
Premier League,2001,2001-12-15,SOU,SUN,1,1
Premier League,2001,2001-12-15,TOT,FUL,1,1
Premier League,2001,2001-12-15,WHU,ARS,0,-1
Premier League,2001,2001-12-16,CHE,LIVP,1,-1
Premier League,2001,2001-12-16,LEE,LEIC,0,1
Premier League,2001,2001-12-17,AVL,IPS,1,1
Premier League,2001,2001-12-18,ARS,NEW,-1,1
Premier League,2001,2001-12-19,LEE,EVE,1,1
Premier League,2001,2001-12-22,CHA,BLBN,-1,-1
Premier League,2001,2001-12-22,DER,AVL,1,-1
Premier League,2001,2001-12-22,LEE,NEW,-1,-1
Premier League,2001,2001-12-22,LEIC,WHU,0,-1
Premier League,2001,2001-12-22,MANU,SOU,1,1
Premier League,2001,2001-12-22,SUN,EVE,1,-1
Premier League,2001,2001-12-22,TOT,IPS,-1,1
Premier League,2001,2001-12-23,CHE,BOLN,1,1
Premier League,2001,2001-12-23,LIVP,ARS,-1,-1
Premier League,2001,2001-12-26,ARS,CHE,1,1
Premier League,2001,2001-12-26,AVL,LIVP,-1,-1
Premier League,2001,2001-12-26,BLBN,SUN,-1,1
Premier League,2001,2001-12-26,BOLN,LEE,-1,-1
Premier League,2001,2001-12-26,EVE,MANU,-1,-1
Premier League,2001,2001-12-26,FUL,CHA,0,1
Premier League,2001,2001-12-26,IPS,LEIC,1,1
Premier League,2001,2001-12-26,NEW,MID,1,1
Premier League,2001,2001-12-26,SOU,TOT,1,-1
Premier League,2001,2001-12-26,WHU,DER,1,1
Premier League,2001,2001-12-29,ARS,MID,1,1
Premier League,2001,2001-12-29,AVL,TOT,0,1
Premier League,2001,2001-12-29,BLBN,DER,-1,1
Premier League,2001,2001-12-29,BOLN,LEIC,0,1
Premier League,2001,2001-12-29,EVE,CHA,-1,-1
Premier League,2001,2001-12-29,IPS,SUN,1,-1
Premier League,2001,2001-12-29,NEW,CHE,-1,1
Premier League,2001,2001-12-29,SOU,LEE,-1,-1
Premier League,2001,2001-12-29,WHU,LIVP,0,-1
Premier League,2001,2001-12-30,FUL,MANU,-1,-1
Premier League,2001,2002-01-01,CHA,IPS,1,1
Premier League,2001,2002-01-01,CHE,SOU,-1,1
Premier League,2001,2002-01-01,LEE,WHU,1,1
Premier League,2001,2002-01-01,LIVP,BOLN,0,1
Premier League,2001,2002-01-01,MID,EVE,1,1
Premier League,2001,2002-01-01,SUN,AVL,0,-1
Premier League,2001,2002-01-01,TOT,BLBN,1,1
Premier League,2001,2002-01-02,DER,FUL,-1,-1
Premier League,2001,2002-01-02,MANU,NEW,1,1
Premier League,2001,2002-01-09,SOU,LIVP,1,-1
Premier League,2001,2002-01-12,AVL,DER,1,1
Premier League,2001,2002-01-12,BLBN,CHA,1,1
Premier League,2001,2002-01-12,BOLN,CHE,0,-1
Premier League,2001,2002-01-12,EVE,SUN,1,1
Premier League,2001,2002-01-12,FUL,MID,1,-1
Premier League,2001,2002-01-12,IPS,TOT,1,-1
Premier League,2001,2002-01-12,NEW,LEE,1,1
Premier League,2001,2002-01-12,WHU,LEIC,1,1
Premier League,2001,2002-01-13,ARS,LIVP,0,1
Premier League,2001,2002-01-13,SOU,MANU,-1,-1
Premier League,2001,2002-01-19,DER,IPS,-1,-1
Premier League,2001,2002-01-19,LEIC,NEW,0,-1
Premier League,2001,2002-01-19,LIVP,SOU,0,1
Premier League,2001,2002-01-19,MANU,BLBN,1,1
Premier League,2001,2002-01-19,MID,BOLN,0,1
Premier League,2001,2002-01-19,SUN,FUL,0,-1
Premier League,2001,2002-01-19,TOT,EVE,0,1
Premier League,2001,2002-01-20,CHE,WHU,1,1
Premier League,2001,2002-01-20,LEE,ARS,0,-1
Premier League,2001,2002-01-21,CHA,AVL,-1,-1
Premier League,2001,2002-01-22,MANU,LIVP,-1,-1
Premier League,2001,2002-01-23,LEIC,ARS,-1,-1
Premier League,2001,2002-01-29,BOLN,MANU,-1,-1
Premier League,2001,2002-01-29,CHA,DER,1,1
Premier League,2001,2002-01-29,SUN,MID,-1,-1
Premier League,2001,2002-01-30,AVL,EVE,0,1
Premier League,2001,2002-01-30,BLBN,ARS,-1,-1
Premier League,2001,2002-01-30,CHE,LEE,1,-1
Premier League,2001,2002-01-30,IPS,FUL,1,-1
Premier League,2001,2002-01-30,LIVP,LEIC,1,1
Premier League,2001,2002-01-30,SOU,WHU,1,-1
Premier League,2001,2002-01-30,TOT,NEW,-1,-1
Premier League,2001,2002-02-02,ARS,SOU,0,1
Premier League,2001,2002-02-02,DER,TOT,1,-1
Premier League,2001,2002-02-02,EVE,IPS,-1,1
Premier League,2001,2002-02-02,FUL,AVL,0,-1
Premier League,2001,2002-02-02,LEIC,CHE,-1,-1
Premier League,2001,2002-02-02,MANU,SUN,1,1
Premier League,2001,2002-02-02,NEW,BOLN,1,1
Premier League,2001,2002-02-02,WHU,BLBN,1,1
Premier League,2001,2002-02-03,LEE,LIVP,-1,-1
Premier League,2001,2002-02-03,MID,CHA,0,1
Premier League,2001,2002-02-09,AVL,CHE,0,-1
Premier League,2001,2002-02-09,BOLN,WHU,1,-1
Premier League,2001,2002-02-09,DER,SUN,-1,-1
Premier League,2001,2002-02-09,FUL,BLBN,1,-1
Premier League,2001,2002-02-09,IPS,LIVP,-1,-1
Premier League,2001,2002-02-09,MID,LEE,0,-1
Premier League,2001,2002-02-09,NEW,SOU,1,1
Premier League,2001,2002-02-09,TOT,LEIC,1,1
Premier League,2001,2002-02-10,CHA,MANU,-1,-1
Premier League,2001,2002-02-10,EVE,ARS,-1,-1
Premier League,2001,2002-02-19,MID,FUL,1,1
Premier League,2001,2002-02-23,ARS,FUL,1,1
Premier League,2001,2002-02-23,LEIC,DER,-1,-1
Premier League,2001,2002-02-23,LIVP,EVE,0,1
Premier League,2001,2002-02-23,MANU,AVL,1,1
Premier League,2001,2002-02-23,SOU,BOLN,0,1
Premier League,2001,2002-02-23,WHU,MID,1,1
Premier League,2001,2002-02-24,LEE,CHA,0,1
Premier League,2001,2002-02-24,SUN,NEW,-1,-1
Premier League,2001,2002-03-02,AVL,WHU,1,-1
Premier League,2001,2002-03-02,BOLN,BLBN,0,-1
Premier League,2001,2002-03-02,CHA,CHE,1,-1
Premier League,2001,2002-03-02,FUL,LIVP,-1,-1
Premier League,2001,2002-03-02,IPS,SOU,-1,-1
Premier League,2001,2002-03-02,MID,LEIC,1,1
Premier League,2001,2002-03-02,NEW,ARS,-1,-1
Premier League,2001,2002-03-02,TOT,SUN,1,1
Premier League,2001,2002-03-03,DER,MANU,0,-1
Premier League,2001,2002-03-03,EVE,LEE,0,-1
Premier League,2001,2002-03-05,ARS,DER,1,1
Premier League,2001,2002-03-05,BLBN,AVL,1,-1
Premier League,2001,2002-03-05,SUN,BOLN,1,-1
Premier League,2001,2002-03-06,CHE,FUL,1,1
Premier League,2001,2002-03-06,LEE,IPS,1,1
Premier League,2001,2002-03-06,LIVP,NEW,1,1
Premier League,2001,2002-03-06,MANU,TOT,1,1
Premier League,2001,2002-03-06,SOU,MID,0,1
Premier League,2001,2002-03-06,WHU,EVE,1,1
Premier League,2001,2002-03-09,LEIC,CHA,0,-1
Premier League,2001,2002-03-13,BLBN,IPS,1,1
Premier League,2001,2002-03-13,CHE,TOT,1,1
Premier League,2001,2002-03-16,BOLN,DER,-1,1
Premier League,2001,2002-03-16,CHE,SUN,1,1
Premier League,2001,2002-03-16,EVE,FUL,1,-1
Premier League,2001,2002-03-16,MID,LIVP,-1,-1
Premier League,2001,2002-03-16,NEW,IPS,0,1
Premier League,2001,2002-03-16,SOU,LEIC,0,1
Premier League,2001,2002-03-16,WHU,MANU,-1,-1
Premier League,2001,2002-03-17,AVL,ARS,-1,-1
Premier League,2001,2002-03-17,LEE,BLBN,1,1
Premier League,2001,2002-03-18,TOT,CHA,-1,1
Premier League,2001,2002-03-23,CHA,BOLN,-1,1
Premier League,2001,2002-03-23,DER,EVE,-1,-1
Premier League,2001,2002-03-23,IPS,AVL,0,-1
Premier League,2001,2002-03-23,LEIC,LEE,-1,-1
Premier League,2001,2002-03-23,MANU,MID,-1,1
Premier League,2001,2002-03-23,SUN,SOU,0,-1
Premier League,2001,2002-03-24,FUL,TOT,-1,-1
Premier League,2001,2002-03-24,LIVP,CHE,1,1
Premier League,2001,2002-03-29,NEW,EVE,1,1
Premier League,2001,2002-03-30,ARS,SUN,1,1
Premier League,2001,2002-03-30,BOLN,AVL,1,-1
Premier League,2001,2002-03-30,CHE,DER,1,1
Premier League,2001,2002-03-30,LEE,MANU,-1,-1
Premier League,2001,2002-03-30,LEIC,BLBN,1,-1
Premier League,2001,2002-03-30,LIVP,CHA,1,1
Premier League,2001,2002-03-30,MID,TOT,0,-1
Premier League,2001,2002-03-30,SOU,FUL,0,1
Premier League,2001,2002-03-30,WHU,IPS,1,1
Premier League,2001,2002-04-01,BLBN,SOU,1,1
Premier League,2001,2002-04-01,CHA,ARS,-1,-1
Premier League,2001,2002-04-01,DER,MID,-1,-1
Premier League,2001,2002-04-01,EVE,BOLN,1,1
Premier League,2001,2002-04-01,FUL,WHU,-1,-1
Premier League,2001,2002-04-01,IPS,CHE,0,-1
Premier League,2001,2002-04-01,SUN,LEIC,1,1
Premier League,2001,2002-04-01,TOT,LEE,1,-1
Premier League,2001,2002-04-02,AVL,NEW,0,-1
Premier League,2001,2002-04-06,ARS,TOT,1,1
Premier League,2001,2002-04-06,BOLN,IPS,1,1
Premier League,2001,2002-04-06,CHE,EVE,1,1
Premier League,2001,2002-04-06,LEIC,MANU,-1,-1
Premier League,2001,2002-04-06,MID,AVL,1,-1
Premier League,2001,2002-04-06,SOU,DER,1,1
Premier League,2001,2002-04-06,WHU,CHA,1,1
Premier League,2001,2002-04-07,LEE,SUN,1,1
Premier League,2001,2002-04-08,NEW,FUL,0,1
Premier League,2001,2002-04-10,BLBN,CHE,0,-1
Premier League,2001,2002-04-13,AVL,LEE,-1,-1
Premier League,2001,2002-04-13,CHA,SOU,0,-1
Premier League,2001,2002-04-13,DER,NEW,-1,-1
Premier League,2001,2002-04-13,EVE,LEIC,0,1
Premier League,2001,2002-04-13,SUN,LIVP,-1,-1
Premier League,2001,2002-04-13,TOT,WHU,0,-1
Premier League,2001,2002-04-20,BOLN,TOT,0,-1
Premier League,2001,2002-04-20,CHE,MANU,-1,-1
Premier League,2001,2002-04-20,LEE,FUL,-1,1
Premier League,2001,2002-04-20,LEIC,AVL,0,-1
Premier League,2001,2002-04-20,LIVP,DER,1,1
Premier League,2001,2002-04-20,MID,BLBN,-1,-1
Premier League,2001,2002-04-20,NEW,CHA,1,1
Premier League,2001,2002-04-20,SOU,EVE,-1,1
Premier League,2001,2002-04-20,WHU,SUN,1,1
Premier League,2001,2002-04-21,ARS,IPS,1,1
Premier League,2001,2002-04-23,BLBN,NEW,0,-1
Premier League,2001,2002-04-23,FUL,BOLN,1,1
Premier League,2001,2002-04-24,ARS,WHU,1,1
Premier League,2001,2002-04-24,IPS,MID,1,-1
Premier League,2001,2002-04-27,AVL,SOU,1,1
Premier League,2001,2002-04-27,CHA,SUN,0,1
Premier League,2001,2002-04-27,DER,LEE,-1,-1
Premier League,2001,2002-04-27,FUL,LEIC,0,1
Premier League,2001,2002-04-27,IPS,MANU,-1,-1
Premier League,2001,2002-04-27,MID,CHE,-1,-1
Premier League,2001,2002-04-27,NEW,WHU,1,1
Premier League,2001,2002-04-27,TOT,LIVP,1,-1
Premier League,2001,2002-04-28,EVE,BLBN,-1,-1
Premier League,2001,2002-04-29,BOLN,ARS,-1,-1
Premier League,2001,2002-05-08,LIVP,BLBN,1,1
Premier League,2001,2002-05-08,MANU,ARS,-1,-1
Premier League,2001,2002-05-11,ARS,EVE,1,1
Premier League,2001,2002-05-11,BLBN,FUL,1,1
Premier League,2001,2002-05-11,CHE,AVL,-1,1
Premier League,2001,2002-05-11,LEE,MID,1,1
Premier League,2001,2002-05-11,LEIC,TOT,1,-1
Premier League,2001,2002-05-11,LIVP,IPS,1,1
Premier League,2001,2002-05-11,MANU,CHA,0,1
Premier League,2001,2002-05-11,SOU,NEW,1,-1
Premier League,2001,2002-05-11,SUN,DER,0,1
Premier League,2001,2002-05-11,WHU,BOLN,1,1
Premier League,2002,2002-08-17,BLBN,SUN,0,1
Premier League,2002,2002-08-17,CHA,CHE,-1,-1
Premier League,2002,2002-08-17,EVE,TOT,0,1
Premier League,2002,2002-08-17,FUL,BOLN,1,1
Premier League,2002,2002-08-17,LEE,MANC,1,-1
Premier League,2002,2002-08-17,MANU,WBA,1,1
Premier League,2002,2002-08-17,SOU,MID,0,1
Premier League,2002,2002-08-18,ARS,BIR,1,1
Premier League,2002,2002-08-18,AVL,LIVP,-1,-1
Premier League,2002,2002-08-19,NEW,WHU,1,1
Premier League,2002,2002-08-23,CHE,MANU,0,-1
Premier League,2002,2002-08-24,BIR,BLBN,-1,-1
Premier League,2002,2002-08-24,BOLN,CHA,-1,-1
Premier League,2002,2002-08-24,LIVP,SOU,1,1
Premier League,2002,2002-08-24,MANC,NEW,1,-1
Premier League,2002,2002-08-24,MID,FUL,0,1
Premier League,2002,2002-08-24,SUN,EVE,-1,-1
Premier League,2002,2002-08-24,TOT,AVL,1,1
Premier League,2002,2002-08-24,WBA,LEE,-1,-1
Premier League,2002,2002-08-24,WHU,ARS,0,-1
Premier League,2002,2002-08-27,ARS,WBA,1,1
Premier League,2002,2002-08-27,CHA,TOT,-1,-1
Premier League,2002,2002-08-28,AVL,MANC,1,-1
Premier League,2002,2002-08-28,BLBN,LIVP,0,-1
Premier League,2002,2002-08-28,EVE,BIR,0,1
Premier League,2002,2002-08-28,LEE,SUN,-1,1
Premier League,2002,2002-08-28,SOU,CHE,0,-1
Premier League,2002,2002-08-31,BIR,LEE,1,1
Premier League,2002,2002-08-31,MANC,EVE,1,-1
Premier League,2002,2002-08-31,MID,BLBN,1,-1
Premier League,2002,2002-08-31,SUN,MANU,0,-1
Premier League,2002,2002-08-31,TOT,SOU,1,-1
Premier League,2002,2002-08-31,WBA,FUL,1,-1
Premier League,2002,2002-08-31,WHU,CHA,-1,-1
Premier League,2002,2002-09-01,BOLN,AVL,1,-1
Premier League,2002,2002-09-01,CHE,ARS,0,-1
Premier League,2002,2002-09-02,LIVP,NEW,0,-1
Premier League,2002,2002-09-03,MANU,MID,1,1
Premier League,2002,2002-09-10,ARS,MANC,1,1
Premier League,2002,2002-09-10,MID,SUN,1,1
Premier League,2002,2002-09-11,AVL,CHA,1,-1
Premier League,2002,2002-09-11,BLBN,CHE,-1,-1
Premier League,2002,2002-09-11,FUL,TOT,1,-1
Premier League,2002,2002-09-11,LIVP,BIR,0,1
Premier League,2002,2002-09-11,MANU,BOLN,-1,1
Premier League,2002,2002-09-11,NEW,LEE,-1,1
Premier League,2002,2002-09-11,SOU,EVE,1,-1
Premier League,2002,2002-09-11,WHU,WBA,-1,1
Premier League,2002,2002-09-14,BOLN,LIVP,-1,-1
Premier League,2002,2002-09-14,CHA,ARS,-1,-1
Premier League,2002,2002-09-14,CHE,NEW,1,-1
Premier League,2002,2002-09-14,EVE,MID,1,1
Premier League,2002,2002-09-14,LEE,MANU,1,-1
Premier League,2002,2002-09-14,SUN,FUL,-1,-1
Premier League,2002,2002-09-14,WBA,SOU,1,-1
Premier League,2002,2002-09-15,MANC,BLBN,0,-1
Premier League,2002,2002-09-15,TOT,WHU,1,1
Premier League,2002,2002-09-16,BIR,AVL,1,1
Premier League,2002,2002-09-21,ARS,BOLN,1,1
Premier League,2002,2002-09-21,LIVP,WBA,1,1
Premier League,2002,2002-09-21,MANU,TOT,1,1
Premier League,2002,2002-09-21,MID,BIR,1,1
Premier League,2002,2002-09-21,NEW,SUN,1,1
Premier League,2002,2002-09-21,SOU,CHA,0,1
Premier League,2002,2002-09-21,WHU,MANC,0,-1
Premier League,2002,2002-09-22,AVL,EVE,1,-1
Premier League,2002,2002-09-22,BLBN,LEE,1,1
Premier League,2002,2002-09-23,FUL,CHE,0,-1
Premier League,2002,2002-09-28,BIR,NEW,-1,-1
Premier League,2002,2002-09-28,BOLN,SOU,0,-1
Premier League,2002,2002-09-28,CHA,MANU,-1,-1
Premier League,2002,2002-09-28,CHE,WHU,-1,1
Premier League,2002,2002-09-28,EVE,FUL,1,1
Premier League,2002,2002-09-28,LEE,ARS,-1,-1
Premier League,2002,2002-09-28,MANC,LIVP,-1,-1
Premier League,2002,2002-09-28,SUN,AVL,1,-1
Premier League,2002,2002-09-28,TOT,MID,-1,1
Premier League,2002,2002-09-30,WBA,BLBN,-1,-1
Premier League,2002,2002-10-05,MID,BOLN,1,1
Premier League,2002,2002-10-05,NEW,WBA,1,1
Premier League,2002,2002-10-05,SOU,MANC,1,1
Premier League,2002,2002-10-05,WHU,BIR,-1,-1
Premier League,2002,2002-10-06,ARS,SUN,1,1
Premier League,2002,2002-10-06,AVL,LEE,0,-1
Premier League,2002,2002-10-06,BLBN,TOT,-1,1
Premier League,2002,2002-10-06,FUL,CHA,1,-1
Premier League,2002,2002-10-06,LIVP,CHE,1,-1
Premier League,2002,2002-10-07,MANU,EVE,1,1
Premier League,2002,2002-10-19,BLBN,NEW,1,-1
Premier League,2002,2002-10-19,EVE,ARS,1,-1
Premier League,2002,2002-10-19,FUL,MANU,0,-1
Premier League,2002,2002-10-19,LEE,LIVP,-1,-1
Premier League,2002,2002-10-19,MANC,CHE,-1,-1
Premier League,2002,2002-10-19,SUN,WHU,-1,-1
Premier League,2002,2002-10-19,WBA,BIR,0,-1
Premier League,2002,2002-10-20,CHA,MID,1,-1
Premier League,2002,2002-10-20,TOT,BOLN,1,1
Premier League,2002,2002-10-21,AVL,SOU,-1,-1
Premier League,2002,2002-10-23,FUL,WHU,-1,1
Premier League,2002,2002-10-26,ARS,BLBN,-1,1
Premier League,2002,2002-10-26,BIR,MANC,-1,-1
Premier League,2002,2002-10-26,CHE,WBA,1,1
Premier League,2002,2002-10-26,LIVP,TOT,1,1
Premier League,2002,2002-10-26,MANU,AVL,0,1
Premier League,2002,2002-10-26,MID,LEE,0,1
Premier League,2002,2002-10-26,NEW,CHA,1,1
Premier League,2002,2002-10-27,SOU,FUL,1,1
Premier League,2002,2002-10-27,WHU,EVE,-1,-1
Premier League,2002,2002-10-28,BOLN,SUN,0,1
Premier League,2002,2002-11-02,BIR,BOLN,1,1
Premier League,2002,2002-11-02,LIVP,WHU,1,1
Premier League,2002,2002-11-02,MANU,SOU,1,1
Premier League,2002,2002-11-02,WBA,MANC,-1,-1
Premier League,2002,2002-11-03,BLBN,AVL,0,1
Premier League,2002,2002-11-03,CHA,SUN,0,1
Premier League,2002,2002-11-03,FUL,ARS,-1,-1
Premier League,2002,2002-11-03,LEE,EVE,-1,-1
Premier League,2002,2002-11-03,TOT,CHE,0,-1
