,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall,draw_predictions_home,draw_predictions_away,draw_predictions
52,Serie A,ATA,0.0,0.0,0.0,0.0,0.0,0.0,393,393,786,1.0,1.0,1.0,0,0,0
53,Serie A,EMP,0.0,0.0,0.0,0.0,0.0,0.0,226,226,452,1.0,1.0,1.0,0,0,0
54,Serie A,LIVO,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
55,Serie A,BARI,0.0,0.0,0.0,0.0,0.0,0.0,55,55,110,1.0,1.0,1.0,0,0,0
56,Serie A,REG,0.0,0.0,0.0,0.0,0.0,0.0,110,110,220,1.0,1.0,1.0,0,0,0
57,Serie A,FRO,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
58,Serie A,UDI,0.0,0.0,0.0,0.0,0.0,0.0,431,431,862,1.0,1.0,1.0,0,0,0
59,Serie A,MON,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
60,Serie A,PAR,0.0,0.0,0.0,0.0,0.0,0.0,298,298,596,1.0,1.0,1.0,0,0,0
61,Serie A,TRE,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
62,Serie A,MES,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
63,Serie A,NOV,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
64,Serie A,CAG,0.0,0.0,0.0,0.0,0.0,0.0,342,342,684,1.0,1.0,1.0,0,0,0
65,Serie A,SIE,0.0,0.0,0.0,0.0,0.0,0.0,133,133,266,1.0,1.0,1.0,0,0,0
66,Serie A,INT,0.0,0.0,0.0,0.0,0.0,0.0,431,431,862,1.0,1.0,1.0,0,0,0
67,Serie A,MOD,0.0,0.0,0.0,0.0,0.0,0.0,17,17,34,1.0,1.0,1.0,0,0,0
68,Serie A,CHI,0.0,0.0,0.0,0.0,0.0,0.0,281,281,562,1.0,1.0,1.0,0,0,0
69,Serie A,BEN,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
70,Serie A,VER,0.0,0.0,0.0,0.0,0.0,0.0,224,224,448,1.0,1.0,1.0,0,0,0
71,Serie A,CAT,0.0,0.0,0.0,0.0,0.0,0.0,152,152,304,1.0,1.0,1.0,0,0,0
72,Serie A,PES,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
73,Serie A,SPE,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
74,Serie A,CRO,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
75,Serie A,NAP,0.0,0.0,0.0,0.0,0.0,0.0,359,359,718,1.0,1.0,1.0,0,0,0
76,Serie A,ASC,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
77,Serie A,TOR,0.0,0.0,0.0,0.0,0.0,0.0,338,338,676,1.0,1.0,1.0,0,0,0
78,Serie A,SPA,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
79,Serie A,LAZ,0.0,0.0,0.0,0.0,0.0,0.0,431,431,862,1.0,1.0,1.0,0,0,0
80,Serie A,FIO,0.0,0.0,0.0,0.0,0.0,0.0,414,414,828,1.0,1.0,1.0,0,0,0
81,Serie A,PIA,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
82,Serie A,LEC,0.0,0.0,0.0,0.0,0.0,0.0,186,186,372,1.0,1.0,1.0,0,0,0
83,Serie A,PER,0.0,0.0,0.0,0.0,0.0,0.0,51,51,102,1.0,1.0,1.0,0,0,0
84,Serie A,VEN,0.0,0.0,0.0,0.0,0.0,0.0,55,55,110,1.0,1.0,1.0,0,0,0
85,Serie A,CARP,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
86,Serie A,PAL,0.0,0.0,0.0,0.0,0.0,0.0,209,209,418,1.0,1.0,1.0,0,0,0
87,Serie A,CRE,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
88,Serie A,VIC,0.0,0.0,0.0,0.0,0.0,0.0,17,17,34,1.0,1.0,1.0,0,0,0
89,Serie A,GEN,0.0,0.0,0.0,0.0,0.0,0.0,323,323,646,1.0,1.0,1.0,0,0,0
