league,season,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,2004,306,131.5,0.4297385620915033,0.37254901960784315
Bundesliga,2005,306,125.0,0.4084967320261438,0.3562091503267974
Bundesliga,2006,306,112.5,0.36764705882352944,0.40522875816993464
Bundesliga,2007,306,124.0,0.40522875816993464,0.3431372549019608
Bundesliga,2008,306,124.0,0.40522875816993464,0.37254901960784315
Bundesliga,2009,306,120.0,0.39215686274509803,0.35294117647058826
Bundesliga,2010,306,119.5,0.39052287581699346,0.38562091503267976
Bundesliga,2011,306,126.5,0.4133986928104575,0.3627450980392157
Bundesliga,2012,306,125.0,0.4084967320261438,0.3790849673202614
Bundesliga,2013,306,131.0,0.42810457516339867,0.30718954248366015
Bundesliga,2014,306,108.0,0.35294117647058826,0.39215686274509803
Bundesliga,2015,306,126.5,0.4133986928104575,0.31699346405228757
Bundesliga,2016,306,132.0,0.43137254901960786,0.35294117647058826
Bundesliga,2017,306,129.5,0.42320261437908496,0.3333333333333333
Bundesliga,2018,306,132.5,0.43300653594771243,0.3006535947712418
Bundesliga,2019,306,114.0,0.37254901960784315,0.3888888888888889
Bundesliga,2020,306,113.5,0.3709150326797386,0.3660130718954248
Bundesliga,2021,306,129.5,0.42320261437908496,0.33986928104575165
Bundesliga,2022,306,132.5,0.43300653594771243,0.35294117647058826
Bundesliga,2023,306,127.5,0.4166666666666667,0.3235294117647059
Bundesliga,2024,306,142.0,0.46405228758169936,0.30718954248366015
La Liga,2000,380,145.5,0.3828947368421053,0.39473684210526316
La Liga,2001,380,159.5,0.41973684210526313,0.3736842105263158
La Liga,2002,380,153.5,0.4039473684210526,0.3394736842105263
La Liga,2003,380,149.5,0.39342105263157895,0.33421052631578946
La Liga,2005,380,162.5,0.4276315789473684,0.3026315789473684
La Liga,2007,380,145.5,0.3828947368421053,0.35
La Liga,2008,380,153.5,0.4039473684210526,0.3763157894736842
La Liga,2009,380,148.5,0.3907894736842105,0.3263157894736842
La Liga,2010,380,142.5,0.375,0.3684210526315789
La Liga,2011,380,139.0,0.36578947368421055,0.36578947368421055
La Liga,2012,380,134.0,0.3526315789473684,0.3736842105263158
La Liga,2013,380,156.0,0.4105263157894737,0.3263157894736842
La Liga,2014,380,154.5,0.40657894736842104,0.3105263157894737
La Liga,2015,380,133.0,0.35,0.37894736842105264
La Liga,2016,380,152.5,0.40131578947368424,0.3868421052631579
La Liga,2017,380,152.0,0.4,0.3605263157894737
La Liga,2018,380,160.0,0.42105263157894735,0.3526315789473684
La Liga,2019,380,141.5,0.37236842105263157,0.3684210526315789
La Liga,2020,380,149.5,0.39342105263157895,0.3894736842105263
La Liga,2021,380,147.5,0.3881578947368421,0.3605263157894737
La Liga,2022,380,146.5,0.38552631578947366,0.36578947368421055
La Liga,2023,380,153.5,0.4039473684210526,0.3526315789473684
La Liga,2024,380,153.5,0.4039473684210526,0.32894736842105265
Premier League,2001,380,153.5,0.4039473684210526,0.35526315789473684
Premier League,2002,380,155.0,0.40789473684210525,0.3394736842105263
Premier League,2005,380,158.5,0.41710526315789476,0.3815789473684211
Premier League,2006,380,145.0,0.3815789473684211,0.37894736842105264
Premier League,2007,380,154.0,0.4052631578947368,0.3473684210526316
Premier League,2008,380,155.5,0.40921052631578947,0.34210526315789475
Premier League,2009,380,136.0,0.35789473684210527,0.41578947368421054
Premier League,2010,380,147.5,0.3881578947368421,0.35526315789473684
Premier League,2011,380,141.5,0.37236842105263157,0.3763157894736842
Premier League,2012,380,159.0,0.41842105263157897,0.33421052631578946
Premier League,2013,380,138.0,0.3631578947368421,0.41842105263157897
Premier League,2014,380,158.5,0.41710526315789476,0.32894736842105265
Premier League,2015,380,163.5,0.43026315789473685,0.2789473684210526
Premier League,2016,380,136.0,0.35789473684210527,0.3736842105263158
Premier League,2017,380,156.5,0.4118421052631579,0.3631578947368421
Premier League,2018,380,153.5,0.4039473684210526,0.31842105263157894
Premier League,2019,380,159.0,0.41842105263157897,0.3263157894736842
Premier League,2020,380,151.5,0.3986842105263158,0.35789473684210527
Premier League,2021,380,160.0,0.42105263157894735,0.3473684210526316
Premier League,2022,380,157.5,0.4144736842105263,0.35526315789473684
Premier League,2023,380,148.0,0.3894736842105263,0.3631578947368421
Premier League,2024,380,150.5,0.3960526315789474,0.3447368421052632
Serie A,2000,306,115.0,0.3758169934640523,0.39215686274509803
Serie A,2001,306,114.5,0.3741830065359477,0.3627450980392157
Serie A,2002,306,120.0,0.39215686274509803,0.3431372549019608
Serie A,2005,380,159.0,0.41842105263157897,0.3157894736842105
Serie A,2006,380,147.0,0.3868421052631579,0.3157894736842105
Serie A,2007,380,145.0,0.3815789473684211,0.37105263157894736
Serie A,2008,380,150.5,0.3960526315789474,0.33421052631578946
Serie A,2009,380,141.0,0.37105263157894736,0.35789473684210527
Serie A,2010,380,147.5,0.3881578947368421,0.35
Serie A,2011,380,147.5,0.3881578947368421,0.35
Serie A,2012,380,130.0,0.34210526315789475,0.3763157894736842
Serie A,2013,380,148.0,0.3894736842105263,0.34210526315789475
Serie A,2014,380,149.0,0.39210526315789473,0.3368421052631579
Serie A,2015,380,140.5,0.36973684210526314,0.35
Serie A,2016,380,144.0,0.37894736842105264,0.39210526315789473
Serie A,2017,380,145.5,0.3828947368421053,0.36578947368421055
Serie A,2018,380,151.0,0.3973684210526316,0.35526315789473684
Serie A,2019,380,162.5,0.4276315789473684,0.35526315789473684
