league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2581.5,0.40172735760971057,0.3558979147214441
La Liga,8740,3370.5,0.3856407322654462,0.3684210526315789
Premier League,8360,3289.0,0.39342105263157895,0.36064593301435405
Serie A,8518,3358.0,0.3942239962432496,0.35348673397511154
