league,season,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,2004,306,122.5,0.40032679738562094,0.3464052287581699
Bundesliga,2005,306,119.0,0.3888888888888889,0.30718954248366015
Bundesliga,2006,306,121.5,0.39705882352941174,0.34967320261437906
Bundesliga,2007,306,118.0,0.38562091503267976,0.3562091503267974
Bundesliga,2008,306,116.0,0.3790849673202614,0.42483660130718953
Bundesliga,2009,306,134.0,0.43790849673202614,0.3366013071895425
Bundesliga,2010,306,132.5,0.43300653594771243,0.35947712418300654
Bundesliga,2011,306,113.5,0.3709150326797386,0.37254901960784315
Bundesliga,2012,306,115.0,0.3758169934640523,0.3660130718954248
Bundesliga,2013,306,127.0,0.4150326797385621,0.34967320261437906
Bundesliga,2014,306,111.0,0.3627450980392157,0.40522875816993464
Bundesliga,2015,306,121.5,0.39705882352941174,0.3464052287581699
Bundesliga,2016,306,107.0,0.34967320261437906,0.4117647058823529
Bundesliga,2017,306,124.5,0.4068627450980392,0.2973856209150327
Bundesliga,2018,306,114.5,0.3741830065359477,0.34967320261437906
Bundesliga,2019,306,123.0,0.4019607843137255,0.37254901960784315
Bundesliga,2020,306,125.5,0.41013071895424835,0.3104575163398693
Bundesliga,2021,306,135.5,0.44281045751633985,0.31699346405228757
Bundesliga,2022,306,135.5,0.44281045751633985,0.3758169934640523
Bundesliga,2023,306,122.5,0.40032679738562094,0.3333333333333333
Bundesliga,2024,306,137.0,0.4477124183006536,0.32679738562091504
La Liga,2000,380,141.5,0.37236842105263157,0.3973684210526316
La Liga,2001,380,141.5,0.37236842105263157,0.3684210526315789
La Liga,2002,380,146.5,0.38552631578947366,0.3868421052631579
La Liga,2003,380,136.5,0.3592105263157895,0.3526315789473684
La Liga,2005,380,150.5,0.3960526315789474,0.3236842105263158
La Liga,2007,380,150.5,0.3960526315789474,0.3447368421052632
La Liga,2008,380,158.5,0.41710526315789476,0.3631578947368421
La Liga,2009,380,129.5,0.34078947368421053,0.3815789473684211
La Liga,2010,380,147.5,0.3881578947368421,0.37105263157894736
La Liga,2011,380,139.0,0.36578947368421055,0.42105263157894735
La Liga,2012,380,152.0,0.4,0.35526315789473684
La Liga,2013,380,156.0,0.4105263157894737,0.3605263157894737
La Liga,2014,380,143.5,0.37763157894736843,0.3684210526315789
La Liga,2015,380,160.0,0.42105263157894735,0.3526315789473684
La Liga,2016,380,159.5,0.41973684210526313,0.3868421052631579
La Liga,2017,380,141.0,0.37105263157894736,0.36578947368421055
La Liga,2018,380,155.0,0.40789473684210525,0.3605263157894737
La Liga,2019,380,152.5,0.40131578947368424,0.35526315789473684
La Liga,2020,380,156.5,0.4118421052631579,0.37105263157894736
La Liga,2021,380,136.5,0.3592105263157895,0.37894736842105264
La Liga,2022,380,163.5,0.43026315789473685,0.3078947368421053
La Liga,2023,380,131.5,0.3460526315789474,0.38421052631578945
La Liga,2024,380,146.5,0.38552631578947366,0.35789473684210527
Premier League,2001,380,148.5,0.3907894736842105,0.37105263157894736
Premier League,2002,380,137.0,0.3605263157894737,0.35789473684210527
Premier League,2005,380,149.5,0.39342105263157895,0.3894736842105263
Premier League,2006,380,150.0,0.39473684210526316,0.3473684210526316
Premier League,2007,380,139.0,0.36578947368421055,0.3684210526315789
Premier League,2008,380,150.5,0.3960526315789474,0.38421052631578945
Premier League,2009,380,140.0,0.3684210526315789,0.37894736842105264
Premier League,2010,380,138.5,0.36447368421052634,0.3684210526315789
Premier League,2011,380,160.5,0.42236842105263156,0.3526315789473684
Premier League,2012,380,152.0,0.4,0.35526315789473684
Premier League,2013,380,140.0,0.3684210526315789,0.3631578947368421
Premier League,2014,380,138.5,0.36447368421052634,0.3631578947368421
Premier League,2015,380,164.5,0.4328947368421053,0.3631578947368421
Premier League,2016,380,152.0,0.4,0.35526315789473684
Premier League,2017,380,158.5,0.41710526315789476,0.3368421052631579
Premier League,2018,380,145.5,0.3828947368421053,0.37105263157894736
Premier League,2019,380,156.0,0.4105263157894737,0.32894736842105265
Premier League,2020,380,159.5,0.41973684210526313,0.32894736842105265
Premier League,2021,380,152.0,0.4,0.3684210526315789
Premier League,2022,380,156.5,0.4118421052631579,0.33421052631578946
Premier League,2023,380,161.0,0.4236842105263158,0.32894736842105265
Premier League,2024,380,146.5,0.38552631578947366,0.4105263157894737
Serie A,2000,306,117.0,0.38235294117647056,0.35947712418300654
Serie A,2001,306,109.5,0.35784313725490197,0.38235294117647056
Serie A,2002,306,124.0,0.40522875816993464,0.3366013071895425
Serie A,2005,380,153.0,0.4026315789473684,0.32894736842105265
Serie A,2006,380,152.0,0.4,0.31842105263157894
Serie A,2007,380,156.0,0.4105263157894737,0.35789473684210527
Serie A,2008,380,138.5,0.36447368421052634,0.3447368421052632
Serie A,2009,380,141.0,0.37105263157894736,0.3894736842105263
Serie A,2010,380,142.5,0.375,0.3973684210526316
Serie A,2011,380,161.5,0.425,0.35789473684210527
Serie A,2012,380,145.0,0.3815789473684211,0.35526315789473684
Serie A,2013,380,145.0,0.3815789473684211,0.3447368421052632
Serie A,2014,380,162.0,0.4263157894736842,0.3131578947368421
Serie A,2015,380,152.5,0.40131578947368424,0.3526315789473684
Serie A,2016,380,152.0,0.4,0.4
Serie A,2017,380,150.5,0.3960526315789474,0.3815789473684211
Serie A,2018,380,157.0,0.4131578947368421,0.3447368421052632
Serie A,2019,380,154.5,0.40657894736842104,0.3473684210526316
Serie A,2020,380,154.5,0.40657894736842104,0.3236842105263158
Serie A,2021,380,155.0,0.40789473684210525,0.3684210526315789
Serie A,2022,380,154.0,0.4052631578947368,0.31842105263157894
Serie A,2023,380,146.0,0.38421052631578945,0.31842105263157894
Serie A,2024,380,152.0,0.4,0.3078947368421053
