league,season,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,2004,306,114.5,0.3741830065359477,0.3954248366013072
Bundesliga,2005,306,128.0,0.41830065359477125,0.33986928104575165
Bundesliga,2006,306,131.5,0.4297385620915033,0.3202614379084967
Bundesliga,2007,306,116.0,0.3790849673202614,0.37254901960784315
Bundesliga,2008,306,123.0,0.4019607843137255,0.3660130718954248
Bundesliga,2009,306,112.0,0.3660130718954248,0.3660130718954248
Bundesliga,2010,306,100.5,0.3284313725490196,0.434640522875817
Bundesliga,2011,306,120.5,0.3937908496732026,0.369281045751634
Bundesliga,2012,306,118.0,0.38562091503267976,0.38562091503267976
Bundesliga,2013,306,125.0,0.4084967320261438,0.3366013071895425
Bundesliga,2014,306,120.0,0.39215686274509803,0.3954248366013072
Bundesliga,2015,306,128.5,0.4199346405228758,0.3104575163398693
Bundesliga,2016,306,111.0,0.3627450980392157,0.35947712418300654
Bundesliga,2017,306,112.5,0.36764705882352944,0.3627450980392157
Bundesliga,2018,306,105.5,0.34477124183006536,0.38235294117647056
Bundesliga,2019,306,140.0,0.45751633986928103,0.31699346405228757
Bundesliga,2020,306,124.5,0.4068627450980392,0.3366013071895425
Bundesliga,2021,306,123.5,0.4035947712418301,0.34967320261437906
Bundesliga,2022,306,125.5,0.41013071895424835,0.34967320261437906
Bundesliga,2023,306,112.5,0.36764705882352944,0.4019607843137255
Bundesliga,2024,306,122.0,0.39869281045751637,0.33986928104575165
La Liga,2000,380,130.5,0.34342105263157896,0.4236842105263158
La Liga,2001,380,131.5,0.3460526315789474,0.3868421052631579
La Liga,2002,380,156.5,0.4118421052631579,0.37894736842105264
La Liga,2003,380,143.5,0.37763157894736843,0.39210526315789473
La Liga,2005,380,145.5,0.3828947368421053,0.3105263157894737
La Liga,2007,380,152.5,0.40131578947368424,0.3236842105263158
La Liga,2008,380,143.5,0.37763157894736843,0.3394736842105263
La Liga,2009,380,157.5,0.4144736842105263,0.3263157894736842
La Liga,2010,380,140.5,0.36973684210526314,0.4026315789473684
La Liga,2011,380,144.0,0.37894736842105264,0.4
La Liga,2012,380,138.0,0.3631578947368421,0.40789473684210525
La Liga,2013,380,147.0,0.3868421052631579,0.3684210526315789
La Liga,2014,380,143.5,0.37763157894736843,0.37105263157894736
La Liga,2015,380,155.0,0.40789473684210525,0.31842105263157894
La Liga,2016,380,159.5,0.41973684210526313,0.32894736842105265
La Liga,2017,380,138.0,0.3631578947368421,0.4131578947368421
La Liga,2018,380,139.0,0.36578947368421055,0.36578947368421055
La Liga,2019,380,149.5,0.39342105263157895,0.3736842105263158
La Liga,2020,380,134.5,0.3539473684210526,0.42894736842105263
La Liga,2021,380,152.5,0.40131578947368424,0.2894736842105263
La Liga,2022,380,131.5,0.3460526315789474,0.3815789473684211
La Liga,2023,380,138.5,0.36447368421052634,0.35526315789473684
La Liga,2024,380,137.5,0.3618421052631579,0.37105263157894736
Premier League,2001,380,155.5,0.40921052631578947,0.30526315789473685
Premier League,2002,380,149.0,0.39210526315789473,0.35789473684210527
Premier League,2005,380,141.5,0.37236842105263157,0.4263157894736842
Premier League,2006,380,156.0,0.4105263157894737,0.35789473684210527
Premier League,2007,380,145.0,0.3815789473684211,0.3736842105263158
Premier League,2008,380,147.5,0.3881578947368421,0.37105263157894736
Premier League,2009,380,136.0,0.35789473684210527,0.38421052631578945
Premier League,2010,380,144.5,0.38026315789473686,0.35
Premier League,2011,380,147.5,0.3881578947368421,0.36578947368421055
Premier League,2012,380,150.0,0.39473684210526316,0.33421052631578946
Premier League,2013,380,142.0,0.3736842105263158,0.35
Premier League,2014,380,152.5,0.40131578947368424,0.33421052631578946
Premier League,2015,380,158.5,0.41710526315789476,0.3263157894736842
Premier League,2016,380,158.0,0.41578947368421054,0.3815789473684211
Premier League,2017,380,149.5,0.39342105263157895,0.3684210526315789
Premier League,2018,380,151.5,0.3986842105263158,0.3526315789473684
Premier League,2019,380,152.0,0.4,0.35526315789473684
Premier League,2020,380,149.5,0.39342105263157895,0.4
Premier League,2021,380,163.0,0.42894736842105263,0.33157894736842103
Premier League,2022,380,134.5,0.3539473684210526,0.3736842105263158
Premier League,2023,380,153.0,0.4026315789473684,0.3868421052631579
Premier League,2024,380,146.5,0.38552631578947366,0.36578947368421055
Serie A,2000,306,126.0,0.4117647058823529,0.3627450980392157
Serie A,2001,306,127.5,0.4166666666666667,0.33986928104575165
Serie A,2002,306,126.0,0.4117647058823529,0.3660130718954248
Serie A,2005,380,136.0,0.35789473684210527,0.3736842105263158
Serie A,2006,380,139.0,0.36578947368421055,0.3736842105263158
Serie A,2007,380,141.0,0.37105263157894736,0.3815789473684211
Serie A,2008,380,135.5,0.35657894736842105,0.3815789473684211
Serie A,2009,380,146.0,0.38421052631578945,0.3526315789473684
Serie A,2010,380,132.5,0.34868421052631576,0.3868421052631579
Serie A,2011,380,135.5,0.35657894736842105,0.3526315789473684
Serie A,2012,380,154.0,0.4052631578947368,0.3368421052631579
Serie A,2013,380,143.0,0.3763157894736842,0.3447368421052632
Serie A,2014,380,150.0,0.39473684210526316,0.34210526315789475
Serie A,2015,380,151.5,0.3986842105263158,0.34210526315789475
Serie A,2016,380,139.0,0.36578947368421055,0.3763157894736842
Serie A,2017,380,153.5,0.4039473684210526,0.33157894736842103
Serie A,2018,380,147.0,0.3868421052631579,0.3736842105263158
Serie A,2019,380,157.5,0.4144736842105263,0.34210526315789475
Serie A,2020,380,167.5,0.4407894736842105,0.3447368421052632
Serie A,2021,380,154.0,0.4052631578947368,0.3526315789473684
Serie A,2022,380,140.0,0.3684210526315789,0.35526315789473684
Serie A,2023,380,141.0,0.37105263157894736,0.3868421052631579
Serie A,2024,380,145.0,0.3815789473684211,0.3473684210526316
