league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2534.5,0.3944133208839091,0.37037037037037035
La Liga,8740,3360.5,0.3844965675057208,0.36807780320366135
Premier League,8360,3359.0,0.40179425837320576,0.35322966507177034
Serie A,8518,3368.0,0.39539798074665417,0.3500821789152383
