league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2504.5,0.38974478680361035,0.36430127606598195
La Liga,8740,3378.5,0.38655606407322657,0.35526315789473684
Premier League,8360,3264.0,0.39043062200956935,0.36291866028708136
Serie A,8518,3347.0,0.3929326132895046,0.3557173045315802
