league,season,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,2004,306,112.5,0.36764705882352944,0.38562091503267976
Bundesliga,2005,306,124.0,0.40522875816993464,0.32679738562091504
Bundesliga,2006,306,122.5,0.40032679738562094,0.3660130718954248
Bundesliga,2007,306,113.0,0.369281045751634,0.3888888888888889
Bundesliga,2008,306,115.0,0.3758169934640523,0.369281045751634
Bundesliga,2009,306,131.0,0.42810457516339867,0.3333333333333333
Bundesliga,2010,306,117.5,0.3839869281045752,0.3366013071895425
Bundesliga,2011,306,119.5,0.39052287581699346,0.3790849673202614
Bundesliga,2012,306,118.0,0.38562091503267976,0.3464052287581699
Bundesliga,2013,306,123.0,0.4019607843137255,0.3790849673202614
Bundesliga,2014,306,102.0,0.3333333333333333,0.40522875816993464
Bundesliga,2015,306,136.5,0.44607843137254904,0.3235294117647059
Bundesliga,2016,306,131.0,0.42810457516339867,0.33986928104575165
Bundesliga,2017,306,125.5,0.41013071895424835,0.3333333333333333
Bundesliga,2018,306,120.5,0.3937908496732026,0.34967320261437906
Bundesliga,2019,306,116.0,0.3790849673202614,0.3660130718954248
Bundesliga,2020,306,125.5,0.41013071895424835,0.32679738562091504
Bundesliga,2021,306,121.5,0.39705882352941174,0.33986928104575165
Bundesliga,2022,306,114.5,0.3741830065359477,0.40522875816993464
Bundesliga,2023,306,126.5,0.4133986928104575,0.34967320261437906
Bundesliga,2024,306,128.0,0.41830065359477125,0.31699346405228757
La Liga,2000,380,148.5,0.3907894736842105,0.3868421052631579
La Liga,2001,380,143.5,0.37763157894736843,0.3526315789473684
La Liga,2002,380,149.5,0.39342105263157895,0.3605263157894737
La Liga,2003,380,138.5,0.36447368421052634,0.41578947368421054
La Liga,2005,380,145.5,0.3828947368421053,0.41842105263157897
La Liga,2007,380,155.5,0.40921052631578947,0.36578947368421055
La Liga,2008,380,141.5,0.37236842105263157,0.35526315789473684
La Liga,2009,380,140.5,0.36973684210526314,0.38421052631578945
La Liga,2010,380,153.5,0.4039473684210526,0.3447368421052632
La Liga,2011,380,136.0,0.35789473684210527,0.35789473684210527
La Liga,2012,380,155.0,0.40789473684210525,0.34210526315789475
La Liga,2013,380,153.0,0.4026315789473684,0.35789473684210527
La Liga,2014,380,149.5,0.39342105263157895,0.3394736842105263
La Liga,2015,380,154.0,0.4052631578947368,0.32105263157894737
La Liga,2016,380,163.5,0.43026315789473685,0.35526315789473684
La Liga,2017,380,143.0,0.3763157894736842,0.35526315789473684
La Liga,2018,380,148.0,0.3894736842105263,0.35526315789473684
La Liga,2019,380,149.5,0.39342105263157895,0.36578947368421055
La Liga,2020,380,147.5,0.3881578947368421,0.3447368421052632
La Liga,2021,380,154.5,0.40657894736842104,0.35526315789473684
La Liga,2022,380,149.5,0.39342105263157895,0.3394736842105263
La Liga,2023,380,148.5,0.3907894736842105,0.37105263157894736
La Liga,2024,380,150.5,0.3960526315789474,0.35526315789473684
Premier League,2001,380,161.5,0.425,0.36578947368421055
Premier League,2002,380,163.0,0.42894736842105263,0.33157894736842103
Premier League,2005,380,145.5,0.3828947368421053,0.3815789473684211
Premier League,2006,380,136.0,0.35789473684210527,0.3526315789473684
Premier League,2007,380,152.0,0.4,0.3105263157894737
Premier League,2008,380,138.5,0.36447368421052634,0.37894736842105264
Premier League,2009,380,134.0,0.3526315789473684,0.40789473684210525
Premier League,2010,380,137.5,0.3618421052631579,0.39473684210526316
Premier League,2011,380,144.5,0.38026315789473686,0.3473684210526316
Premier League,2012,380,158.0,0.41578947368421054,0.33157894736842103
Premier League,2013,380,162.0,0.4263157894736842,0.34210526315789475
Premier League,2014,380,160.5,0.42236842105263156,0.29736842105263156
Premier League,2015,380,149.5,0.39342105263157895,0.3605263157894737
Premier League,2016,380,132.0,0.3473684210526316,0.4105263157894737
Premier League,2017,380,155.5,0.40921052631578947,0.3447368421052632
Premier League,2018,380,152.5,0.40131578947368424,0.3447368421052632
Premier League,2019,380,143.0,0.3763157894736842,0.37105263157894736
Premier League,2020,380,154.5,0.40657894736842104,0.3394736842105263
Premier League,2021,380,156.0,0.4105263157894737,0.34210526315789475
Premier League,2022,380,148.5,0.3907894736842105,0.3736842105263158
Premier League,2023,380,136.0,0.35789473684210527,0.43157894736842106
Premier League,2024,380,151.5,0.3986842105263158,0.35526315789473684
Serie A,2000,306,120.0,0.39215686274509803,0.3431372549019608
Serie A,2001,306,120.5,0.3937908496732026,0.37254901960784315
Serie A,2002,306,118.0,0.38562091503267976,0.35294117647058826
Serie A,2005,380,140.0,0.3684210526315789,0.4
Serie A,2006,380,142.0,0.3736842105263158,0.39210526315789473
Serie A,2007,380,144.0,0.37894736842105264,0.35526315789473684
Serie A,2008,380,145.5,0.3828947368421053,0.4
Serie A,2009,380,129.0,0.3394736842105263,0.3815789473684211
Serie A,2010,380,147.5,0.3881578947368421,0.3473684210526316
Serie A,2011,380,161.5,0.425,0.3263157894736842
Serie A,2012,380,152.0,0.4,0.3263157894736842
Serie A,2013,380,140.0,0.3684210526315789,0.38421052631578945
Serie A,2014,380,161.0,0.4236842105263158,0.35526315789473684
Serie A,2015,380,137.5,0.3618421052631579,0.39210526315789473
Serie A,2016,380,162.0,0.4263157894736842,0.33157894736842103
Serie A,2017,380,148.5,0.3907894736842105,0.3526315789473684
Serie A,2018,380,152.0,0.4,0.3631578947368421
Serie A,2019,380,133.5,0.3513157894736842,0.3894736842105263
Serie A,2020,380,171.5,0.4513157894736842,0.3105263157894737
Serie A,2021,380,165.0,0.4342105263157895,0.34210526315789475
Serie A,2022,380,147.0,0.3868421052631579,0.3736842105263158
Serie A,2023,380,156.0,0.4105263157894737,0.3236842105263158
Serie A,2024,380,160.0,0.42105263157894735,0.3026315789473684
