league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2626.5,0.4087301587301587,0.35294117647058826
La Liga,8740,3433.5,0.3928489702517162,0.3559496567505721
Premier League,8360,3338.0,0.3992822966507177,0.3546650717703349
Serie A,8518,3354.0,0.39375440244188775,0.3474994130077483
