league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2514.5,0.3913009648303766,0.3615001556178027
La Liga,8740,3309.5,0.3786613272311213,0.3677345537757437
Premier League,8360,3283.0,0.39270334928229667,0.36148325358851674
Serie A,8518,3288.0,0.3860061047194177,0.3586522657900916
