league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2543.5,0.39581388110799876,0.3555866791160909
La Liga,8740,3418.5,0.39113272311212816,0.36086956521739133
Premier League,8360,3272.0,0.39138755980861245,0.3598086124401914
Serie A,8518,3354.0,0.39375440244188775,0.35736088283634654
