league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2565.5,0.39923747276688454,0.3644568938686586
La Liga,8740,3415.5,0.3907894736842105,0.3598398169336384
Premier League,8360,3333.0,0.3986842105263158,0.3551435406698565
Serie A,8518,3416.0,0.401033106362996,0.3527823432730688
