league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2576.5,0.4009492685963274,0.35309679427326485
La Liga,8740,3395.5,0.3885011441647597,0.36590389016018304
Premier League,8360,3296.0,0.39425837320574164,0.36028708133971293
Serie A,8518,3375.0,0.39621976989903734,0.349729983564217
