league,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
Bundesliga,6426,2603.5,0.40515094926859635,2514.5,0.3913009648303766,2581.5,0.40172735760971057,2534.5,0.3944133208839091,2565.5,0.39923747276688454,2504.5,0.38974478680361035,2615.5,0.40701836290071586,2576.5,0.4009492685963274,2626.5,0.4087301587301587,2543.5,0.39581388110799876,2566.6,0.39940865234982886
La Liga,8740,3370.5,0.3856407322654462,3309.5,0.3786613272311213,3370.5,0.3856407322654462,3360.5,0.3844965675057208,3415.5,0.3907894736842105,3378.5,0.38655606407322657,3381.5,0.38689931350114415,3395.5,0.3885011441647597,3433.5,0.3928489702517162,3418.5,0.39113272311212816,3383.4,0.387116704805492
Premier League,8360,3214.0,0.38444976076555026,3283.0,0.39270334928229667,3289.0,0.39342105263157895,3359.0,0.40179425837320576,3333.0,0.3986842105263158,3264.0,0.39043062200956935,3285.0,0.3929425837320574,3296.0,0.39425837320574164,3338.0,0.3992822966507177,3272.0,0.39138755980861245,3293.3,0.3939354066985646
Serie A,8518,3403.0,0.39950692650857006,3288.0,0.3860061047194177,3358.0,0.3942239962432496,3368.0,0.39539798074665417,3416.0,0.401033106362996,3347.0,0.3929326132895046,3339.0,0.3919934256867809,3375.0,0.39621976989903734,3354.0,0.39375440244188775,3354.0,0.39375440244188775,3360.2,0.3944822728339986
