league,total_matches,total_upsets,upset_frequency,accuracy
Bundesliga,6426,2615.5,0.40701836290071586,0.3490507314036726
La Liga,8740,3381.5,0.38689931350114415,0.36247139588100685
Premier League,8360,3285.0,0.3929425837320574,0.36064593301435405
Serie A,8518,3339.0,0.3919934256867809,0.36205682084996477
