league,team,win_rate,std_win_rate,std_rank
MLB,TBA,0.434757771362759,0.3548000462595079,1
MLB,WAS,0.43575703550341227,0.3531867070195132,2
MLB,ATL,0.6702888488748371,0.3400325774898203,3
MLB,OAK,0.5195144642784274,0.33620285497748553,4
MLB,MIN,0.4375269253708665,0.3337714459086411,5
MLB,CHN,0.42949425116372486,0.32145955578127694,6
MLB,ARI,0.46748971193415634,0.3210780358843938,7
MLB,BAL,0.4330617985163148,0.3195937993295892,8
MLB,DET,0.4550164266797535,0.3088404465360749,9
MLB,CAL,0.40534305632105994,0.3081557844323595,10
MLB,PHI,0.506849441130748,0.30737032871951037,11
MLB,NYN,0.49570946494434404,0.3011898126479824,12
MLB,HOU,0.5953926877605784,0.3006792032710825,13
MLB,CLE,0.5310768618088174,0.2977241917873236,14
MLB,PIT,0.33867603433672316,0.2943909599148135,15
MLB,MIL,0.4982576685193575,0.28848396601047444,16
MLB,TEX,0.4645056294916128,0.2866509101609127,17
MLB,CIN,0.4499944343378889,0.2863342517670344,18
MLB,CHA,0.511141024967601,0.2842055422875694,19
MLB,SFN,0.5354892525488636,0.2816215689749839,20
MLB,SDN,0.4204441809783234,0.2808158240121614,21
MLB,SEA,0.37502410444342255,0.2770674198572514,22
MLB,TOR,0.5315343527233364,0.2759457812655668,23
MLB,KCA,0.36006704183669747,0.2746493101942641,24
MLB,MON,0.4639611186145817,0.27359956433954313,25
MLB,SLN,0.668410024689972,0.26996615049856554,26
MLB,ANA,0.5406084656084656,0.26456697110681665,27
MLB,BOS,0.6310365134536889,0.25821565688630643,28
MLB,LAN,0.7096132511874397,0.2559435062952509,29
MLB,FLO,0.388116135637112,0.2495318273886097,30
MLB,NYA,0.7672474172952698,0.24151855062556396,31
MLB,COL,0.34360029107635415,0.23515057296133277,32
MLB,MIA,0.2879642901382032,0.22145013319348603,33
NBA,RCH,0.5362949346405228,0.3895245124522472,1
NBA,MNL,0.6218992059633771,0.3564517903335527,2
NBA,PHI,0.5422472299780913,0.32117022944219475,3
NBA,CLE,0.450125271131923,0.3207309878369852,4
NBA,CHI,0.49999745603714185,0.3140829661625604,5
NBA,BUF,0.3125,0.3104932593451116,6
NBA,OKC,0.6536829316599762,0.3063979151559416,7
NBA,BAL,0.3621558554404555,0.3056831354002062,8
NBA,LAC,0.40562057217024494,0.30532684434656465,9
NBA,PHA,0.5171799514707184,0.3007290695156977,10
NBA,PHX,0.5677169757966178,0.2997930515856441,11
NBA,SAS,0.689127930926282,0.29805543513910726,12
NBA,DAL,0.5193945142481727,0.297276347061895,13
NBA,BOS,0.7001947611467089,0.29707130414781374,14
NBA,DET,0.43235474065335994,0.2960284953515163,15
NBA,GSW,0.45706331862233696,0.2958618415180658,16
NBA,MIA,0.5651130720977029,0.2953306133962213,17
NBA,TOR,0.45373589554077365,0.2930544612917912,18
NBA,MEM,0.4868069687857526,0.29265326336023995,19
NBA,ORL,0.43508247592680716,0.292355186624448,20
NBA,NOH,0.4254331937258767,0.29054950641994004,21
NBA,MIL,0.5518627110196469,0.28994432726135155,22
NBA,NYK,0.47066488729387435,0.2884724138351355,23
NBA,DEN,0.5167654564353863,0.28344503202442184,24
NBA,UTA,0.5908767419690006,0.28195692609292955,25
NBA,MIN,0.33914517379075304,0.2783416224640071,26
NBA,LAL,0.7098343313954321,0.2777496294734574,27
NBA,POR,0.5479609276682447,0.27719663103110453,28
NBA,SEA,0.5253301606186793,0.27655430613408827,29
NBA,HOU,0.5551428923380143,0.26699624432073027,30
NBA,SFW,0.3947192110809997,0.26480856239446077,31
NBA,IND,0.4986620834371965,0.26069302138610434,32
NBA,BKN,0.43219720658745053,0.2603815878387168,33
NBA,ATL,0.4707421041729282,0.2601913540267368,34
NBA,CIN,0.40740223319954716,0.25964805579439576,35
NBA,FWP,0.4960268445322793,0.25778719707574266,36
NBA,NJN,0.3519543870763383,0.2548460398861293,37
NBA,SAC,0.35701167159398867,0.2511957814697734,38
NBA,WAS,0.3810788902897942,0.24746220224027868,39
NBA,INO,0.4218887270817418,0.23933130957556212,40
NBA,WSC,0.23529411764705882,0.23529411764705882,41
NBA,SLH,0.6073287761602055,0.23058775076285215,42
NBA,CHA,0.3478697102355639,0.22953882294377248,43
NBA,KCK,0.41219512195121955,0.21282496934998515,44
NBA,NOP,0.3641034327009937,0.18773875701806286,45
NBA,SDR,0.1798780487804878,0.1811652989847022,46
NBA,KCO,0.4430894308943089,0.17932313008221767,47
NBA,SYN,0.6854355821027688,0.16952478235666038,48
NBA,TCB,0.2853860294117647,0.1677389705882353,49
NBA,NOJ,0.1902439024390244,0.16263007881141123,50
NBA,SDC,0.23170731707317072,0.15743834740680557,51
NBA,MLH,0.10876369327073553,0.1322563904396523,52
NBA,VAN,0.06504065040650407,0.06850528270875088,53
NBA,NOK,0.38414634146341464,0.018292682926829285,54
NBA,AND,0.625,0.0,55
NBA,CAP,0.7073170731707317,0.0,56
NBA,CHP,0.0,0.0,57
NBA,CHS,0.6764705882352942,0.0,58
NBA,CHZ,0.125,0.0,59
NBA,NYN,0.0,0.0,60
NBA,SBS,0.25806451612903225,0.0,61
NBA,SLB,0.35294117647058826,0.0,62
NBA,WAT,0.11290322580645161,0.0,63
NFL,IND,0.5164625172102739,0.35375595624082046,1
NFL,LAR,0.5439059804712845,0.3394359620392268,2
NFL,SF,0.5856023200240548,0.3346978320375199,3
NFL,NE,0.5802473531785596,0.3298049565883213,4
NFL,KC,0.5797439032110019,0.328594570199706,5
NFL,LV,0.5402631391539667,0.3269092730630753,6
NFL,BUF,0.4694853930272674,0.322046212290652,7
NFL,CHI,0.4234518666223551,0.3217517528791848,8
NFL,PHI,0.5318380176929529,0.3195534019315683,9
NFL,TB,0.3606359210350807,0.31625044013737247,10
NFL,CIN,0.42533826396055496,0.3144998594590499,11
NFL,DAL,0.6612909288008989,0.31418860729757536,12
NFL,CAR,0.4302696078431373,0.3134723674408658,13
NFL,TEN,0.4647693823292029,0.3127092639813865,14
NFL,LAC,0.4533037791387742,0.3125410827441935,15
NFL,HOU,0.4136828644501279,0.3121507179317706,16
NFL,NYG,0.44462445995347294,0.3105108752214563,17
NFL,CLE,0.39383982759770575,0.3099541317068624,18
NFL,JAX,0.39718137254901964,0.30749961807192394,19
NFL,DEN,0.5651557233062716,0.3017622308106893,20
NFL,WAS,0.5049494374020794,0.2972645384352424,21
NFL,ATL,0.4015176692145785,0.2963593964100728,22
