league,season,n_teams,spearman_r,spearman_p,seed
Bundesliga,2004,18,-0.18725669702061695,0.4568477562858053,1
Bundesliga,2005,18,0.08486914456673535,0.737757634225666,1
Bundesliga,2006,18,0.0005393856241822654,0.9983052030589097,1
Bundesliga,2007,18,0.2618610232066197,0.2938644190504767,1
Bundesliga,2008,18,0.1289004803215965,0.6102248116744843,1
Bundesliga,2009,18,-0.2317661938328097,0.3547597943926054,1
Bundesliga,2010,18,0.0965164241227764,0.7032191370644407,1
Bundesliga,2011,18,0.07318708440640115,0.7728861502697109,1
Bundesliga,2012,18,-0.2653607650483491,0.28722241283845507,1
Bundesliga,2013,18,-0.5898757013122559,0.009974583231777138,1
Bundesliga,2014,18,0.11774220775198033,0.6417168361185301,1
Bundesliga,2015,18,0.19129654320908643,0.44701511707010966,1
Bundesliga,2016,18,-0.30106536305747356,0.22473667329294453,1
Bundesliga,2017,18,0.041666666666666664,0.8696082848079909,1
Bundesliga,2018,18,0.09287005631087794,0.7139761933170452,1
Bundesliga,2019,18,0.1527831888196042,0.5450198736765831,1
Bundesliga,2020,18,-0.026784163308918276,0.9159824443460677,1
Bundesliga,2021,18,-0.0319785499452246,0.8997598394227675,1
Bundesliga,2022,18,0.021130344892387375,0.9336756719381436,1
Bundesliga,2023,18,0.032298196122911196,0.8987627216375191,1
Bundesliga,2024,18,-0.3968427370788339,0.10298340803976455,1
La Liga,2000,20,-0.01685895032080179,0.9437595256572885,1
La Liga,2001,20,-0.2948187805371505,0.20700322892969847,1
La Liga,2002,20,0.07581642691331965,0.7507224199036965,1
La Liga,2003,20,0.04053652188405119,0.8652609790809953,1
La Liga,2005,20,0.03731116649065252,0.8758988396034577,1
La Liga,2007,20,-0.3123345251627399,0.18001983951376044,1
La Liga,2008,20,0.5895000137032406,0.006230480671128221,1
La Liga,2009,20,0.22698147445532593,0.3358628739115327,1
La Liga,2010,20,-0.1052541991673555,0.6587551274508023,1
La Liga,2011,20,-0.24409276439958313,0.29967926039513604,1
La Liga,2012,20,0.037846276778462355,0.8741324726057692,1
La Liga,2013,20,0.2640445368866933,0.2606234010830732,1
La Liga,2014,20,0.1208875640751383,0.6116752632102869,1
La Liga,2015,20,0.06047461063168891,0.8000612096379659,1
La Liga,2016,20,0.080944831409268,0.7344252501187445,1
La Liga,2017,20,0.26581874482117285,0.2573142972729906,1
La Liga,2018,20,0.08078870906819287,0.7349198085942877,1
La Liga,2019,20,-0.214174888211592,0.3645490084609022,1
La Liga,2020,20,0.28511489965126285,0.22304893773969467,1
La Liga,2021,20,-0.5692152755705977,0.008806520253952274,1
La Liga,2022,20,0.31280472241231877,0.17933017766135778,1
La Liga,2023,20,0.024163360460077398,0.9194567806453824,1
La Liga,2024,20,-0.067133785188413,0.7785441513357879,1
Premier League,2001,20,0.19299708854244568,0.41493421368908046,1
Premier League,2002,20,0.018526452593500085,0.9382065545133991,1
Premier League,2005,20,0.34962849760146103,0.1307712974500004,1
Premier League,2006,20,0.23100086096071176,0.32714177694611213,1
Premier League,2007,20,-0.3365590998035608,0.1467937647426021,1
Premier League,2008,20,0.14616005414665725,0.5386365021193078,1
Premier League,2009,20,0.141916036850284,0.5506171518100381,1
Premier League,2010,20,-0.06718148721143012,0.7783905556448556,1
Premier League,2011,20,-0.03322917663238696,0.8893912634604574,1
Premier League,2012,20,-0.32339458992492603,0.16427062324339714,1
Premier League,2013,20,-0.395552262555803,0.08429723954029891,1
Premier League,2014,20,-0.12016771521677837,0.6138129638508851,1
Premier League,2015,20,-0.022648855493175586,0.9244907856978535,1
Premier League,2016,20,0.18641520336390158,0.43132310701680465,1
Premier League,2017,20,0.25643055318480223,0.2751283894617162,1
Premier League,2018,20,-0.30375935041618185,0.19291424226667206,1
Premier League,2019,20,-0.16262043596663528,0.4933346857627805,1
Premier League,2020,20,0.4522044823323492,0.045303933118690284,1
Premier League,2021,20,-0.1241376274985253,0.6020614906369675,1
Premier League,2022,20,0.1200558980207671,0.6141452919426587,1
Premier League,2023,20,0.04010947218488308,0.8666682321365868,1
Premier League,2024,20,0.13811990647908665,0.5614338367269222,1
Serie A,2000,18,-0.26796823256404834,0.28233377894282263,1
Serie A,2001,18,0.5285656847518523,0.02412533505801295,1
Serie A,2002,18,0.08618171006458546,0.733840029383543,1
Serie A,2005,20,-0.3381399824343547,0.14478613645828756,1
Serie A,2006,20,-0.18922234933363574,0.42429179405451856,1
Serie A,2007,20,0.03781003562009514,0.8742520844950814,1
Serie A,2008,20,-0.20094320798944915,0.3956049891561084,1
Serie A,2009,20,-0.496151473362606,0.026082479082091707,1
Serie A,2010,20,-0.5142191217949496,0.020365176059224773,1
Serie A,2011,20,0.43220351809574953,0.057024833028993804,1
Serie A,2012,20,0.16206129134410888,0.4948422586568031,1
Serie A,2013,20,-0.014533357996537094,0.9515081299392898,1
Serie A,2014,20,-0.2065808695843702,0.3821986271235006,1
Serie A,2015,20,-0.11137801978460221,0.6401532247336217,1
Serie A,2016,20,0.25291164314581205,0.2819987327981468,1
Serie A,2017,20,-0.04188307262347631,0.8608262773488838,1
Serie A,2018,20,-0.13372093023255816,0.5740843498651571,1
Serie A,2019,20,0.36895218720592976,0.10941337531483793,1
Serie A,2020,20,0.04208111407678864,0.8601743867924544,1
Serie A,2021,20,0.1916387939599583,0.41828850956972063,1
Serie A,2022,20,0.0810596549315637,0.7340615807095514,1
Serie A,2023,20,0.11468423952615939,0.6301945364685666,1
Serie A,2024,20,0.12789858323131106,0.5910149825599414,1
Bundesliga,2004,18,0.23831536740270573,0.34093563485250655,2
Bundesliga,2005,18,0.14606373788355625,0.5630458206491367,2
Bundesliga,2006,18,0.33211714598611597,0.1781440761261632,2
Bundesliga,2007,18,0.21774306838519686,0.3854120432178023,2
Bundesliga,2008,18,0.01840123650730921,0.9422273149115246,2
Bundesliga,2009,18,0.4687935895700124,0.04971383353618896,2
Bundesliga,2010,18,-0.07495613385918797,0.7675376466743242,2
Bundesliga,2011,18,0.2199679971814054,0.38045389674335206,2
Bundesliga,2012,18,0.042874449252765366,0.8658605387182945,2
Bundesliga,2013,18,0.2814577309277768,0.25786177317594267,2
Bundesliga,2014,18,0.18331820953108346,0.46653817133610764,2
Bundesliga,2015,18,-0.1709072219696565,0.49773490516759433,2
Bundesliga,2016,18,0.2073464351764147,0.4090475289113129,2
Bundesliga,2017,18,-0.35521136694561634,0.1480325609425806,2
Bundesliga,2018,18,0.12036082213408726,0.6342713537842998,2
Bundesliga,2019,18,0.14390409177669408,0.5688939367809738,2
Bundesliga,2020,18,0.019355017737146506,0.9392379184275306,2
Bundesliga,2021,18,0.23453621649130516,0.34887428874948756,2
Bundesliga,2022,18,-0.1845673118593484,0.46345373595232053,2
Bundesliga,2023,18,-0.33122070119990304,0.17938990301336943,2
Bundesliga,2024,18,-0.1672085845663127,0.5072213947562598,2
La Liga,2000,20,0.19405869974408696,0.4123227242824312,2
La Liga,2001,20,-0.1035304700784956,0.6640267620241994,2
La Liga,2002,20,-0.2592391047596831,0.26972055463745004,2
La Liga,2003,20,-0.1437872878059778,0.545319960571105,2
La Liga,2005,20,-0.07377410353787847,0.757241400022729,2
La Liga,2007,20,0.10413872760764797,0.6621647934690891,2
La Liga,2008,20,0.1253892089700555,0.5983759648164033,2
La Liga,2009,20,0.11264898948671248,0.6363177976909244,2
La Liga,2010,20,-0.163727764161943,0.4903557415948776,2
La Liga,2011,20,0.08720248903873522,0.7146872211041927,2
La Liga,2012,20,-0.1155369915676118,0.627635799670974,2
La Liga,2013,20,0.2579322378460039,0.27222856292518877,2
La Liga,2014,20,0.15453485016615423,0.5153517875682923,2
La Liga,2015,20,-0.5374547418749253,0.014529014339990437,2
La Liga,2016,20,-0.1412497756393467,0.5525087918089466,2
La Liga,2017,20,-0.4763014621676936,0.033750086128031924,2
La Liga,2018,20,0.5931097171394012,0.005844753898528824,2
La Liga,2019,20,0.28972683945292027,0.21532458553670575,2
La Liga,2020,20,-0.11409866348776912,0.6319539475725451,2
La Liga,2021,20,-0.2510279472188354,0.28571975420128704,2
La Liga,2022,20,-0.340679840804238,0.14160103503176658,2
La Liga,2023,20,0.06779423502098716,0.776418274987861,2
La Liga,2024,20,-0.15110514183940485,0.5248294226922994,2
Premier League,2001,20,-0.1211052997335286,0.6110292579840964,2
Premier League,2002,20,0.20299134255079507,0.390704806518963,2
Premier League,2005,20,-0.051914150151682055,0.8279247062104595,2
Premier League,2006,20,0.14052040337407712,0.554582950386203,2
Premier League,2007,20,0.06571869735357212,0.7831041641263103,2
Premier League,2008,20,0.050137405157349296,0.8337338753510031,2
Premier League,2009,20,0.015343804295998116,0.9488073066887975,2
Premier League,2010,20,0.23321735787564016,0.3223905712084917,2
Premier League,2011,20,0.006377736171747669,0.9787104254872754,2
Premier League,2012,20,-0.06990380347388553,0.769638243723563,2
Premier League,2013,20,-0.1435760234164391,0.5459168543477879,2
Premier League,2014,20,-0.1767221044487372,0.45607025767570064,2
Premier League,2015,20,-0.25632777366251974,0.2753275633202423,2
Premier League,2016,20,-0.3407859908002367,0.14146899766955284,2
Premier League,2017,20,-0.096612893571772,0.6853336842878652,2
Premier League,2018,20,0.2847733650396188,0.22362806769740098,2
Premier League,2019,20,-0.08628735599825103,0.717563223720108,2
Premier League,2020,20,-0.13500888905856026,0.5703677119908495,2
Premier League,2021,20,0.08074595003097029,0.7350552765972012,2
Premier League,2022,20,0.5049012674912695,0.02317374676997518,2
Premier League,2023,20,0.04629269585134171,0.8463324290093541,2
Premier League,2024,20,0.058778079280910306,0.8055659170653071,2
Serie A,2000,18,0.18221640932425281,0.46926737889409786,2
Serie A,2001,18,-0.12968025416784132,0.6080474030009473,2
Serie A,2002,18,0.12173485953609418,0.6303778334970274,2
Serie A,2005,20,-0.05742036716308574,0.8099776287913645,2
Serie A,2006,20,-0.37342100755137986,0.10485620222651713,2
Serie A,2007,20,-0.16693147954949394,0.48178714083886476,2
Serie A,2008,20,0.2742067821809846,0.24203170838711388,2
Serie A,2009,20,0.02486885075012932,0.9171128239557422,2
Serie A,2010,20,0.04910001025386722,0.8371295563043355,2
Serie A,2011,20,-0.059029904081360725,0.8047482619596579,2
Serie A,2012,20,-0.3347545912283989,0.14910905893935852,2
Serie A,2013,20,-0.39993295582462507,0.08060936710104798,2
Serie A,2014,20,-0.05188950247805971,0.8280052350841823,2
Serie A,2015,20,-0.1294598538279879,0.5864544666111722,2
Serie A,2016,20,-0.3939268481193465,0.08569681516139928,2
Serie A,2017,20,-0.17118594949536398,0.4705244253331339,2
Serie A,2018,20,0.08835416256207562,0.7110730985204907,2
Serie A,2019,20,-0.07761331703121147,0.7450002518229892,2
Serie A,2020,20,-0.5147337540144994,0.02021834173613524,2
Serie A,2021,20,-0.1659508131197241,0.4844020792973335,2
Serie A,2022,20,-0.03148076413428739,0.8951795704037946,2
Serie A,2023,20,0.5264474424518479,0.01709786423068885,2
Serie A,2024,20,-0.23951978859016873,0.30910722375256416,2
