league,spearman_r,spearman_p
Bundesliga,0.5546374216553437,7.111371676177742e-32
La Liga,0.5074197231843359,1.8033868585090478e-31
Premier League,0.6530853879510529,7.587236891893066e-55
Serie A,0.636127128190807,7.353094472118641e-53
