season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points
2024/2025,2025-03-15,Monza,Parma,1,1,draw,1,1
2024/2025,2025-03-15,Udinese,Verona,0,1,loss,0,3
2024/2025,2025-03-15,Milan,Como,2,1,win,3,0
2024/2025,2025-03-15,Torino,Empoli,1,0,win,3,0
2024/2025,2025-03-14,Genoa,Lecce,2,1,win,3,0
2024/2025,2025-03-10,Lazio,Udinese,1,1,draw,1,1
2024/2025,2025-03-09,Verona,Bologna,1,2,loss,0,3
2024/2025,2025-03-09,Napoli,Fiorentina,2,1,win,3,0
2024/2025,2025-03-09,Empoli,Roma,0,1,loss,0,3
2024/2025,2025-03-09,Juventus,Atalanta,0,4,loss,0,3
2024/2025,2025-03-08,Como,Venezia,1,1,draw,1,1
2024/2025,2025-03-08,Parma,Torino,2,2,draw,1,1
2024/2025,2025-03-08,Lecce,Milan,2,3,loss,0,3
2024/2025,2025-03-08,Inter,Monza,3,2,win,3,0
2024/2025,2025-03-07,Cagliari,Genoa,1,1,draw,1,1
2024/2025,2025-03-03,Juventus,Verona,2,0,win,3,0
2024/2025,2025-03-02,Monza,Torino,0,2,loss,0,3
2024/2025,2025-03-02,Bologna,Cagliari,2,1,win,3,0
2024/2025,2025-03-02,Genoa,Empoli,1,1,draw,1,1
2024/2025,2025-03-02,Roma,Como,2,1,win,3,0
2024/2025,2025-03-02,Milan,Lazio,1,2,loss,0,3
2024/2025,2025-03-01,Atalanta,Venezia,0,0,draw,1,1
2024/2025,2025-03-01,Napoli,Inter,1,1,draw,1,1
2024/2025,2025-03-01,Udinese,Parma,1,0,win,3,0
2024/2025,2025-02-28,Fiorentina,Lecce,1,0,win,3,0
2024/2025,2025-02-27,Bologna,Milan,2,1,win,3,0
2024/2025,2025-02-24,Roma,Monza,4,0,win,3,0
2024/2025,2025-02-23,Como,Napoli,2,1,win,3,0
2024/2025,2025-02-23,Verona,Fiorentina,1,0,win,3,0
2024/2025,2025-02-23,Empoli,Atalanta,0,5,loss,0,3
2024/2025,2025-02-23,Cagliari,Juventus,0,1,loss,0,3
2024/2025,2025-02-22,Parma,Bologna,2,0,win,3,0
2024/2025,2025-02-22,Venezia,Lazio,0,0,draw,1,1
2024/2025,2025-02-22,Torino,Milan,2,1,win,3,0
2024/2025,2025-02-22,Inter,Genoa,1,0,win,3,0
2024/2025,2025-02-21,Lecce,Udinese,0,1,loss,0,3
2024/2025,2025-02-17,Genoa,Venezia,2,0,win,3,0
2024/2025,2025-02-16,Fiorentina,Como,0,2,loss,0,3
2024/2025,2025-02-16,Monza,Lecce,0,0,draw,1,1
2024/2025,2025-02-16,Udinese,Empoli,3,0,win,3,0
2024/2025,2025-02-16,Parma,Roma,0,1,loss,0,3
2024/2025,2025-02-16,Juventus,Inter,1,0,win,3,0
2024/2025,2025-02-15,Atalanta,Cagliari,0,0,draw,1,1
2024/2025,2025-02-15,Lazio,Napoli,2,2,draw,1,1
2024/2025,2025-02-15,Milan,Verona,1,0,win,3,0
2024/2025,2025-02-14,Bologna,Torino,3,2,win,3,0
2024/2025,2025-02-10,Inter,Fiorentina,2,1,win,3,0
2024/2025,2025-02-09,Venezia,Roma,0,1,loss,0,3
2024/2025,2025-02-09,Cagliari,Parma,2,1,win,3,0
2024/2025,2025-02-09,Lazio,Monza,5,1,win,3,0
2024/2025,2025-02-09,Lecce,Bologna,0,0,draw,1,1
2024/2025,2025-02-09,Napoli,Udinese,1,1,draw,1,1
2024/2025,2025-02-08,Verona,Atalanta,0,5,loss,0,3
2024/2025,2025-02-08,Empoli,Milan,0,2,loss,0,3
2024/2025,2025-02-08,Torino,Genoa,1,1,draw,1,1
2024/2025,2025-02-07,Como,Juventus,1,2,loss,0,3
2024/2025,2025-02-06,Fiorentina,Inter,3,0,win,3,0
2024/2025,2025-02-03,Cagliari,Lazio,1,2,loss,0,3
2024/2025,2025-02-02,Juventus,Empoli,4,1,win,3,0
2024/2025,2025-02-02,Fiorentina,Genoa,2,1,win,3,0
2024/2025,2025-02-02,Milan,Inter,1,1,draw,1,1
2024/2025,2025-02-02,Roma,Napoli,1,1,draw,1,1
2024/2025,2025-02-01,Monza,Verona,0,1,loss,0,3
2024/2025,2025-02-01,Udinese,Venezia,3,2,win,3,0
2024/2025,2025-02-01,Atalanta,Torino,1,1,draw,1,1
2024/2025,2025-02-01,Bologna,Como,2,0,win,3,0
2024/2025,2025-01-31,Parma,Lecce,1,3,loss,0,3
2024/2025,2025-01-27,Venezia,Verona,1,1,draw,1,1
2024/2025,2025-01-27,Genoa,Monza,2,0,win,3,0
2024/2025,2025-01-26,Milan,Parma,3,2,win,3,0
2024/2025,2025-01-26,Udinese,Roma,1,2,loss,0,3
2024/2025,2025-01-26,Lecce,Inter,0,4,loss,0,3
2024/2025,2025-01-26,Lazio,Fiorentina,1,2,loss,0,3
2024/2025,2025-01-25,Como,Atalanta,1,2,loss,0,3
2024/2025,2025-01-25,Napoli,Juventus,2,1,win,3,0
2024/2025,2025-01-25,Empoli,Bologna,1,1,draw,1,1
2024/2025,2025-01-24,Torino,Cagliari,2,0,win,3,0
2024/2025,2025-01-20,Como,Udinese,4,1,win,3,0
2024/2025,2025-01-19,Fiorentina,Torino,1,1,draw,1,1
2024/2025,2025-01-19,Cagliari,Lecce,4,1,win,3,0
2024/2025,2025-01-19,Parma,Venezia,1,1,draw,1,1
2024/2025,2025-01-19,Verona,Lazio,0,3,loss,0,3
2024/2025,2025-01-19,Inter,Empoli,3,1,win,3,0
2024/2025,2025-01-18,Bologna,Monza,3,1,win,3,0
2024/2025,2025-01-18,Juventus,Milan,2,0,win,3,0
2024/2025,2025-01-18,Atalanta,Napoli,2,3,loss,0,3
2024/2025,2025-01-17,Roma,Genoa,3,1,win,3,0
2024/2025,2025-01-15,Inter,Bologna,2,2,draw,1,1
2024/2025,2025-01-14,Como,Milan,1,2,loss,0,3
2024/2025,2025-01-14,Atalanta,Juventus,1,1,draw,1,1
2024/2025,2025-01-13,Monza,Fiorentina,2,1,win,3,0
2024/2025,2025-01-12,Genoa,Parma,1,0,win,3,0
2024/2025,2025-01-12,Venezia,Inter,0,1,loss,0,3
2024/2025,2025-01-12,Bologna,Roma,2,2,draw,1,1
2024/2025,2025-01-12,Napoli,Verona,2,0,win,3,0
2024/2025,2025-01-11,Empoli,Lecce,1,3,loss,0,3
2024/2025,2025-01-11,Udinese,Atalanta,0,0,draw,1,1
2024/2025,2025-01-11,Torino,Juventus,1,1,draw,1,1
2024/2025,2025-01-11,Milan,Cagliari,1,1,draw,1,1
2024/2025,2025-01-10,Lazio,Como,1,1,draw,1,1
2024/2025,2025-01-05,Monza,Cagliari,1,2,loss,0,3
2024/2025,2025-01-05,Lecce,Genoa,0,0,draw,1,1
2024/2025,2025-01-05,Torino,Parma,0,0,draw,1,1
2024/2025,2025-01-05,Roma,Lazio,2,0,win,3,0
2024/2025,2025-01-04,Venezia,Empoli,1,1,draw,1,1
2024/2025,2025-01-04,Fiorentina,Napoli,0,3,loss,0,3
2024/2025,2025-01-04,Verona,Udinese,0,0,draw,1,1
2024/2025,2024-12-30,Como,Lecce,2,0,win,3,0
2024/2025,2024-12-30,Bologna,Verona,2,3,loss,0,3
2024/2025,2024-12-29,Udinese,Torino,2,2,draw,1,1
2024/2025,2024-12-29,Napoli,Venezia,1,0,win,3,0
2024/2025,2024-12-29,Juventus,Fiorentina,2,2,draw,1,1
2024/2025,2024-12-29,Milan,Roma,1,1,draw,1,1
2024/2025,2024-12-28,Empoli,Genoa,1,2,loss,0,3
2024/2025,2024-12-28,Parma,Monza,2,1,win,3,0
2024/2025,2024-12-28,Cagliari,Inter,0,3,loss,0,3
2024/2025,2024-12-28,Lazio,Atalanta,1,1,draw,1,1
2024/2025,2024-12-23,Fiorentina,Udinese,1,2,loss,0,3
2024/2025,2024-12-23,Inter,Como,2,0,win,3,0
2024/2025,2024-12-22,Roma,Parma,5,0,win,3,0
2024/2025,2024-12-22,Venezia,Cagliari,2,1,win,3,0
2024/2025,2024-12-22,Atalanta,Empoli,3,2,win,3,0
2024/2025,2024-12-22,Monza,Juventus,1,2,loss,0,3
2024/2025,2024-12-21,Torino,Bologna,0,2,loss,0,3
2024/2025,2024-12-21,Genoa,Napoli,1,2,loss,0,3
2024/2025,2024-12-21,Lecce,Lazio,1,2,loss,0,3
2024/2025,2024-12-20,Verona,Milan,0,1,loss,0,3
2024/2025,2024-12-16,Lazio,Inter,0,6,loss,0,3
