league,team,win_rate,std_win_rate,rank
MLB,TBA,0.49374498211389695,0.08860529407880464,1
MLB,DET,0.477793039200061,0.08292039622508268,2
MLB,BAL,0.4815804891363806,0.08226297161494946,3
MLB,WAS,0.47995782532014414,0.08093325654528483,4
MLB,ATL,0.5374655655904166,0.08028933209133221,5
MLB,OAK,0.511549932258737,0.07887848359979359,6
MLB,ARI,0.486854138088706,0.07737096394602874,7
MLB,HOU,0.5179114482310396,0.07599189713743298,8
MLB,CLE,0.5092215871175567,0.07319972227235308,9
MLB,SEA,0.48160459067541567,0.07039881777353062,10
MLB,CHA,0.4952413162431705,0.06988179753027791,11
MLB,NYN,0.5020494712787116,0.06987877704654735,12
MLB,MIN,0.4864120597508835,0.06885649819149305,13
MLB,PIT,0.46139634860377393,0.06767212095879489,14
MLB,KCA,0.46611480405703126,0.06745862282531437,15
MLB,CHN,0.48740046575116,0.06664629299899463,16
MLB,LAN,0.548400215503315,0.06316111830183253,17
MLB,SFN,0.5105481460275084,0.06188693924659862,18
MLB,ANA,0.5108465608465609,0.06088699676264938,19
MLB,SDN,0.4823228356190726,0.06049098642569524,20
MLB,CIN,0.49008710442191467,0.05999619348512961,21
MLB,PHI,0.4996830636128535,0.05987623392392788,22
MLB,TEX,0.48870877385944167,0.05966493750545288,23
MLB,MON,0.49994145299726206,0.05909738338079353,24
MLB,MIL,0.49606429064857555,0.05782908250545869,25
MLB,TOR,0.5072486954251018,0.05727253655680742,26
MLB,FLO,0.4762046778827862,0.057265133930949896,27
MLB,NYA,0.5651280892476688,0.05631747412258678,28
MLB,CAL,0.485007224675442,0.055094547951828644,29
MLB,BOS,0.532888821890815,0.054074503989923466,30
MLB,SLN,0.5321538982858379,0.052612521420696674,31
MLB,COL,0.4619133513244512,0.05182226509846158,32
MLB,MIA,0.437598284699734,0.05176244036254613,33
NBA,PHI,0.5098752772828259,0.16730775014040583,1
NBA,DAL,0.5058899564753223,0.1652035301407435,2
NBA,CHI,0.5070086856630883,0.16296990348535975,3
NBA,LAC,0.4392594595569016,0.16269444025825552,4
NBA,GSW,0.4871379537466559,0.15808087583546376,5
NBA,CLE,0.47077509876179496,0.15710507073935334,6
NBA,OKC,0.5834621716095962,0.15459734619207183,7
NBA,MIN,0.41559662084941557,0.15189367668279619,8
NBA,SAS,0.593415204562822,0.15154072719689363,9
NBA,MIA,0.52776919190551,0.1493441453509621,10
NBA,ORL,0.47190882682488094,0.14818053457223287,11
NBA,TOR,0.4704905970271824,0.14548149364024043,12
NBA,PHX,0.5352064856985989,0.1452715971552357,13
NBA,BOS,0.6004435774520572,0.1444317079139826,14
NBA,NOH,0.4703128849470313,0.14429157917569288,15
NBA,MNL,0.5335808428054417,0.14384560774843252,16
NBA,MEM,0.49004519946091946,0.14275921000640776,17
NBA,MIL,0.5297684613922333,0.14210035400472892,18
NBA,DET,0.4675135581994203,0.14177255815024858,19
NBA,BAL,0.4271640118147169,0.14141778074665481,20
NBA,DEN,0.4997364680398501,0.14119525628402818,21
NBA,LAL,0.5994328865103046,0.13805928500379144,22
NBA,UTA,0.5510977216491533,0.13463555607786942,23
NBA,CHA,0.42576156363961243,0.1345328601601062,24
NBA,NYK,0.48843310161442466,0.13228178520076012,25
NBA,BUF,0.3948170731707317,0.13176058938442703,26
NBA,POR,0.5247904647239459,0.12923772060926744,27
NBA,SAC,0.43086111111111114,0.1287106985622406,28
NBA,HOU,0.5281288722819888,0.1283584393294699,29
NBA,BKN,0.45359078590785906,0.12762619250728297,30
NBA,SEA,0.5237953599048186,0.12607401136686444,31
NBA,PHA,0.49740671279576715,0.1259377266308949,32
NBA,NJN,0.41866666666666663,0.12563825543355908,33
NBA,WAS,0.43605043742059524,0.12037953828522195,34
NBA,SDR,0.3628048780487805,0.11929266796654787,35
NBA,ATL,0.4939471600517143,0.11810181773181591,36
NBA,RCH,0.5597155907817672,0.1157773527951563,37
NBA,IND,0.5031385412695082,0.11398633906928426,38
NBA,CIN,0.4646790256861781,0.11244203596730182,39
NBA,SFW,0.45232819766469273,0.11016278950083595,40
NBA,SDC,0.37804878048780494,0.1017884880125928,41
NBA,SLH,0.5502974476839868,0.09438886121095759,42
NBA,NOP,0.4486506323396567,0.09343182991746973,43
NBA,WSC,0.37815126050420167,0.09243697478991597,44
NBA,SYN,0.570947755723061,0.08378168739338514,45
NBA,INO,0.4915307884517443,0.08202612408737993,46
NBA,KCK,0.46463414634146344,0.08170731707317072,47
NBA,NOJ,0.3926829268292683,0.07918381990608744,48
NBA,KCO,0.459349593495935,0.056619464541398865,49
NBA,MLH,0.3261799331341585,0.05423848326168724,50
NBA,FWP,0.5198556860161719,0.05378813029814116,51
NBA,VAN,0.2156910569105691,0.047290594105299386,52
NBA,TCB,0.4103860294117647,0.04273897058823528,53
NBA,NOK,0.4695121951219512,0.006097560975609734,54
NBA,AND,0.578125,0.0,55
NBA,CAP,0.573170731707317,0.0,56
NBA,CHP,0.225,0.0,57
NBA,CHS,0.5882352941176471,0.0,58
NBA,CHZ,0.3125,0.0,59
NBA,NYN,0.2682926829268293,0.0,60
NBA,SBS,0.3548387096774194,0.0,61
NBA,SLB,0.38235294117647056,0.0,62
NBA,WAT,0.3064516129032258,0.0,63
NFL,IND,0.5142222143094526,0.23064189458061315,1
NFL,NE,0.5430563468325184,0.22471378335856051,2
NFL,SF,0.5378002896073684,0.21907890190175966,3
NFL,LAR,0.5188135988858821,0.20810807053940375,4
NFL,LV,0.5297154172403424,0.20614768526798896,5
NFL,TEN,0.4688632515152954,0.20446472734925433,6
NFL,BUF,0.4758423143268607,0.2002581420580666,7
NFL,CAR,0.453921568627451,0.19922204280039515,8
NFL,JAX,0.41776960784313727,0.19903594452653947,9
NFL,KC,0.5474054028391018,0.19595175364214457,10
NFL,NO,0.45824479216974146,0.19374099561455635,11
NFL,TB,0.4062351130928562,0.18876619971244757,12
NFL,CIN,0.45748460202794566,0.18869281850387812,13
NFL,CLE,0.43343483226623986,0.18825160090570872,14
NFL,CHI,0.46832419408441345,0.18703646451882597,15
NFL,HOU,0.4359015345268542,0.18408493589465988,16
NFL,NYG,0.4589465729794742,0.18286842113084,17
NFL,PHI,0.5137563499976262,0.1821509667622813,18
NFL,GB,0.5431809729541534,0.1808707389858419,19
NFL,DAL,0.5969472534776623,0.17915443732918607,20
NFL,ATL,0.4321954770608808,0.1785024492859127,21
NFL,MIA,0.553603079649939,0.17733506508615127,22
NFL,DET,0.4217189700739053,0.17723805687656868,23
NFL,DEN,0.5368042697304911,0.17564078154533627,24
NFL,MIN,0.5634979980692842,0.17513936004654596,25
NFL,WAS,0.5073331592524015,0.17445660738021587,26
NFL,LAC,0.4778936998528225,0.17414838896867327,27
NFL,PIT,0.5832354128091916,0.17089660499448858,28
NFL,NYJ,0.43778189241798415,0.1683297691057074,29
NFL,BAL,0.572134888438134,0.15971296394021753,30
NFL,ARI,0.4273766003576572,0.15679647760845047,31
NFL,SEA,0.5157979858610111,0.1522429646796034,32
