league,season,n_teams,spearman_r,spearman_p
NFL,2015,32,0.3666,0.039
NFL,2016,32,0.6657,0.0
NFL,2017,32,0.6235,0.0001
NFL,2018,32,0.2806,0.1198
NFL,2019,32,0.2496,0.1684
NFL,2020,32,0.6287,0.0001
NFL,2021,32,0.2491,0.1692
NFL,2022,32,0.2027,0.2658
NFL,2023,32,0.3041,0.0906
NFL,2024,32,0.6697,0.0
