season,date,team1,team2,result,score1,score2,home_flag
1980,1980-04-09,SEA,TOR,W,8,6,HOME
1980,1980-04-09,CIN,ATL,W,9,0,HOME
1980,1980-04-10,CHA,BAL,L,3,5,HOME
1980,1980-04-10,KCA,DET,L,1,5,HOME
1980,1980-04-10,MIL,BOS,W,9,5,HOME
1980,1980-04-10,OAK,MIN,L,7,9,HOME
1980,1980-04-10,TEX,NYA,W,1,0,HOME
1980,1980-04-10,HOU,LAN,W,3,2,HOME
1980,1980-04-10,NYN,CHN,W,5,2,HOME
1980,1980-04-10,SDN,SFN,W,6,4,HOME
1980,1980-04-10,SLN,PIT,W,1,0,HOME
1980,1980-04-11,CAL,CLE,W,10,2,HOME
1980,1980-04-11,CHA,BAL,W,8,4,HOME
1980,1980-04-11,KCA,DET,W,4,0,HOME
1980,1980-04-11,OAK,MIN,W,1,0,HOME
1980,1980-04-11,SEA,TOR,L,7,10,HOME
1980,1980-04-11,TEX,NYA,W,11,7,HOME
1980,1980-04-11,CIN,ATL,W,6,0,HOME
1980,1980-04-11,HOU,LAN,W,10,6,HOME
1980,1980-04-11,NYN,CHN,L,5,7,HOME
1980,1980-04-11,PHI,MON,W,6,3,HOME
1980,1980-04-11,SDN,SFN,W,5,3,HOME
1980,1980-04-11,SLN,PIT,L,3,4,HOME
1980,1980-04-12,CAL,CLE,L,1,2,HOME
1980,1980-04-12,CHA,BAL,W,8,2,HOME
1980,1980-04-12,KCA,DET,W,8,6,HOME
1980,1980-04-12,MIL,BOS,W,18,1,HOME
1980,1980-04-12,OAK,MIN,L,0,6,HOME
1980,1980-04-12,SEA,TOR,W,3,2,HOME
1980,1980-04-12,CIN,ATL,W,5,4,HOME
1980,1980-04-12,HOU,LAN,L,5,6,HOME
1980,1980-04-12,NYN,CHN,L,3,6,HOME
1980,1980-04-12,PHI,MON,W,6,2,HOME
1980,1980-04-12,SDN,SFN,W,4,2,HOME
1980,1980-04-12,SLN,PIT,L,2,7,HOME
1980,1980-04-13,CAL,CLE,W,8,3,HOME
1980,1980-04-13,CHA,BAL,W,5,2,HOME
1980,1980-04-13,KCA,DET,W,3,2,HOME
1980,1980-04-13,MIL,BOS,L,1,3,HOME
1980,1980-04-13,OAK,MIN,W,4,1,HOME
1980,1980-04-13,SEA,TOR,W,5,1,HOME
1980,1980-04-13,TEX,NYA,L,4,9,HOME
1980,1980-04-13,TEX,NYA,L,2,8,HOME
1980,1980-04-13,CIN,ATL,W,5,0,HOME
1980,1980-04-13,HOU,LAN,W,4,2,HOME
1980,1980-04-13,NYN,CHN,W,5,0,HOME
1980,1980-04-13,PHI,MON,L,4,5,HOME
1980,1980-04-13,SDN,SFN,L,1,3,HOME
1980,1980-04-13,SLN,PIT,L,0,3,HOME
1980,1980-04-14,BOS,DET,W,3,1,HOME
1980,1980-04-14,CAL,MIN,L,3,5,HOME
1980,1980-04-14,OAK,SEA,L,1,7,HOME
1980,1980-04-14,TEX,CLE,W,7,4,HOME
1980,1980-04-14,CIN,SFN,W,6,5,HOME
1980,1980-04-14,HOU,ATL,W,5,4,HOME
1980,1980-04-14,PIT,CHN,W,5,4,HOME
1980,1980-04-14,SDN,LAN,W,2,1,HOME
1980,1980-04-15,BAL,KCA,W,12,2,HOME
1980,1980-04-15,CAL,MIN,W,3,1,HOME
1980,1980-04-15,CHA,NYA,W,4,3,HOME
1980,1980-04-15,OAK,SEA,W,12,3,HOME
1980,1980-04-15,TEX,CLE,W,3,0,HOME
1980,1980-04-15,CIN,SFN,W,8,3,HOME
1980,1980-04-15,HOU,ATL,W,6,2,HOME
1980,1980-04-15,NYN,MON,L,3,7,HOME
1980,1980-04-15,SDN,LAN,W,9,5,HOME
1980,1980-04-15,SLN,PHI,W,7,2,HOME
1980,1980-04-16,BAL,KCA,W,2,1,HOME
1980,1980-04-16,BOS,DET,W,10,9,HOME
1980,1980-04-16,CAL,MIN,W,2,1,HOME
1980,1980-04-16,CHA,NYA,L,0,6,HOME
1980,1980-04-16,OAK,SEA,W,6,1,HOME
1980,1980-04-16,TEX,CLE,W,8,7,HOME
1980,1980-04-16,TOR,MIL,W,11,2,HOME
1980,1980-04-16,CIN,SFN,W,5,3,HOME
1980,1980-04-16,NYN,MON,W,3,2,HOME
1980,1980-04-16,SDN,LAN,L,4,10,HOME
1980,1980-04-16,SLN,PHI,L,3,8,HOME
1980,1980-04-17,BAL,KCA,W,5,2,HOME
1980,1980-04-17,BOS,DET,W,5,4,HOME
1980,1980-04-17,CHA,NYA,W,8,6,HOME
1980,1980-04-17,SEA,MIN,W,4,3,HOME
1980,1980-04-17,TOR,MIL,W,1,0,HOME
1980,1980-04-17,ATL,CIN,L,1,4,HOME
1980,1980-04-17,CHN,NYN,W,4,1,HOME
1980,1980-04-17,LAN,HOU,W,6,4,HOME
1980,1980-04-17,PIT,SLN,L,9,12,HOME
1980,1980-04-17,SFN,SDN,W,7,3,HOME
1980,1980-04-18,BAL,CHA,W,5,2,HOME
1980,1980-04-18,BOS,TEX,L,5,6,HOME
1980,1980-04-18,DET,KCA,L,6,9,HOME
1980,1980-04-18,NYA,MIL,L,2,3,HOME
1980,1980-04-18,OAK,CAL,W,6,3,HOME
1980,1980-04-18,SEA,MIN,W,3,1,HOME
1980,1980-04-18,SEA,MIN,W,3,2,HOME
1980,1980-04-18,ATL,CIN,W,3,0,HOME
1980,1980-04-18,LAN,HOU,L,4,7,HOME
1980,1980-04-18,MON,PHI,W,7,5,HOME
1980,1980-04-18,PIT,SLN,W,12,10,HOME
1980,1980-04-18,SFN,SDN,W,5,2,HOME
1980,1980-04-19,BAL,CHA,L,4,5,HOME
1980,1980-04-19,BOS,TEX,L,0,8,HOME
1980,1980-04-19,CLE,TOR,W,8,1,HOME
1980,1980-04-19,DET,KCA,W,8,6,HOME
1980,1980-04-19,NYA,MIL,L,1,5,HOME
1980,1980-04-19,OAK,CAL,W,3,1,HOME
1980,1980-04-19,SEA,MIN,L,3,8,HOME
1980,1980-04-19,ATL,CIN,L,1,6,HOME
1980,1980-04-19,CHN,NYN,W,12,9,HOME
1980,1980-04-19,LAN,HOU,L,0,2,HOME
1980,1980-04-19,MON,PHI,L,4,13,HOME
1980,1980-04-19,PIT,SLN,L,1,2,HOME
1980,1980-04-19,SFN,SDN,L,0,3,HOME
1980,1980-04-20,BAL,CHA,L,6,9,HOME
1980,1980-04-20,BOS,TEX,W,6,5,HOME
1980,1980-04-20,CLE,TOR,L,3,5,HOME
1980,1980-04-20,DET,KCA,L,6,9,HOME
1980,1980-04-20,NYA,MIL,W,9,5,HOME
1980,1980-04-20,OAK,CAL,W,6,1,HOME
1980,1980-04-20,OAK,CAL,W,8,2,HOME
1980,1980-04-20,SEA,MIN,L,3,4,HOME
1980,1980-04-20,ATL,CIN,L,3,5,HOME
1980,1980-04-20,CHN,NYN,W,6,3,HOME
1980,1980-04-20,LAN,HOU,W,4,2,HOME
1980,1980-04-20,MON,PHI,W,7,6,HOME
1980,1980-04-20,PIT,SLN,W,6,3,HOME
1980,1980-04-20,SFN,SDN,W,5,1,HOME
1980,1980-04-21,BOS,CHA,W,9,8,HOME
1980,1980-04-21,KCA,TOR,L,1,7,HOME
1980,1980-04-21,MIL,CLE,W,7,5,HOME
1980,1980-04-21,NYA,BAL,W,3,2,HOME
1980,1980-04-21,SEA,OAK,L,2,4,HOME
1980,1980-04-21,TEX,DET,W,3,2,HOME
1980,1980-04-21,HOU,CIN,L,5,6,HOME
1980,1980-04-21,LAN,SFN,W,4,3,HOME
1980,1980-04-21,MON,PIT,L,1,7,HOME
1980,1980-04-21,PHI,NYN,L,0,3,HOME
1980,1980-04-22,BOS,CHA,L,0,2,HOME
1980,1980-04-22,KCA,TOR,W,7,2,HOME
1980,1980-04-22,MIL,CLE,W,8,4,HOME
1980,1980-04-22,MIN,CAL,W,8,1,HOME
1980,1980-04-22,NYA,BAL,W,5,4,HOME
1980,1980-04-22,SEA,OAK,W,5,4,HOME
1980,1980-04-22,TEX,DET,L,0,2,HOME
1980,1980-04-22,ATL,SDN,W,3,2,HOME
1980,1980-04-22,CHN,SLN,W,16,12,HOME
1980,1980-04-22,HOU,CIN,W,8,0,HOME
1980,1980-04-22,LAN,SFN,W,6,0,HOME
1980,1980-04-22,MON,PIT,L,3,5,HOME
1980,1980-04-22,PHI,NYN,W,14,8,HOME
1980,1980-04-23,KCA,TOR,W,7,4,HOME
1980,1980-04-23,MIL,CLE,L,3,7,HOME
1980,1980-04-23,MIN,CAL,L,0,17,HOME
1980,1980-04-23,NYA,BAL,W,6,5,HOME
1980,1980-04-23,SEA,OAK,L,2,5,HOME
1980,1980-04-23,TEX,DET,L,4,5,HOME
1980,1980-04-23,ATL,SDN,W,2,1,HOME
1980,1980-04-23,CHN,SLN,L,1,3,HOME
1980,1980-04-23,HOU,CIN,L,2,3,HOME
1980,1980-04-23,LAN,SFN,W,4,0,HOME
1980,1980-04-23,MON,PIT,W,3,2,HOME
1980,1980-04-23,PHI,NYN,L,2,3,HOME
1980,1980-04-24,BOS,CHA,L,3,9,HOME
1980,1980-04-24,ATL,SDN,W,8,7,HOME
1980,1980-04-24,LAN,SFN,W,5,2,HOME
1980,1980-04-25,CLE,TEX,L,1,4,HOME
1980,1980-04-25,DET,BOS,W,11,3,HOME
1980,1980-04-25,KCA,BAL,W,7,0,HOME
1980,1980-04-25,MIL,TOR,L,3,5,HOME
1980,1980-04-25,MIN,OAK,W,10,3,HOME
1980,1980-04-25,NYA,CHA,L,0,6,HOME
1980,1980-04-25,SEA,CAL,L,3,4,HOME
1980,1980-04-25,ATL,MON,W,8,7,HOME
1980,1980-04-25,CHN,PIT,W,5,3,HOME
1980,1980-04-25,HOU,NYN,W,7,4,HOME
1980,1980-04-25,LAN,SDN,W,6,3,HOME
1980,1980-04-25,PHI,SLN,L,1,3,HOME
1980,1980-04-25,SFN,CIN,W,4,3,HOME
1980,1980-04-26,CLE,TEX,W,8,7,HOME
1980,1980-04-26,DET,BOS,L,7,12,HOME
1980,1980-04-26,KCA,BAL,L,0,4,HOME
1980,1980-04-26,MIL,TOR,L,0,4,HOME
1980,1980-04-26,MIN,OAK,W,5,1,HOME
1980,1980-04-26,NYA,CHA,L,7,8,HOME
1980,1980-04-26,SEA,CAL,L,6,7,HOME
1980,1980-04-26,ATL,MON,L,3,4,HOME
1980,1980-04-26,CHN,PIT,L,2,9,HOME
1980,1980-04-26,HOU,NYN,W,6,0,HOME
1980,1980-04-26,LAN,SDN,W,4,3,HOME
1980,1980-04-26,PHI,SLN,W,7,0,HOME
1980,1980-04-26,SFN,CIN,W,3,1,HOME
1980,1980-04-27,CLE,TEX,W,7,4,HOME
1980,1980-04-27,DET,BOS,W,8,5,HOME
1980,1980-04-27,KCA,BAL,W,3,2,HOME
1980,1980-04-27,MIL,TOR,L,2,8,HOME
1980,1980-04-27,MIN,OAK,W,20,11,HOME
1980,1980-04-27,NYA,CHA,W,1,0,HOME
1980,1980-04-27,SEA,CAL,W,7,3,HOME
1980,1980-04-27,ATL,MON,W,6,3,HOME
1980,1980-04-27,HOU,NYN,W,4,3,HOME
1980,1980-04-27,LAN,SDN,W,3,1,HOME
1980,1980-04-27,PHI,SLN,L,1,10,HOME
1980,1980-04-27,SFN,CIN,L,1,3,HOME
1980,1980-04-28,CAL,OAK,L,0,8,HOME
1980,1980-04-28,MIN,SEA,L,4,6,HOME
1980,1980-04-28,SLN,CHN,L,2,4,HOME
1980,1980-04-29,BAL,NYA,L,3,4,HOME
1980,1980-04-29,CAL,OAK,L,2,4,HOME
1980,1980-04-29,CHA,BOS,L,1,11,HOME
1980,1980-04-29,CLE,MIL,L,1,14,HOME
1980,1980-04-29,DET,TEX,L,5,10,HOME
1980,1980-04-29,MIN,SEA,L,3,5,HOME
1980,1980-04-29,TOR,KCA,W,3,1,HOME
1980,1980-04-29,CIN,HOU,L,0,3,HOME
1980,1980-04-29,PIT,MON,W,5,4,HOME
1980,1980-04-29,SFN,LAN,L,0,5,HOME
1980,1980-04-29,SLN,CHN,L,4,6,HOME
1980,1980-04-30,BAL,NYA,W,7,4,HOME
1980,1980-04-30,CAL,OAK,W,2,1,HOME
1980,1980-04-30,CHA,BOS,W,2,1,HOME
1980,1980-04-30,DET,TEX,W,5,4,HOME
1980,1980-04-30,MIN,SEA,W,10,3,HOME
1980,1980-04-30,TOR,KCA,L,0,3,HOME
1980,1980-04-30,CIN,HOU,L,1,5,HOME
1980,1980-04-30,NYN,PHI,W,2,0,HOME
1980,1980-04-30,PIT,MON,W,5,0,HOME
1980,1980-04-30,SDN,ATL,W,2,1,HOME
1980,1980-04-30,SFN,LAN,L,3,4,HOME
1980,1980-04-30,SLN,CHN,W,8,2,HOME
1980,1980-05-01,CAL,SEA,W,2,1,HOME
1980,1980-05-01,CHA,BOS,L,3,4,HOME
1980,1980-05-01,TOR,CLE,L,1,2,HOME
1980,1980-05-01,CIN,HOU,L,3,9,HOME
1980,1980-05-01,NYN,PHI,L,1,2,HOME
1980,1980-05-01,PIT,MON,W,2,1,HOME
1980,1980-05-01,SDN,ATL,W,4,3,HOME
1980,1980-05-02,CAL,SEA,W,3,1,HOME
1980,1980-05-02,CHA,MIL,L,0,8,HOME
1980,1980-05-02,KCA,BOS,L,5,6,HOME
1980,1980-05-02,MIN,NYA,L,6,9,HOME
1980,1980-05-02,OAK,DET,W,10,6,HOME
1980,1980-05-02,TEX,BAL,L,5,7,HOME
1980,1980-05-02,TOR,CLE,L,1,6,HOME
1980,1980-05-02,CIN,CHN,L,4,12,HOME
1980,1980-05-02,MON,SFN,W,4,3,HOME
1980,1980-05-02,NYN,SDN,L,0,1,HOME
1980,1980-05-02,PHI,LAN,W,9,5,HOME
1980,1980-05-02,PIT,ATL,L,1,6,HOME
1980,1980-05-02,SLN,HOU,W,9,1,HOME
1980,1980-05-03,CAL,SEA,L,0,2,HOME
1980,1980-05-03,CHA,MIL,L,1,4,HOME
1980,1980-05-03,KCA,BOS,L,0,7,HOME
1980,1980-05-03,MIN,NYA,L,3,7,HOME
1980,1980-05-03,OAK,DET,W,5,3,HOME
1980,1980-05-03,TEX,BAL,W,3,2,HOME
1980,1980-05-03,TOR,CLE,W,8,3,HOME
1980,1980-05-03,CIN,CHN,L,1,7,HOME
1980,1980-05-03,MON,SFN,L,2,3,HOME
1980,1980-05-03,NYN,SDN,L,1,2,HOME
1980,1980-05-03,PHI,LAN,W,7,3,HOME
1980,1980-05-03,PIT,ATL,L,1,3,HOME
1980,1980-05-03,SLN,HOU,L,2,4,HOME
1980,1980-05-04,CAL,SEA,W,4,3,HOME
1980,1980-05-04,CHA,MIL,L,1,11,HOME
1980,1980-05-04,KCA,BOS,W,5,3,HOME
1980,1980-05-04,MIN,NYA,L,1,10,HOME
1980,1980-05-04,OAK,DET,L,0,4,HOME
1980,1980-05-04,OAK,DET,W,1,0,HOME
1980,1980-05-04,TEX,BAL,L,5,9,HOME
1980,1980-05-04,TOR,CLE,W,9,8,HOME
1980,1980-05-04,TOR,CLE,W,7,2,HOME
1980,1980-05-04,CIN,CHN,W,3,2,HOME
1980,1980-05-04,CIN,CHN,W,5,4,HOME
1980,1980-05-04,MON,SFN,L,4,8,HOME
1980,1980-05-04,MON,SFN,W,6,4,HOME
1980,1980-05-04,NYN,SDN,L,3,4,HOME
1980,1980-05-04,NYN,SDN,W,6,2,HOME
1980,1980-05-04,PHI,LAN,L,10,12,HOME
1980,1980-05-04,PIT,ATL,W,13,4,HOME
1980,1980-05-04,SLN,HOU,L,2,4,HOME
1980,1980-05-05,BAL,MIN,L,2,4,HOME
1980,1980-05-05,CHA,MIL,W,11,7,HOME
1980,1980-05-05,OAK,CLE,W,5,1,HOME
1980,1980-05-05,TEX,BOS,W,11,3,HOME
1980,1980-05-05,MON,HOU,W,10,1,HOME
1980,1980-05-05,NYN,CIN,W,3,2,HOME
1980,1980-05-05,PHI,ATL,W,7,1,HOME
1980,1980-05-05,SLN,SFN,W,9,5,HOME
1980,1980-05-06,BAL,MIN,W,10,3,HOME
1980,1980-05-06,CAL,TOR,L,2,3,HOME
1980,1980-05-06,CHA,KCA,W,2,0,HOME
1980,1980-05-06,MIL,NYA,L,5,6,HOME
1980,1980-05-06,OAK,CLE,L,3,4,HOME
1980,1980-05-06,SEA,DET,L,5,9,HOME
1980,1980-05-06,TEX,BOS,W,7,2,HOME
1980,1980-05-06,CHN,SDN,L,0,4,HOME
1980,1980-05-06,MON,HOU,L,4,8,HOME
1980,1980-05-06,NYN,CIN,L,10,12,HOME
1980,1980-05-06,PHI,ATL,W,10,5,HOME
1980,1980-05-06,PIT,LAN,W,2,1,HOME
1980,1980-05-06,SLN,SFN,W,10,7,HOME
1980,1980-05-07,BAL,MIN,W,8,6,HOME
1980,1980-05-07,CAL,TOR,L,3,7,HOME
1980,1980-05-07,CHA,KCA,L,5,12,HOME
1980,1980-05-07,MIL,NYA,L,1,4,HOME
1980,1980-05-07,OAK,CLE,L,1,2,HOME
1980,1980-05-07,SEA,DET,W,7,6,HOME
1980,1980-05-07,TEX,BOS,L,4,7,HOME
1980,1980-05-07,CHN,SDN,W,7,4,HOME
1980,1980-05-07,MON,HOU,W,3,0,HOME
1980,1980-05-07,NYN,CIN,L,2,3,HOME
1980,1980-05-07,PIT,LAN,W,7,6,HOME
1980,1980-05-07,SLN,SFN,W,12,2,HOME
1980,1980-05-08,CAL,TOR,L,2,9,HOME
1980,1980-05-08,CHA,KCA,W,8,2,HOME
1980,1980-05-08,MIL,BAL,W,9,1,HOME
1980,1980-05-08,SEA,DET,W,4,3,HOME
1980,1980-05-08,CHN,SDN,L,6,9,HOME
1980,1980-05-09,BOS,KCA,L,5,6,HOME
1980,1980-05-09,CAL,DET,L,5,6,HOME
1980,1980-05-09,MIL,BAL,L,2,5,HOME
1980,1980-05-09,NYA,MIN,W,5,2,HOME
1980,1980-05-09,SEA,CLE,L,1,4,HOME
1980,1980-05-09,TEX,CHA,W,2,1,HOME
1980,1980-05-09,ATL,HOU,W,5,4,HOME
1980,1980-05-09,CHN,SFN,L,3,6,HOME
1980,1980-05-09,CIN,PHI,W,5,2,HOME
1980,1980-05-09,MON,NYN,L,1,2,HOME
1980,1980-05-09,SDN,PIT,L,3,4,HOME
1980,1980-05-09,SLN,LAN,W,15,7,HOME
1980,1980-05-10,BOS,KCA,L,8,13,HOME
1980,1980-05-10,CAL,DET,L,1,6,HOME
1980,1980-05-10,MIL,BAL,W,5,3,HOME
1980,1980-05-10,NYA,MIN,L,0,1,HOME
1980,1980-05-10,OAK,TOR,W,4,3,HOME
1980,1980-05-10,SEA,CLE,L,3,5,HOME
1980,1980-05-10,TEX,CHA,L,6,10,HOME
1980,1980-05-10,ATL,HOU,L,2,3,HOME
1980,1980-05-10,CHN,SFN,W,15,9,HOME
1980,1980-05-10,CIN,PHI,W,5,3,HOME
1980,1980-05-10,MON,NYN,W,5,3,HOME
1980,1980-05-10,SDN,PIT,L,5,9,HOME
1980,1980-05-10,SLN,LAN,L,3,5,HOME
1980,1980-05-11,BOS,KCA,W,5,2,HOME
1980,1980-05-11,CAL,DET,L,0,4,HOME
1980,1980-05-11,MIL,BAL,W,5,4,HOME
1980,1980-05-11,NYA,MIN,W,5,0,HOME
1980,1980-05-11,OAK,TOR,W,12,1,HOME
1980,1980-05-11,SEA,CLE,W,9,4,HOME
1980,1980-05-11,TEX,CHA,W,5,1,HOME
1980,1980-05-11,ATL,HOU,W,7,4,HOME
1980,1980-05-11,CHN,SFN,L,0,3,HOME
1980,1980-05-11,CIN,PHI,L,3,7,HOME
1980,1980-05-11,SDN,PIT,W,5,0,HOME
1980,1980-05-11,SLN,LAN,L,2,4,HOME
1980,1980-05-12,BAL,TEX,L,1,5,HOME
1980,1980-05-12,BOS,MIN,L,3,4,HOME
1980,1980-05-12,NYA,KCA,L,3,12,HOME
1980,1980-05-12,LAN,CHN,W,2,1,HOME
1980,1980-05-13,BAL,TEX,W,4,2,HOME
1980,1980-05-13,BOS,MIN,W,10,5,HOME
1980,1980-05-13,DET,OAK,W,4,3,HOME
1980,1980-05-13,MIL,CHA,L,5,6,HOME
1980,1980-05-13,NYA,KCA,L,1,4,HOME
1980,1980-05-13,ATL,PHI,W,7,3,HOME
1980,1980-05-13,CIN,NYN,W,15,4,HOME
1980,1980-05-13,HOU,MON,L,2,3,HOME
1980,1980-05-13,LAN,CHN,W,4,2,HOME
1980,1980-05-13,SDN,SLN,W,3,2,HOME
1980,1980-05-13,SFN,PIT,W,5,0,HOME
1980,1980-05-14,BAL,TEX,L,3,6,HOME
1980,1980-05-14,BOS,MIN,W,7,6,HOME
1980,1980-05-14,CLE,CAL,L,7,13,HOME
1980,1980-05-14,DET,OAK,W,6,5,HOME
1980,1980-05-14,MIL,CHA,W,5,1,HOME
1980,1980-05-14,NYA,KCA,W,16,3,HOME
1980,1980-05-14,TOR,SEA,L,0,7,HOME
1980,1980-05-14,ATL,PHI,L,1,9,HOME
1980,1980-05-14,CIN,NYN,L,6,7,HOME
1980,1980-05-14,HOU,MON,L,0,1,HOME
1980,1980-05-14,LAN,CHN,L,2,5,HOME
1980,1980-05-14,SDN,SLN,L,1,2,HOME
1980,1980-05-14,SFN,PIT,L,2,3,HOME
1980,1980-05-15,CLE,BOS,L,2,6,HOME
1980,1980-05-15,MIL,CHA,L,4,6,HOME
1980,1980-05-15,TOR,SEA,W,1,0,HOME
1980,1980-05-15,SDN,SLN,W,2,1,HOME
1980,1980-05-15,SFN,PIT,L,2,3,HOME
1980,1980-05-16,CHA,SEA,L,2,4,HOME
1980,1980-05-16,CLE,BOS,L,1,2,HOME
1980,1980-05-16,DET,BAL,L,1,2,HOME
1980,1980-05-16,KCA,CAL,L,1,11,HOME
1980,1980-05-16,MIN,MIL,W,4,3,HOME
1980,1980-05-16,NYA,TEX,W,6,2,HOME
1980,1980-05-16,TOR,OAK,W,1,0,HOME
1980,1980-05-16,ATL,NYN,L,3,5,HOME
1980,1980-05-16,HOU,PHI,L,0,3,HOME
1980,1980-05-16,LAN,PIT,W,8,6,HOME
1980,1980-05-16,MON,CIN,W,2,1,HOME
1980,1980-05-16,SDN,CHN,W,3,0,HOME
1980,1980-05-16,SFN,SLN,W,4,3,HOME
1980,1980-05-17,CHA,SEA,W,4,0,HOME
1980,1980-05-17,CLE,BOS,W,4,3,HOME
1980,1980-05-17,KCA,CAL,W,2,1,HOME
1980,1980-05-17,MIN,MIL,L,11,14,HOME
1980,1980-05-17,NYA,TEX,W,3,0,HOME
1980,1980-05-17,TOR,OAK,L,2,4,HOME
1980,1980-05-17,HOU,PHI,L,2,4,HOME
1980,1980-05-17,LAN,PIT,W,3,1,HOME
1980,1980-05-17,MON,CIN,W,9,6,HOME
1980,1980-05-17,SDN,CHN,L,1,2,HOME
1980,1980-05-17,SFN,SLN,W,4,2,HOME
1980,1980-05-18,CHA,SEA,W,6,5,HOME
1980,1980-05-18,CLE,BOS,W,3,1,HOME
1980,1980-05-18,DET,BAL,W,6,4,HOME
1980,1980-05-18,KCA,CAL,W,5,3,HOME
1980,1980-05-18,MIN,MIL,W,10,4,HOME
1980,1980-05-18,NYA,TEX,L,4,5,HOME
1980,1980-05-18,TOR,OAK,W,12,1,HOME
1980,1980-05-18,ATL,NYN,W,2,1,HOME
1980,1980-05-18,ATL,NYN,L,1,2,HOME
1980,1980-05-18,HOU,PHI,W,3,0,HOME
1980,1980-05-18,LAN,PIT,W,2,0,HOME
1980,1980-05-18,SDN,CHN,W,4,3,HOME
1980,1980-05-18,SFN,SLN,W,6,5,HOME
1980,1980-05-19,CHA,MIN,W,1,0,HOME
1980,1980-05-19,CLE,BAL,L,1,4,HOME
1980,1980-05-19,DET,NYA,L,0,1,HOME
1980,1980-05-19,KCA,OAK,W,6,5,HOME
1980,1980-05-19,SEA,MIL,W,4,3,HOME
1980,1980-05-19,TEX,CAL,L,2,3,HOME
1980,1980-05-19,TOR,BOS,W,7,2,HOME
1980,1980-05-19,LAN,SLN,W,5,1,HOME
1980,1980-05-19,MON,ATL,W,11,8,HOME
1980,1980-05-19,PHI,CIN,W,6,4,HOME
1980,1980-05-20,CHA,MIN,W,4,2,HOME
1980,1980-05-20,CLE,BAL,W,4,0,HOME
1980,1980-05-20,CLE,BAL,L,0,8,HOME
1980,1980-05-20,DET,NYA,W,12,8,HOME
1980,1980-05-20,KCA,OAK,W,1,0,HOME
1980,1980-05-20,SEA,MIL,L,5,14,HOME
1980,1980-05-20,TEX,CAL,L,4,5,HOME
1980,1980-05-20,TOR,BOS,L,3,4,HOME
1980,1980-05-20,LAN,SLN,W,4,3,HOME
1980,1980-05-20,MON,ATL,L,0,1,HOME
1980,1980-05-20,NYN,HOU,L,2,3,HOME
1980,1980-05-20,PHI,CIN,L,6,7,HOME
1980,1980-05-20,SFN,CHN,W,2,0,HOME
1980,1980-05-21,CHA,MIN,L,2,3,HOME
1980,1980-05-21,CLE,BAL,W,4,2,HOME
1980,1980-05-21,DET,NYA,L,5,9,HOME
1980,1980-05-21,KCA,OAK,L,2,4,HOME
1980,1980-05-21,SEA,MIL,W,6,5,HOME
1980,1980-05-21,TEX,CAL,L,8,9,HOME
1980,1980-05-21,TOR,BOS,L,2,11,HOME
1980,1980-05-21,LAN,SLN,W,5,3,HOME
1980,1980-05-21,MON,ATL,W,3,2,HOME
1980,1980-05-21,NYN,HOU,W,5,1,HOME
1980,1980-05-21,PHI,CIN,W,9,8,HOME
1980,1980-05-21,PIT,SDN,W,4,3,HOME
1980,1980-05-21,PIT,SDN,W,3,2,HOME
1980,1980-05-21,SFN,CHN,W,4,1,HOME
1980,1980-05-22,BAL,DET,W,5,1,HOME
1980,1980-05-22,KCA,OAK,W,16,3,HOME
1980,1980-05-22,TEX,CAL,W,12,6,HOME
1980,1980-05-22,TOR,NYA,L,1,5,HOME
1980,1980-05-22,NYN,HOU,L,5,8,HOME
1980,1980-05-22,PIT,SDN,L,4,6,HOME
1980,1980-05-23,BAL,DET,W,5,3,HOME
1980,1980-05-23,BOS,CLE,W,4,1,HOME
1980,1980-05-23,CAL,KCA,L,9,13,HOME
1980,1980-05-23,MIL,MIN,W,5,0,HOME
1980,1980-05-23,OAK,TEX,L,1,3,HOME
1980,1980-05-23,SEA,CHA,W,8,0,HOME
1980,1980-05-23,TOR,NYA,L,3,7,HOME
1980,1980-05-23,CHN,LAN,W,2,0,HOME
1980,1980-05-23,CIN,MON,L,4,7,HOME
1980,1980-05-23,NYN,ATL,W,2,1,HOME
1980,1980-05-23,PHI,HOU,W,3,0,HOME
1980,1980-05-23,PIT,SFN,W,5,4,HOME
1980,1980-05-23,SLN,SDN,L,0,2,HOME
1980,1980-05-24,BAL,DET,W,9,1,HOME
1980,1980-05-24,BOS,CLE,L,2,7,HOME
1980,1980-05-24,CAL,KCA,L,5,6,HOME
1980,1980-05-24,MIL,MIN,W,4,0,HOME
1980,1980-05-24,OAK,TEX,W,15,7,HOME
1980,1980-05-24,SEA,CHA,W,5,4,HOME
1980,1980-05-24,TOR,NYA,L,2,6,HOME
1980,1980-05-24,CHN,LAN,L,2,4,HOME
1980,1980-05-24,CIN,MON,W,2,0,HOME
1980,1980-05-24,NYN,ATL,W,5,4,HOME
1980,1980-05-24,PHI,HOU,W,5,4,HOME
1980,1980-05-24,PIT,SFN,L,9,10,HOME
1980,1980-05-24,SLN,SDN,L,4,8,HOME
1980,1980-05-25,BAL,DET,L,4,6,HOME
1980,1980-05-25,BOS,CLE,L,2,3,HOME
1980,1980-05-25,CAL,KCA,L,3,7,HOME
1980,1980-05-25,MIL,MIN,W,3,2,HOME
1980,1980-05-25,OAK,TEX,L,3,7,HOME
1980,1980-05-25,SEA,CHA,W,8,3,HOME
1980,1980-05-25,TOR,NYA,W,9,6,HOME
