league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1984,PHI,162,81,81,0,0.5,720,690,30,11
MLB,1984,CAL,162,81,81,0,0.5,696,697,-1,12
MLB,1984,MIN,162,81,81,0,0.5,673,675,-2,13
MLB,1984,HOU,162,80,82,0,0.494,693,630,63,14
MLB,1984,ATL,162,80,82,0,0.494,632,655,-23,15
MLB,1984,LAN,162,79,83,0,0.488,580,600,-20,16
MLB,1984,MON,161,78,83,0,0.484,593,585,8,17
MLB,1984,OAK,162,77,85,0,0.475,738,796,-58,18
MLB,1984,PIT,162,75,87,0,0.463,615,567,48,19
MLB,1984,CLE,163,75,87,1,0.463,761,766,-5,20
MLB,1984,CHA,162,74,88,0,0.457,679,736,-57,21
MLB,1984,SEA,162,74,88,0,0.457,682,774,-92,22
MLB,1984,CIN,162,70,92,0,0.432,627,747,-120,23
MLB,1984,TEX,161,69,92,0,0.429,656,714,-58,24
MLB,1984,MIL,161,67,94,0,0.416,641,734,-93,25
MLB,1984,SFN,162,66,96,0,0.407,682,807,-125,26
MLB,1985,SLN,162,101,61,0,0.623,747,572,175,1
MLB,1985,TOR,161,99,62,0,0.615,759,588,171,2
MLB,1985,NYN,162,98,64,0,0.605,695,568,127,3
MLB,1985,NYA,161,97,64,0,0.602,839,660,179,4
MLB,1985,LAN,162,95,67,0,0.586,682,579,103,5
MLB,1985,KCA,162,91,71,0,0.562,687,639,48,6
MLB,1985,CAL,162,90,72,0,0.556,732,703,29,7
MLB,1985,CIN,162,89,72,1,0.552,677,666,11,8
MLB,1985,CHA,163,85,77,1,0.525,736,720,16,9
MLB,1985,DET,161,84,77,0,0.522,729,688,41,10
MLB,1985,MON,161,84,77,0,0.522,633,636,-3,11
MLB,1985,BAL,161,83,78,0,0.516,818,764,54,12
MLB,1985,SDN,162,83,79,0,0.512,650,622,28,13
MLB,1985,HOU,162,83,79,0,0.512,706,691,15,14
MLB,1985,BOS,163,81,81,1,0.5,800,720,80,15
MLB,1985,CHN,162,77,84,1,0.478,686,729,-43,16
MLB,1985,OAK,162,77,85,0,0.475,757,787,-30,17
MLB,1985,MIN,162,77,85,0,0.475,705,782,-77,18
MLB,1985,PHI,162,75,87,0,0.463,667,673,-6,19
MLB,1985,SEA,162,74,88,0,0.457,719,818,-99,20
MLB,1985,MIL,161,71,90,0,0.441,690,802,-112,21
MLB,1985,ATL,162,66,96,0,0.407,632,781,-149,22
MLB,1985,TEX,161,62,99,0,0.385,617,785,-168,23
MLB,1985,SFN,162,62,100,0,0.383,556,674,-118,24
MLB,1985,CLE,162,60,102,0,0.37,729,861,-132,25
MLB,1985,PIT,161,57,104,0,0.354,568,708,-140,26
MLB,1986,NYN,162,108,54,0,0.667,783,578,205,1
MLB,1986,HOU,162,96,66,0,0.593,654,569,85,2
MLB,1986,BOS,161,95,66,0,0.59,794,696,98,3
MLB,1986,CAL,162,92,70,0,0.568,786,684,102,4
MLB,1986,NYA,162,90,72,0,0.556,797,738,59,5
MLB,1986,DET,162,87,75,0,0.537,798,714,84,6
MLB,1986,TEX,162,87,75,0,0.537,771,743,28,7
MLB,1986,PHI,161,86,75,0,0.534,739,713,26,8
MLB,1986,TOR,163,86,76,1,0.531,809,733,76,9
MLB,1986,CIN,162,86,76,0,0.531,732,717,15,10
MLB,1986,CLE,163,84,78,1,0.518,831,841,-10,11
MLB,1986,SFN,162,83,79,0,0.512,698,618,80,12
MLB,1986,SLN,161,79,82,0,0.491,601,611,-10,13
MLB,1986,MON,161,78,83,0,0.484,637,688,-51,14
MLB,1986,MIL,161,77,84,0,0.478,667,734,-67,15
MLB,1986,KCA,162,76,86,0,0.469,654,673,-19,16
MLB,1986,OAK,162,76,86,0,0.469,731,760,-29,17
MLB,1986,SDN,162,74,88,0,0.457,656,723,-67,18
MLB,1986,LAN,162,73,89,0,0.451,638,679,-41,19
MLB,1986,BAL,162,73,89,0,0.451,708,760,-52,20
MLB,1986,ATL,161,72,89,0,0.447,615,719,-104,21
MLB,1986,CHA,162,72,90,0,0.444,644,699,-55,22
MLB,1986,MIN,162,71,91,0,0.438,741,839,-98,23
MLB,1986,CHN,160,70,90,0,0.438,680,781,-101,24
MLB,1986,SEA,162,67,95,0,0.414,718,835,-117,25
MLB,1986,PIT,162,64,98,0,0.395,663,700,-37,26
MLB,1987,DET,162,98,64,0,0.605,896,735,161,1
MLB,1987,TOR,162,96,66,0,0.593,845,655,190,2
MLB,1987,SLN,162,95,67,0,0.586,798,693,105,3
MLB,1987,NYN,162,92,70,0,0.568,823,698,125,4
MLB,1987,MIL,162,91,71,0,0.562,862,817,45,5
MLB,1987,MON,162,91,71,0,0.562,741,720,21,6
MLB,1987,SFN,162,90,72,0,0.556,783,669,114,7
MLB,1987,NYA,162,89,73,0,0.549,788,758,30,8
MLB,1987,MIN,162,85,77,0,0.525,786,806,-20,9
MLB,1987,CIN,162,84,78,0,0.519,783,752,31,10
MLB,1987,KCA,162,83,79,0,0.512,715,691,24,11
MLB,1987,OAK,162,81,81,0,0.5,806,789,17,12
MLB,1987,PIT,162,80,82,0,0.494,723,744,-21,13
MLB,1987,PHI,162,80,82,0,0.494,702,749,-47,14
MLB,1987,BOS,162,78,84,0,0.481,842,825,17,15
MLB,1987,SEA,162,78,84,0,0.481,760,801,-41,16
MLB,1987,CHA,162,77,85,0,0.475,748,746,2,17
MLB,1987,CHN,161,76,85,0,0.472,720,801,-81,18
MLB,1987,HOU,162,76,86,0,0.469,648,678,-30,19
MLB,1987,TEX,162,75,87,0,0.463,823,849,-26,20
MLB,1987,CAL,162,75,87,0,0.463,770,803,-33,21
MLB,1987,LAN,162,73,89,0,0.451,635,675,-40,22
MLB,1987,ATL,161,69,92,0,0.429,747,829,-82,23
MLB,1987,BAL,162,67,95,0,0.414,729,880,-151,24
MLB,1987,SDN,162,65,97,0,0.401,668,763,-95,25
MLB,1987,CLE,162,61,101,0,0.377,742,957,-215,26
MLB,1988,OAK,162,104,58,0,0.642,800,620,180,1
MLB,1988,NYN,160,100,60,0,0.625,703,532,171,2
MLB,1988,LAN,162,94,67,1,0.583,628,544,84,3
MLB,1988,MIN,162,91,71,0,0.562,759,672,87,4
MLB,1988,BOS,162,89,73,0,0.549,813,689,124,5
MLB,1988,DET,162,88,74,0,0.543,703,658,45,6
MLB,1988,CIN,161,87,74,0,0.54,641,596,45,7
MLB,1988,TOR,162,87,75,0,0.537,763,680,83,8
MLB,1988,MIL,162,87,75,0,0.537,682,616,66,9
MLB,1988,PIT,160,85,75,0,0.531,651,616,35,10
MLB,1988,NYA,161,85,76,0,0.528,772,748,24,11
MLB,1988,KCA,161,84,77,0,0.522,704,648,56,12
MLB,1988,SDN,161,83,78,0,0.516,594,583,11,13
MLB,1988,SFN,162,83,79,0,0.512,670,626,44,14
MLB,1988,HOU,162,82,80,0,0.506,617,631,-14,15
MLB,1988,MON,163,81,81,1,0.5,628,592,36,16
MLB,1988,CLE,162,78,84,0,0.481,666,731,-65,17
MLB,1988,CHN,163,77,85,1,0.475,660,694,-34,18
MLB,1988,SLN,162,76,86,0,0.469,578,633,-55,19
MLB,1988,CAL,162,75,87,0,0.463,714,771,-57,20
MLB,1988,CHA,161,71,90,0,0.441,631,757,-126,21
MLB,1988,TEX,161,70,91,0,0.435,637,735,-98,22
MLB,1988,SEA,161,68,93,0,0.422,664,744,-80,23
MLB,1988,PHI,162,65,96,1,0.404,597,734,-137,24
MLB,1988,ATL,160,54,106,0,0.338,555,741,-186,25
MLB,1988,BAL,161,54,107,0,0.335,550,789,-239,26
MLB,1989,OAK,162,99,63,0,0.611,712,576,136,1
MLB,1989,CHN,162,93,69,0,0.574,702,623,79,2
MLB,1989,SFN,162,92,70,0,0.568,699,600,99,3
MLB,1989,KCA,162,92,70,0,0.568,690,635,55,4
MLB,1989,CAL,162,91,71,0,0.562,669,578,91,5
MLB,1989,TOR,162,89,73,0,0.549,731,651,80,6
MLB,1989,SDN,162,89,73,0,0.549,642,626,16,7
MLB,1989,NYN,162,87,75,0,0.537,683,595,88,8
MLB,1989,BAL,162,87,75,0,0.537,708,686,22,9
MLB,1989,HOU,162,86,76,0,0.531,647,669,-22,10
MLB,1989,SLN,164,86,76,2,0.53,632,608,24,11
MLB,1989,BOS,162,83,79,0,0.512,774,735,39,12
MLB,1989,TEX,162,83,79,0,0.512,695,714,-19,13
MLB,1989,MIL,162,81,81,0,0.5,707,679,28,14
MLB,1989,MON,162,81,81,0,0.5,632,630,2,15
MLB,1989,MIN,162,80,82,0,0.494,740,738,2,16
MLB,1989,LAN,160,77,83,0,0.481,554,536,18,17
MLB,1989,CIN,162,75,87,0,0.463,632,691,-59,18
MLB,1989,NYA,161,74,87,0,0.46,698,792,-94,19
MLB,1989,PIT,164,74,88,2,0.457,637,680,-43,20
MLB,1989,SEA,162,73,89,0,0.451,694,728,-34,21
MLB,1989,CLE,162,73,89,0,0.451,604,654,-50,22
MLB,1989,CHA,161,69,92,0,0.429,693,750,-57,23
MLB,1989,PHI,163,67,95,1,0.414,629,735,-106,24
MLB,1989,ATL,161,63,97,1,0.394,584,680,-96,25
MLB,1989,DET,162,59,103,0,0.364,617,816,-199,26
MLB,1990,OAK,162,103,59,0,0.636,733,570,163,1
MLB,1990,PIT,162,95,67,0,0.586,733,619,114,2
MLB,1990,CHA,162,94,68,0,0.58,682,633,49,3
MLB,1990,NYN,162,91,71,0,0.562,775,613,162,4
MLB,1990,CIN,162,91,71,0,0.562,693,597,96,5
MLB,1990,BOS,162,88,74,0,0.543,699,664,35,6
MLB,1990,TOR,162,86,76,0,0.531,767,661,106,7
MLB,1990,LAN,162,86,76,0,0.531,728,685,43,8
MLB,1990,MON,162,85,77,0,0.525,662,598,64,9
MLB,1990,SFN,162,85,77,0,0.525,719,710,9,10
MLB,1990,TEX,162,83,79,0,0.512,676,696,-20,11
MLB,1990,CAL,162,80,82,0,0.494,690,706,-16,12
MLB,1990,DET,162,79,83,0,0.488,750,754,-4,13
MLB,1990,CLE,162,77,85,0,0.475,732,737,-5,14
MLB,1990,SEA,162,77,85,0,0.475,640,680,-40,15
MLB,1990,PHI,162,77,85,0,0.475,646,729,-83,16
MLB,1990,CHN,162,77,85,0,0.475,690,774,-84,17
MLB,1990,BAL,161,76,85,0,0.472,669,698,-29,18
MLB,1990,KCA,161,75,86,0,0.466,707,709,-2,19
MLB,1990,SDN,162,75,87,0,0.463,673,673,0,20
MLB,1990,HOU,162,75,87,0,0.463,573,656,-83,21
MLB,1990,MIL,162,74,88,0,0.457,732,760,-28,22
MLB,1990,MIN,162,74,88,0,0.457,666,729,-63,23
MLB,1990,SLN,162,70,92,0,0.432,599,698,-99,24
MLB,1990,NYA,162,67,95,0,0.414,603,749,-146,25
