league,season,n_teams,spearman_r_seed_1,spearman_p_seed_1,spearman_r_seed_2,spearman_p_seed_2,spearman_r_seed_3,spearman_p_seed_3,spearman_r_seed_4,spearman_p_seed_4,spearman_r_seed_5,spearman_p_seed_5,spearman_r_seed_6,spearman_p_seed_6,spearman_r_seed_7,spearman_p_seed_7,spearman_r_seed_8,spearman_p_seed_8,spearman_r_seed_9,spearman_p_seed_9,spearman_r_seed_10,spearman_p_seed_10,spearman_r_avg,spearman_p_avg
Bundesliga,2004,18,0.13547529767074884,0.5919647178013003,-0.14646605667537396,0.5619592804296891,0.05080260393227264,0.8413304895756933,-0.16873435502689318,0.503297651559443,0.32867902955896977,0.18295389630868808,0.04811534148569237,0.8496305494235881,0.16267918533418504,0.518954158301245,-0.229709219034014,0.35916663014764116,0.3518315833430989,0.15220360357858842,-0.47041991464659827,0.04882048301746641,0.006225349594208807,0.4610281460143342
Bundesliga,2005,18,-0.19343096016808758,0.44186438227887803,0.2485288005996641,0.320009493703843,-0.25963171938141383,0.2981433574522526,0.2068259661291568,0.410250799498756,0.18119278101478106,0.4718100722142402,-0.4713325088090212,0.0483245410973186,0.10326911372153766,0.6834404567296176,-0.008579099571181577,0.9730483271108714,-0.12234104859225958,0.6286630486402565,0.1085426837904408,0.6681286304375672,-0.020695599126638337,0.4943683109163602
Bundesliga,2006,18,0.28082764260561316,0.25897427674526546,0.017516723062321864,0.9450002658542714,0.2255368448654492,0.36820022572993594,0.018698117922938667,0.9412967314014477,0.3597805580784223,0.14251987340943226,-0.32015079578057054,0.19525700853714242,-0.20653420654599106,0.4109261468949471,0.25121890130465757,0.3146269179027703,0.19800087918679027,0.4309402583316735,0.322598378541944,0.19167151359251902,0.11474930432415753,0.4199413218399405
Bundesliga,2007,18,0.016103117576920904,0.949433157890163,-0.39010117286084883,0.10950929327642298,0.41653733505759005,0.08552163792679598,-0.06740355648716609,0.7904388503262898,0.15054468401255675,0.5509961624944739,0.08789100535438688,0.7287476836002308,0.042127441333337255,0.8681781860186466,0.011835744648973403,0.9628231796414275,0.26356070403029375,0.29062715481904766,0.00899962320705448,0.9717277185680903,0.05400949258730986,0.6308003024561588
Bundesliga,2008,18,-0.11834940404329358,0.6399874697177557,0.32357105331692204,0.19025884539677898,-0.12960812927681034,0.6082486703409228,-0.3574894584916668,0.14526599716206062,-0.24731311470911244,0.3224596503149091,0.3331582243606774,0.17670455328151075,-0.41966115158659273,0.08296424436392473,-0.02637369007057582,0.9172658236347782,-0.17182027555746063,0.4954062526597114,-0.0650065556134708,0.7977423530721459,-0.08788925016713836,0.4376303859944498
Bundesliga,2009,18,0.008192891077949146,0.9742612315397017,-0.07769086858560674,0.7592892212569538,-0.06470588235294117,0.7986596267172444,-0.23578757859528401,0.34623397655034827,0.06547619047619047,0.7963101274850051,0.24626859344023522,0.32457362688694635,-0.21952685217135356,0.3814341443579575,-0.01108765137707944,0.9651715944243742,0.23679916410053872,0.34410800316861756,-0.05189216480976561,0.8379696797584535,-0.010395415879711703,0.6528011232145603
Bundesliga,2010,18,0.24627242173707806,0.3245658640763279,0.04598441562327499,0.8562230260776904,-0.1830697055689938,0.46715303113905593,-0.16367485366164886,0.5163642225036824,-0.16273677760322283,0.5188041842846239,-0.2980286987383724,0.22967764910464666,0.3825297037213365,0.11718411721552563,0.2841914976922287,0.2530696412259321,0.18085119640555694,0.47266009085731153,0.2620325367498431,0.2935367631063792,0.05943517363570803,0.4049238589591176
Bundesliga,2011,18,0.07065869448393701,0.7805473073753157,-0.21294323462464343,0.396228700260036,-0.22461046521520195,0.37022308610336463,-0.559494287894598,0.015767141014488853,0.06584888158230498,0.7951739875569945,-0.10201580862245839,0.6870970499736798,-0.42276238458456616,0.08048107060307502,-0.08330011237218743,0.7424487874547103,0.0891246809763929,0.7250789960930323,0.1401952324804932,0.5789977719765811,-0.12392988037905275,0.5172043898411278
Bundesliga,2012,18,0.13287154549134084,0.5991689803947637,-0.2348003766185054,0.3483159653066329,-0.08136369385642973,0.7482502781814133,0.17019065519187357,0.49956611276429286,0.2311049427358222,0.3561730762844201,-0.28799213961592957,0.24650099045233032,0.23012130710909032,0.3582813013745194,0.31349056213070364,0.20523726609570545,-0.17055212035784773,0.4986419745031926,0.19024931303391193,0.44955349380804677,0.049331999524403,0.4309689439165318
Bundesliga,2013,18,0.15891735975702578,0.5287937392255024,0.12079863000429125,0.6330297679101383,0.022520835666176613,0.9293211776465264,-0.10437362742465621,0.6802235156606744,-0.012926112238824687,0.9594008235642904,-0.2521192099062159,0.3128375794498456,-0.33369392427963285,0.17596688506280042,-0.27200668886138674,0.2748634107914507,-0.07688885694855417,0.7617057066408233,0.08503091108427584,0.7372744763521542,-0.0664740683147501,0.5993417082304207
Bundesliga,2014,18,-0.332800854709635,0.17719781198732643,-0.5255959535388294,0.025081404828056767,-0.0742954041367718,0.7695341263937912,-0.15307340809120215,0.5442471892884074,-0.4107048801403445,0.09044957089979347,-0.0824913041432307,0.744870382477693,0.08753376005868332,0.7298111066203061,-0.04567851789522523,0.8571701403719795,-0.2341757809530912,0.3496369249331689,-0.1706604997444935,0.4983650468024118,-0.194194284329414,0.4786363704602934
Bundesliga,2015,18,0.03149287892082972,0.9012751350710956,-0.13971227404748487,0.5803190419667945,0.18221705197776328,0.469265784694335,0.05726521006401326,0.821436260665651,0.055915109260473696,0.8255842066675525,-0.26462767617264066,0.28860607569211194,-0.38212079959193607,0.11760915815945784,0.37213159825458686,0.1283341053329481,0.3391629860705658,0.16855429044376924,0.2034803444664303,0.4180306975144762,0.045520442920260126,0.4719014756208192
Bundesliga,2016,18,0.04146735736537337,0.8702269973852705,-0.17808981785774253,0.47955950663794333,0.03764581124072111,0.8821036345336235,0.12521867473638437,0.6205475993915063,0.21207700688661993,0.3981982324005465,0.4271948608137045,0.07702707815043594,0.16936363683972386,0.5016835880339556,-0.22851200698826094,0.36174574567410245,-0.10595431109993797,0.6756288461909732,0.2699785591542141,0.2785996866958388,0.07703897710907999,0.5145320915094196
Bundesliga,2017,18,0.16353946172169564,0.5167160487607283,-0.2628418172504565,0.2919937159149228,0.013305041768521451,0.958211625969605,-0.06702800625998365,0.7915820460570099,-0.04350321729825415,0.8639105454297155,-0.10354052573791045,0.6826494747485607,-0.25093039165408376,0.31520160471644415,0.05108997468595302,0.8404438230061504,-0.09197527963918704,0.7166238000257144,0.25388327155453194,0.30934913447748963,-0.03380014881091736,0.6286681819106341
Bundesliga,2018,18,-0.19542584474424185,0.4370782390485439,-0.48650398662752425,0.04062630506677731,-0.018767363055147177,0.9410796908648693,0.3499738907962622,0.15453024864913503,0.43780088192459066,0.0692060621587776,-0.3336952353066139,0.17596508230096783,0.4470113649560302,0.06290532760441556,0.03656713307363078,0.8854604037350472,0.28297209645390276,0.2552002140432447,0.06586184916860408,0.7951344632247008,0.058579478663949344,0.38171860366964794
Bundesliga,2019,18,0.21578799296140402,0.38979808265768856,-0.4131530954752013,0.08835657076115547,0.1318221957294629,0.6020825003430701,-0.26127972111385184,0.29497657230311686,-0.25453197929717203,0.30807216860943415,-0.43206821248856864,0.07335665287531008,-0.04148493864858189,0.8701724172087041,0.1859557290042727,0.46003736381541505,0.24147464602192792,0.33437999199096824,-0.20286802167552678,0.41946302486129994,-0.08303454049818347,0.3840695345426163
Bundesliga,2020,18,0.0021413583068960506,0.9932717318000257,0.32765292120632983,0.18440604929078924,0.09305073610910265,0.713441945303634,-0.35781178031047556,0.14487746797509807,-0.004354436843379723,0.9863185735273552,0.5479336296331135,0.018568069087380644,0.16204727667054808,0.5206010157686672,0.03067181247417907,0.9038376020328097,-0.11434661549092616,0.651420039150006,-0.05392419348379113,0.8317089419707583,0.06330607082715967,0.5948451435906524
Bundesliga,2021,18,0.026630686491610083,0.9164622796178283,-0.08754073375973831,0.7297903432942672,-0.14467459372837604,0.5668044877295558,0.014201434874545194,0.9553988067761012,-0.16079701015714867,0.5238665584747635,-0.5600474933642476,0.015642033746684512,0.1440001843203539,0.5686331716032945,0.024285739054855593,0.9237969290802769,0.019660213775797356,0.9382815166797129,0.27565637069377474,0.26821804054436765,-0.044862520179857375,0.6406894167546854
Bundesliga,2022,18,0.045579873738769205,0.8574756000449048,0.3099860634336305,0.21062059723158844,-0.25080688752023184,0.31544780461532906,-0.26050065451061544,0.29647107532241823,0.2197315524204225,0.3809791157192606,0.6866038340815502,0.0016489491538023413,0.1011723769567556,0.6895615437304436,0.07855736988883934,0.7566808095320177,0.019262853213235488,0.9395267527025203,-0.20452288615566658,0.41559800799563995,0.07450634955466891,0.48640102560479254
Bundesliga,2023,18,0.2097845915461529,0.4034360722173438,0.09451386511089993,0.7091203434814427,0.48501720717190816,0.04133631830432023,0.022257804829861793,0.9301447484428621,0.1179974023881476,0.6409897974301118,-0.05203271139609334,0.8375363491770482,-0.1552866118266714,0.5383709490031452,0.07852542236508578,0.7567769362993578,0.08373862413427619,0.7411368304813737,-0.12565970393352055,0.619307460792851,0.0758855890390047,0.6218155805629856
Bundesliga,2024,18,0.3379534052384741,0.17017518963931907,-0.03402469068191297,0.8933795512197331,0.2603613957792292,0.2967386995421184,0.10240757612421161,0.6859533300583238,0.18974030314069043,0.4507899389973007,-0.047416419241620364,0.8517917908081672,-0.045093606001981146,0.8589816485612736,-0.1241417301147962,0.623579970430191,0.2668103323119294,0.2844983547780344,0.13744266701261135,0.586545197052201,0.10440392335668354,0.5702433671086663
La Liga,2000,20,0.31420102367935293,0.17729273681931385,0.05279560390587384,0.8250459131161074,-0.13083912754168167,0.5824380227794631,0.21955664598731028,0.35232819759337064,-0.172594635105959,0.4668247813322285,-0.15437788018433177,0.5157837763990174,-0.03409844723469069,0.886515436436356,0.10633570539519487,0.6554554610384842,0.08717551991008739,0.7147719246842748,-0.3073434818623989,0.18745156060487014,-0.0019189073051242734,0.5363907810803485
La Liga,2001,20,-0.44859483146372275,0.04726866065581856,0.15593488012938253,0.5115064485170494,0.24305708838213297,0.3017989604161702,0.09106782018638937,0.7025807907043385,-0.16891994350004458,0.47650654251271096,-0.004624305268383553,0.9845627737794314,-0.16970905779850654,0.4744190205198444,-0.38077024465584747,0.09766340679973806,0.13297049121249277,0.5762546969395976,0.028738126294968115,0.904269544454783,-0.05208499764811393,0.5076830845299483
La Liga,2002,20,0.312084714806812,0.18038698018839738,0.12330908226197858,0.6045064337359247,0.26852408902319624,0.25232002303579254,0.017234627252396315,0.9425082521348425,0.2037327502701342,0.38893932571040557,0.03065646838083599,0.8979102775904985,0.41708234268770145,0.06731562637805553,0.5040431325571232,0.02344709843991748,0.19096677944562923,0.4199534203345866,-0.30991915795520525,0.18359095101912648,0.1757714828730602,0.3960878388567547
La Liga,2003,20,0.009697486568077873,0.9676333448000751,0.07235065043487378,0.7617943615465366,0.06916570912653267,0.7720086333042369,0.11977116511160278,0.6149918638841863,-0.22372595298470624,0.3430257362792116,0.4514164790201054,0.0457273824087755,-0.08820161009499655,0.7115514918462622,0.2684169278996866,0.2525166678539841,-0.4667697063369396,0.03800718902329097,0.20607468399008078,0.3833918164590753,0.04181958327343175,0.48906484874056344
La Liga,2005,20,-0.1217425218499043,0.6091402586047934,0.0716935650241492,0.7638986255132156,-0.07779173736499118,0.7444327709399681,0.034930227969536314,0.8837649155907508,0.21874664099142105,0.3541522218464125,-0.29303635257130056,0.20989147122201018,-0.2549032152130654,0.2780974354792407,0.13266771818268341,0.5771313481425928,-0.3141759181561641,0.17732923038430973,0.0068754274042154865,0.9770494818768605,-0.059673616558342,0.5574887759600153
La Liga,2007,20,-0.1613063350160684,0.49688134483440694,-0.05066996537461289,0.8319917546648817,-0.10204300263697584,0.668588099543482,0.006601942245409935,0.9779621723259813,0.13937047071887007,0.5578601297701058,0.09770979956714768,0.6819392939027185,0.14825537329908173,0.5327659439039597,-0.17403100775193803,0.46306766655450016,-0.05688261714241475,0.8117265129946731,-0.2683212362092986,0.2526923482658557,-0.042131657830079904,0.6275475266760565
La Liga,2008,20,-0.02164502332119429,0.9278289200645377,-0.2923265569058844,0.21104900437120255,0.017552069061561273,0.9414510442748403,0.25270069250969573,0.28241394075295045,0.41573935523346556,0.0682928463881851,-0.048137821171513766,0.8402815497230701,0.12413146287266104,0.6020796666989547,-0.2734652423976952,0.24335869901585003,0.10592735000145169,0.6567006318093203,0.06707864117536268,0.778721719333999,0.03475549270579103,0.555217802243291
La Liga,2009,20,0.4621104069733144,0.040234231433766435,-0.07918214923520434,0.7400148130942468,0.2183079465605773,0.3551423747099449,-0.3486825393586234,0.13188747609582438,-0.006881903038730756,0.9770278713442685,0.495781868512885,0.026211403378155106,0.3580304498945281,0.12114985759872256,-0.4723450391985517,0.035469419271934435,0.40528060245866326,0.07627129358113363,0.1099896051007554,0.6443531289669127,0.11424092486696133,0.314776186947491
La Liga,2010,20,0.12262365766674431,0.6065321149067084,-0.4259386819436128,0.06113230145159261,0.469553090922381,0.03672320852645389,0.029695441796508047,0.901095336915581,0.15963007601776447,0.5014233883332417,-0.18109188417590302,0.4448247467485833,0.14582707372535209,0.5395721507609129,-0.12008008026133404,0.6140734145862325,0.1389367761865826,0.5590983419108201,0.007341947025851394,0.9754926496470954,0.0346497416960334,0.5239967653787222
La Liga,2011,20,0.3304629346973299,0.15471750127254774,-0.10583464929269926,0.6569834194032174,-0.05182452005745347,0.8282175535530392,-0.12325032930343355,0.6046799615338418,0.037916123208242974,0.8739019558398178,0.0283241892761256,0.9056424870687538,-0.2264822110435871,0.33695561023686726,0.006464798967365654,0.978419864780049,0.09623680999353042,0.6864988214638602,0.14974972878199294,0.5285972979001552,0.01417628752274141,0.6554614473052149
La Liga,2012,20,0.14566483722468904,0.5400282917654771,0.14326907241350115,0.546784622479537,-0.09570617580997659,0.6881439269753257,0.21788124959969488,0.35610697839492833,0.01666671173625637,0.9443998672058734,0.2218554213076888,0.3471813317561233,-0.32597418830637703,0.16073834673453202,0.06407032156159438,0.7884245187522679,-0.09996266740063074,0.6749862412546697,-0.16828393466019057,0.478192379186846,0.01194806476662497,0.5524986504505581
La Liga,2013,20,0.0428361901099954,0.8576897148299956,-0.32138533486604115,0.16705865951728377,-0.185293529738539,0.4341498185945116,0.020408285816897707,0.9319431466465526,0.08928830640446737,0.7081459655973698,-0.075921674176457,0.7503869127519472,-0.3396601957550267,0.1428737536038914,-0.10176300618285687,0.6694479698174532,0.03334969053713991,0.8889924844210644,0.2786541307465262,0.234170864347574,-0.05594871371038941,0.5784859290127643
La Liga,2014,20,0.4743345518392867,0.0345965160086344,-0.15725070019151258,0.5079049268813126,-0.09677465024801073,0.6848327591811174,0.4762456902181681,0.03377386186715983,-0.028225581240449635,0.9059695874807974,-0.10801660144704558,0.6503392583766989,0.5126638443359571,0.020814091902498427,0.18497859597410024,0.4349452326108404,0.1984091647768717,0.4017143948463092,-0.06356743856294139,0.7900494500301609,0.13927968754544237,0.446494007918553
La Liga,2015,20,-0.18086007200195306,0.44541765213780793,-0.05413728260970737,0.8206681794623767,-0.21148980704428916,0.37073555532144487,-0.22457627118644066,0.3411463054637268,-0.17598207481973144,0.4579890500753683,0.1793242797148486,0.4493561203004812,-0.13399405398552322,0.5732953269615514,0.464988071188301,0.03884717563602494,-0.33503824907961227,0.14874343283371275,-0.24363321919586323,0.30061868103449685,-0.09153986790199709,0.39468174792269917
La Liga,2016,20,-0.19546050117404842,0.4088880745948217,0.09325453396645231,0.695762082027037,-0.14963214861170127,0.5289247478624514,0.11579621515862995,0.6268587912616657,0.36622207500477905,0.11226686711961843,-0.11862813723620091,0.6183950398530119,-0.4890234774511692,0.028658743744989952,0.02158833839769774,0.9280174547331969,-0.6801505073820849,0.0009677546147614701,0.24207530547253706,0.3038167538829045,-0.07939583038551086,0.42525563096944585
La Liga,2017,20,-0.05549093861878729,0.8162565337707439,0.22347377435755048,0.343584278479956,-0.4393866054467188,0.05257713314930083,-0.10058846756166524,0.673059288898923,-0.09594410045064332,0.6874061307239074,-0.2039474295100895,0.38842894948063533,-0.34367194663623285,0.13791227203409606,-0.07893770929177416,0.7407909443582588,-0.5458951981819579,0.01277761521671741,-0.09360784504058245,0.6946624620880654,-0.1733996466380901,0.4547455608200604
La Liga,2018,20,-0.010592898662163786,0.9646465000768483,0.2324325017314996,0.3240682340307477,-0.320679746207104,0.16804539111628955,0.2383348445485971,0.31157906752083026,-0.2167127730207636,0.35875618485555383,0.1910617999168847,0.41971779211759397,-0.2442225958246759,0.29941417829907063,0.11362592285134925,0.633375726830828,0.06705670152286021,0.7787923696524885,-0.17901395443654042,0.450154120408199,-0.012871019758005683,0.470854956490845
